"id","ep_num","segment","title","role","text"
5090001,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","description","Bus stop, day. The four boys stand at the bus stop waiting for the bus. Each of them wears a gas mask. The boys are silent."
5090002,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","KYLE",":	...Remember when life used to be simple and cool?"
5090003,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","...Not really."
5090004,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","BUTTERS","Uh, hey!  How's it goin', fellas?"
5090005,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","STAN",":	Butters, what the hell are you doing?"
5090006,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","BUTTERS","Huh, well, I'm just standin' around bein' a kid. Why? How come you're all wearing those spooky spaceman masks?"
5090007,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","KYLE","These are gas masks, Butters!"
5090008,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","STAN","Yeah! If you don't have a gas mask, you're gonna get smallpox or anthrax!"
5090009,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","BUTTERS","What?!  Oh, Jesus! I don't wanna get the 'thrax, fellas! Uh, what do I do?"
5090010,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","STAN","There's nothing you can do except stop breathing."
5090011,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","BUTTERS","Stop breathin'?"
5090012,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","KYLE","Yeah, you can't get it if you don't breathe."
5090013,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","BUTTERS","Well. Alright, then."
5090014,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","OFFICER BARBRADY","Well okay. Next?  Next?  Let's see: Hotties, Juicy, Whoppers...  Okay, next? A-ha! What the hell are you doin' with this?!"
5090015,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","Those are my Hootie Owlie Round-Tip Scissors."
5090016,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","OFFICER BARBRADY","These are a weapon!"
5090017,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","Awww, come onnn! How am I gonna kill people with those?"
5090018,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","OFFICER BARBRADY","I'll think of a way. Now move along!"
5090019,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","God-damnit!"
5090020,509,1,"OSAMA BIN LADEN HAS FARTY PANTS","OFFICER BARBRADY","Alright, next!  Okay, clear."
5090021,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","description","South Park Elenentary, morning. Along with the regular flag on the flagpole, a larger flag is draped over the front of the school, covering some second-story windows and the center of the school sign. Inside, the kids filter into class and drop off their gas masks along the wall. The door has been fitted with an industrial lock. Butters enters and locks the door"
5090022,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","TWEEK","Oh, Jesus, man! They're gonna get me! Oh Christ!  they might - couild get me."
5090023,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","MS. CHOKSONDIK","Alright class, as some of you may have heard, the President has asked that American children all send one dollar to the children of Afghanistan.  So I have a list of addresses and we're goin' to all chip in."
5090024,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","HA! I'm not giving a dollar to those towelheads!"
5090025,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","MS. CHOKSONDIK","Eric, the Afghan people need our help!"
5090026,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","Oh, I'm sorry, but I though we were at war with these assholes!"
5090027,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","WENDY","We're at war with terrorists, fatass, not with Afghanistan, and the only reason that you care is that you don't wanna give up the dollar!"
5090028,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","That dollar buys me a chocolate milk for lunch! What, do you want me to just get a regular milk for ten cents?  Now look, it isn't our fault that terrorists hate us. We're just kids. We're not the ones bombing them now, we're- we're jsut kids.  There's a lot of crazy stuff goin' on in the world, but, we're caught in the middle. It's not our fault."
5090029,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","WENDY","The Afghan kids are caught in the middle, too!"
5090030,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","Yes, but they're sand monkeys!"
5090031,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","MS. CHOKSONDIK","Alright, children, we are all sending a dollar to the kids in Afghanistan! That's it! End of discussion!"
5090032,509,2,"OSAMA BIN LADEN HAS FARTY PANTS","CARTMAN","God-damnit, I hate regular milk!!!"
5090033,509,3,"OSAMA BIN LADEN HAS FARTY PANTS","description","Afghanistan, day. Adults mill around as fighter planes fly by and bomb a few buildings. Two boys enter from the left and face the camera. They begin to talk in a strange language. Two other boys appear, and it's apparent these boys are the counterparts to the boys in South Park. The one who looks overdressed has a goat. After what sounds like introductions, they move off to play some basketball at a nearby makeshift ball court. The boy who was the first to speak gives the ball to his friend, the second to speak. The friend shoots the basket, but a bomb falls on the backboard, launching the ball away from the court and destroying the backboard and pole"
5090034,509,3,"OSAMA BIN LADEN HAS FARTY PANTS","AFGHAN BOYS",":	Awww!"
5090035,509,4,"OSAMA BIN LADEN HAS FARTY PANTS","description","the Kyle counterpart says something about seeing a film, then the four move off to their right. They pay for their tickets and head for the doors. A bomb falls on the theater and blows it up"
5090036,509,4,"OSAMA BIN LADEN HAS FARTY PANTS","Awww!",""
5090037,509,5,"OSAMA BIN LADEN HAS FARTY PANTS","description","the Stan and Kyle counterparts talk to each other a bit, then head for a two-story building. They stop at the front door and a fighter plane drops a bomb on the building. Only the door remains"
5090038,509,5,"OSAMA BIN LADEN HAS FARTY PANTS","Awww!",""
5090039,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","description","The Marsh house, day. The garage has a large flag draping the door. Inside, on the living room couch. Sharon is lying there covered with blankets and watching TV. On the floor around the sofa are bowls, candles, food, and other items. Sharon hasn't been off that couch in a while."
5090040,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","REPORTER","Another high-alert status for terrorists activity this weekend.  The government said ""bad things are likely to happen."" Meanwhile, the world continues to back down from their support of the United States  saying that they were really only kidding to begin with."
5090041,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","STAN","Hey Mom, door bell's ringin'."
5090042,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","SHARON","Can huh get th'ere 'or me?"
5090043,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","RANDY","Hey, Sharon? Maybe you should stop watchin' the news for a little bit? Shu- Sharon, you've been watching CNN for about ah... eight weeks now. Don't you wanna watch somethin' else?  Shu-shu-sharon?"
5090044,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","STAN","Hey, look at what the postman brought me! It's a big brown package from Afghanistan!"
5090045,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","SHARON","Weh, that's nahice."
5090046,509,6,"OSAMA BIN LADEN HAS FARTY PANTS","STAN","We sent the Afghani kids some dollars - they must have sent us something cool in return!  Do you have some scissors to get this open?"
