"id","ep_num","segment","title","role","text"
1070001,107,1,"PINKEYE","INT. MIR SPACE STATION",""
1070002,107,1,"PINKEYE","A Russian cosmonaut floats around inside the cockpit.",""
1070003,107,1,"PINKEYE","COSMONAUT #1","Vlad nyet chakesfski. Bordat comrade daboolschnet."
1070004,107,1,"PINKEYE","SUBTITLES: ""Propulsion systems stable. No problems with MIR.""",""
1070005,107,1,"PINKEYE","Suddenly, a green-faced monster with 6 eyes pops out from ","behind the control panel."
1070006,107,1,"PINKEYE","MONSTER","Graah!!"
1070007,107,1,"PINKEYE","COSMONAUT","Aieeee!"
1070008,107,1,"PINKEYE","The monster removes its mask, revealing it is actually ","Cosmonaut #2."
1070009,107,1,"PINKEYE","COSMONAUT #2","Porchat! Vlidit shtadecht!"
1070010,107,1,"PINKEYE","SUBTITLES: ""Gotcha! Happy Halloween!""",""
1070011,107,1,"PINKEYE","COSMONAUT","Shtadt bodit but shtad!"
1070012,107,1,"PINKEYE","SUBTITLES: ""You scared me you communist bastard!""",""
1070013,107,1,"PINKEYE","A red light on the control panel starts to flash. Yet another ","cosmonaut floats into frame."
1070014,107,1,"PINKEYE","COSMONAUT #1","Uh... Shtool."
1070015,107,1,"PINKEYE","SUBTITLES: ""OH....CRAP""",""
1070016,107,1,"PINKEYE","COSMONAUT #2","Schtool."
1070017,107,1,"PINKEYE","SUBTITLES: ""Crap!""",""
1070018,107,1,"PINKEYE","EXT. BUSSTOP - MORNING",""
1070019,107,1,"PINKEYE","The boys stand at the busstop.",""
1070020,107,1,"PINKEYE","They say nothing, just stare forward and blink.",""
1070021,107,1,"PINKEYE","Kyle sighs softly.",""
1070022,107,1,"PINKEYE","Cartman sniffles. Then --",""
1070023,107,1,"PINKEYE","SMACK!! The MIR Space Station drops from the sky and crushes ","Kenny, killing him instantly."
1070024,107,1,"PINKEYE","STAN","OH MY GOD! They killed Kenny!"
1070025,107,1,"PINKEYE","KYLE","You bastards!!"
1070026,107,1,"PINKEYE","CARTMAN","What the hell is that thing?"
1070027,107,1,"PINKEYE","KYLE","It looks like a UFO!"
1070028,107,1,"PINKEYE","CARTMAN","There's no such thing as UFOs!"
1070029,107,1,"PINKEYE","Just then an ambulance pulls up. Two paramedics get out.",""
1070030,107,1,"PINKEYE","The boys watch as the paramedics place Kenny's crushed body ","into a plastic body bag."
1070031,107,1,"PINKEYE","PARAMEDIC","Let's get him to the Morgue."
1070032,107,1,"PINKEYE","They throw Kenny's body in the back, jump in the car and ","drive away. The boys stand there for several seconds, blinking. Then the school bus pulls up and they shuffle on."
1070033,107,1,"PINKEYE","CARTMAN","Hey, wait 'till you guys see my Halloween costume tomorrow! It kicks ass!"
1070034,107,1,"PINKEYE","KYLE","Dude, it can't be cooler than mine!"
1070035,107,1,"PINKEYE","STAN","Hey, man, we gotta get home and get our costumes ready!"
1070036,107,1,"PINKEYE","EXT. MORTUARY - NIGHT",""
1070037,107,1,"PINKEYE","Clouds pass in front of the moon behind a creepy building ","ominously nestled between two large hills and surrounded by a huge graveyard."
1070038,107,1,"PINKEYE","A large black bird swoops down and perches on a large sign ","which reads: ""SOUTH PARK Mortuary"". The bird lets out a shrill cry. Then it lets out a poop."
1070039,107,1,"PINKEYE","INT. MORTUARY - NIGHT",""
1070040,107,1,"PINKEYE","Kenny's dead body lies on an embalming table, surrounded by ","tubes and medical instruments. The MORTICIAN and his ASSISTANT stand nearby. On the wall behind them is a calendar which is marked off up till the day ""OCTOBER 30""."
1070041,107,1,"PINKEYE","The Assistant sets the bottle down on a nearby shelf. The ","Mortician takes an IV needle and sticks it into Kenny."
1070042,107,1,"PINKEYE","MORTICIAN","(Sighing) You know... I think death is least funny when it happens to a child."
1070043,107,1,"PINKEYE","ASSISTANT","Oh Yeah, I know what you mean."
1070044,107,1,"PINKEYE","The Assistant pours some Worchestershire sauce onto a corn ","dog and takes a bite."
1070045,107,1,"PINKEYE","MORTICIAN","Marty, do you have to put that stuff on everything?"
1070046,107,1,"PINKEYE","ASSISTANT","I don't know. It just makes everything taste so... English!"
