"id","ep_num","segment","title","role","text"
2180001,218,1,"PREHISTORIC ICE MAN","As we steer our boat down , looking ","for these dangerous predators Boy, there's a king croc right here.  He must be four meters; 12, 13 feet long at least.  This croc has enough power in its jaws to rip my head right off."
2180002,218,1,"PREHISTORIC ICE MAN","KENNY","(Oh, no!)"
2180003,218,1,"PREHISTORIC ICE MAN","AUSSIE","I've got to be careful. So, what I'm gonna do is sneak up on it and jam my thumb in its butthole."
2180004,218,1,"PREHISTORIC ICE MAN","STAN","Holy crap. dude!"
2180005,218,1,"PREHISTORIC ICE MAN","AUSSIE","If I get bit out here, I'm 200 kilometers from the nearest hospital: I'd better be real careful jamming my thumb in its butthole.  Oh, boy, it's pissed off now."
2180006,218,1,"PREHISTORIC ICE MAN","KYLE","Go, dude, go!"
2180007,218,1,"PREHISTORIC ICE MAN","AUSSIE","I'm gonna jam my thumb it its butthole now! This should really piss it off! Oh, yeah, that piossed it off, all right!  I've gotta be careful!"
2180008,218,1,"PREHISTORIC ICE MAN","STAN","This guy rules!"
2180009,218,1,"PREHISTORIC ICE MAN","KENNY","(He actually killed it!)"
2180010,218,1,"PREHISTORIC ICE MAN","CARTMAN","I told you guys."
2180011,218,1,"PREHISTORIC ICE MAN","AUSSIE","Well! That was quite an angry croc! But I managed to escape with only a few bruises and a shattered left testicle. Next week we'll look for more of these beautiful creatures, so we can learn more about them by pissing them off immensely. Thanks for watching."
2180012,218,1,"PREHISTORIC ICE MAN","KYLE","Dude! Let's go look for crocodiles!"
2180013,218,1,"PREHISTORIC ICE MAN","STAN","Yeah!"
2180014,218,2,"PREHISTORIC ICE MAN","description","The woods. Cartman leads the boys up a hill. All are armed with water guns"
2180015,218,2,"PREHISTORIC ICE MAN","CARTMAN","There's bound to be some crocs up here. I'll use my croc call and try to bring 'em out. Brigeghus, brigeghus! Brig-!"
2180016,218,2,"PREHISTORIC ICE MAN","KYLE","That's not how a croc sounds, you fatass penis!"
2180017,218,2,"PREHISTORIC ICE MAN","CARTMAN","Ogh! Now I'm gonna kick my friend Kyle in the beanbag and see what happens, by crikey!"
2180018,218,2,"PREHISTORIC ICE MAN","KYLE","Get away from me, Cartman!"
2180019,218,2,"PREHISTORIC ICE MAN","CARTMAN","Come 'ere, crocky."
2180020,218,2,"PREHISTORIC ICE MAN","KYLE","AAAAAAAAAA!"
2180021,218,2,"PREHISTORIC ICE MAN","STAN","Dude!"
2180022,218,2,"PREHISTORIC ICE MAN","KYLE","HELP!"
2180023,218,2,"PREHISTORIC ICE MAN","STAN","Good job, Cartman! You killed Kyle!"
2180024,218,2,"PREHISTORIC ICE MAN","KENNY","(You bastard!)"
2180025,218,2,"PREHISTORIC ICE MAN","CARTMAN","Well, he shouldn't have called me fat."
2180026,218,2,"PREHISTORIC ICE MAN","STAN","Why the hell not?! That's like calling the sky blue!"
2180027,218,2,"PREHISTORIC ICE MAN","CARTMAN","Well, screw him, he's dead! Let's go look for crocodiles!"
2180028,218,2,"PREHISTORIC ICE MAN","KYLE","You guuuys!"
2180029,218,2,"PREHISTORIC ICE MAN","STAN","Hey, he's still alive.  Kyle, are you okay?"
2180030,218,2,"PREHISTORIC ICE MAN","KYLE","I think so. Is Cartman up there?"
2180031,218,2,"PREHISTORIC ICE MAN","CARTMAN","I'm right here, Kyle."
2180032,218,2,"PREHISTORIC ICE MAN","KYLE","Cartman, you fucking hunk of fat, rat-fucking hunk of pig-fucking ass fat."
2180033,218,2,"PREHISTORIC ICE MAN","CARTMAN","Oh yeah?! Oh yeah?! Say that to my face, pussy!"
2180034,218,2,"PREHISTORIC ICE MAN","STAN","Can you climb back up, dude?"
2180035,218,2,"PREHISTORIC ICE MAN","KYLE","I don't think so."
2180036,218,2,"PREHISTORIC ICE MAN","STAN","Damn it, I guess I'll have to go get him."
2180037,218,2,"PREHISTORIC ICE MAN","CARTMAN","Nah. Come on, guys. Let's go look for crocodi-iles."
2180038,218,3,"PREHISTORIC ICE MAN","description","Inside a cave at the bottom of the shaft, Kyle awaits his rescue. Stan descends, spinning slowly as Cartman huffs outside."
2180039,218,3,"PREHISTORIC ICE MAN","STAN","Whoa, dude. This is making me sick. Blaach!  Bluchluchluchluch."
2180040,218,3,"PREHISTORIC ICE MAN","KYLE","Sick, dude!"
2180041,218,3,"PREHISTORIC ICE MAN","STAN","Sorry.  What the hell are you doing, fat boy?!"
2180042,218,3,"PREHISTORIC ICE MAN","CARTMAN","Screw you, hippie!"
2180043,218,3,"PREHISTORIC ICE MAN","KYLE","Come on, dude. I wanna get out of here."
2180044,218,3,"PREHISTORIC ICE MAN","STAN","All right. Just grab the rope. Wait a minute. What's this?"
2180045,218,3,"PREHISTORIC ICE MAN","BOTH","AAAAAAAAAAAAA!"
2180046,218,3,"PREHISTORIC ICE MAN","KYLE","Dude, it's a dude!"
2180047,218,3,"PREHISTORIC ICE MAN","STAN","He's like, some frozen guy."
2180048,218,3,"PREHISTORIC ICE MAN","CARTMAN","Come on, you guys, it's getting cold up here!"
2180049,218,3,"PREHISTORIC ICE MAN","STAN","Shut up, Cartman!  Dude, I saw this in a movie once. The old cavemen get frozen, and then people discover them and make them their caveman friends."
2180050,218,3,"PREHISTORIC ICE MAN","KYLE","Wow. Cool."
2180051,218,3,"PREHISTORIC ICE MAN","STAN","You guys, there's a frozen ape man from the past down here! Send some more rope!"
2180052,218,3,"PREHISTORIC ICE MAN","CARTMAN","Really?  Hey, there's a frozen guy down there."
2180053,218,3,"PREHISTORIC ICE MAN","STAN","Help me chip some of the ice away."
2180054,218,3,"PREHISTORIC ICE MAN","CARTMAN","Hey you guys. This is just like that one movie, um, John Travolta and that, French chick were doing it, all summer long and went back to school and sang somgs about ""Greased Lightning.""  You know, that movie where Sandra Dee thinks she's all prissy, and then they try and try to get an abortion, but she doesn't have all the-"
2180055,218,3,"PREHISTORIC ICE MAN","STAN AND KYLE","Cartman, will you shut the hell up and get some more rope?!"
2180056,218,3,"PREHISTORIC ICE MAN","CARTMAN","Aww, screw you guys anyway!"
2180057,218,3,"PREHISTORIC ICE MAN","STAN","Hey, remember when that kid found a wallet and got a reward?"
2180058,218,3,"PREHISTORIC ICE MAN","KYLE","Yeah, sweet! Maybe we can get a reward for the frozen guy!"
2180059,218,3,"PREHISTORIC ICE MAN","BOTH","Hooray!"
2180060,218,3,"PREHISTORIC ICE MAN","CARTMAN","For what?"
2180061,218,4,"PREHISTORIC ICE MAN","description","on the road towards town. Cartman pulls the frozen man on a sled while the other three push from behind"
2180062,218,4,"PREHISTORIC ICE MAN","STAN","Where shall we bring it?"
2180063,218,4,"PREHISTORIC ICE MAN","KYLE","I don't know. We just have to get it to town and let them figure out what to do with it."
2180064,218,4,"PREHISTORIC ICE MAN","STAN","I think I'm going to name it Gorak."
2180065,218,4,"PREHISTORIC ICE MAN","KYLE","No, dude! We have to name it Steve."
2180066,218,4,"PREHISTORIC ICE MAN","STAN","Steve? What the hell kind of caveman name is Steve?"
2180067,218,4,"PREHISTORIC ICE MAN","KYLE","It's my name, and I found him."
2180068,218,4,"PREHISTORIC ICE MAN","STAN","You didn't find him, I found him."
2180069,218,4,"PREHISTORIC ICE MAN","KYLE","What are you talking about, dude?! I fell down that abyss and there it was!"
2180070,218,4,"PREHISTORIC ICE MAN","STAN","You wouldn't even have noticed it if I hadn't pointed it out."
2180071,218,4,"PREHISTORIC ICE MAN","KYLE","Kenny, who found the ice man?"
2180072,218,4,"PREHISTORIC ICE MAN","KENNY","(Well, I think you guys should name it Steve)"
2180073,218,4,"PREHISTORIC ICE MAN","CARTMAN","I think we're almost there, you guys."
2180074,218,5,"PREHISTORIC ICE MAN","description","City Hall front lawn. The mayor is at the podium and a crowd of townspeople is watching"
2180075,218,5,"PREHISTORIC ICE MAN","MAYOR","Aalll right, people. The next order of business is a very serious matter. We need to vote on whether South Park should reinstate the death penalty or not. All those in favor, say ""yippee."""
2180076,218,5,"PREHISTORIC ICE MAN","SOME PEOPLE","Yippee."
2180077,218,5,"PREHISTORIC ICE MAN","TARDY MAN","Wait, what was that? I missed the question. Yippee!"
2180078,218,5,"PREHISTORIC ICE MAN","MAYOR","All those opposed, say ""nay."""
2180079,218,5,"PREHISTORIC ICE MAN","OTHER PEOPLE","Nay."
2180080,218,5,"PREHISTORIC ICE MAN","TARDY MAN","Screw you!"
2180081,218,5,"PREHISTORIC ICE MAN","MAN","Ey! Screw you!"
2180082,218,5,"PREHISTORIC ICE MAN","STAN","Huh, excuse me?"
2180083,218,5,"PREHISTORIC ICE MAN","MAYOR","Not now, kids. Thw town is having a very important debate on capital punishment."
2180084,218,5,"PREHISTORIC ICE MAN","KYLE","But we found a frozen ice man from the past!"
2180085,218,5,"PREHISTORIC ICE MAN","STAN","I found this frozen guy in the woods today."
2180086,218,5,"PREHISTORIC ICE MAN","KYLE","No. I found this frozen guy in the woods today."
2180087,218,5,"PREHISTORIC ICE MAN","MAYOR","What the hell is going on here?"
2180088,218,5,"PREHISTORIC ICE MAN","KYLE","We came for our reward."
2180089,218,5,"PREHISTORIC ICE MAN","CARTMAN","Yeah, like the kid with the wallet."
2180090,218,5,"PREHISTORIC ICE MAN","MAYOR","Reward? What reward?"
2180091,218,5,"PREHISTORIC ICE MAN","MEPHESTO","Mayor, I think the boys may have stumbled onto something here. You see, Mayor, frozen links are often found: dinosaur eggs, woolly mammoths. This specimen could be a missing link  in our evolution. If I can unfreeze the body, and perform an autopsy, I could learn much about this creature's people and its time."
2180092,218,5,"PREHISTORIC ICE MAN","MAYOR","Sure sure sure, be my guest, knock your socks off."
2180093,218,5,"PREHISTORIC ICE MAN","MEPHESTO","Thank you, Mayor. Oh, and boys, I, I can't give you a reward for finding this creature, but if you'd like, I'll let you name him."
2180094,218,5,"PREHISTORIC ICE MAN","STAN","Really."
2180095,218,5,"PREHISTORIC ICE MAN","KYLE","Sweet. How about Steve?"
2180096,218,5,"PREHISTORIC ICE MAN","MEPHESTO","Steve it is."
2180097,218,5,"PREHISTORIC ICE MAN","STAN","Wait a minute! His name is Gorak!"
2180098,218,5,"PREHISTORIC ICE MAN","MEPHESTO","Come on, Steve. We've got work to do. Unfreezing this body will be quite delicate work. We'll have to use the most advanced methods available."
2180099,218,6,"PREHISTORIC ICE MAN","description","The South Park Genetic Enginnering Ranch. Inside, Mephesto and Kevin use blow dryers on the ice man. Quite an advanced method"
2180100,218,6,"PREHISTORIC ICE MAN","MEPHESTO","This is very exciting. He could be a Neanderthal. Or an Autralopithecus from the Paleolithic era.  Do you see that, Kevin? These clothes are from Eddie Bauer. I haven't seen anybody wear clothes from Eddie Bauer since 1996!  This is incredible! Think of all we can learn from this body! All that it can teach us! Let's just hope the press doesn't get wind of this right away."
2180101,218,6,"PREHISTORIC ICE MAN","BARBRADY","Stand back, people. There's nothing to see here."
2180102,218,6,"PREHISTORIC ICE MAN","REPORTER","What about the prehistoric ice man?"
2180103,218,6,"PREHISTORIC ICE MAN","BARBRADY","Oh, yeah. There is that."
2180104,218,6,"PREHISTORIC ICE MAN","REPORTER","Dr. Mephesto, could you please tell us what's going on?"
2180105,218,6,"PREHISTORIC ICE MAN","MEPHESTO","Ladies and gentlemen, we still have a lot of work to do.  But it is my opinion tha this man has been frozen in time for over 32 months!  Yes, it's true, although at this early stage we know very little about this man or the time from which he comes."
2180106,218,7,"PREHISTORIC ICE MAN","description","News 4 Special Report. The caption has a silhouette of a caveman stamped with a question mark."
2180107,218,7,"PREHISTORIC ICE MAN","REPORTER","Fascinating news tonight from South Park. An ancient discovery of a prehistoric man actually frozen in ice. A team of scientists continues to try and unfreeze the body so that it can be autopsied, and studied. The caveman was discovered by Kyle Broflovski, who had this to say:"
2180108,218,7,"PREHISTORIC ICE MAN","KYLE","Well, I fell down this ice cavern, and I saw this block of ice, so I told my friend to throw a rope-"
2180109,218,7,"PREHISTORIC ICE MAN","REPORTER","The prehistoric ice man is thought to be from the late neo-post-Jurrasic era, where he was probably part of a hunting and gathering tribe that lived on Waterston Street."
2180110,218,8,"PREHISTORIC ICE MAN","description","The genetic engineering ranch."
2180111,218,8,"PREHISTORIC ICE MAN","MEPHESTO","That's it, Kevin. Now we can begin the autopsy."
2180112,218,8,"PREHISTORIC ICE MAN","""STEVE""","Uuuurrr."
2180113,218,8,"PREHISTORIC ICE MAN","MEPHESTO","Ugh? What's this?"
2180114,218,8,"PREHISTORIC ICE MAN","""STEVE""","Mmmmm."
2180115,218,8,"PREHISTORIC ICE MAN","MAYOR","Holy crap! He's alive??"
2180116,218,8,"PREHISTORIC ICE MAN","MEPHESTO","That's impossible!  Do an EKG on him!"
2180117,218,8,"PREHISTORIC ICE MAN","""STEVE""","Uugh!"
2180118,218,8,"PREHISTORIC ICE MAN","MEPHESTO","My God, he really is alive. The ice must have preserved him!"
2180119,218,8,"PREHISTORIC ICE MAN","MAYOR","Well, quick, do something!"
