"id","ep_num","segment","title","role","text"
6060001,606,1,"PROFESSOR CHAOS","description","Cartman's room, day. Cartman and Kyle stand inside watchng Stan, who is peeking out the door, waiting for someone"
6060002,606,1,"PROFESSOR CHAOS","STAN","Okay, here he comes."
6060003,606,1,"PROFESSOR CHAOS","KYLE","Who wants to tell him?"
6060004,606,1,"PROFESSOR CHAOS","CARTMAN","I'll do it."
6060005,606,1,"PROFESSOR CHAOS","BUTTERS","Hehey, fellas. I'm glad you called me. There was a pie-eating contest down at the firehouse, and I thought we should all go."
6060006,606,1,"PROFESSOR CHAOS","CARTMAN","Butters, could you take a seat, please?"
6060007,606,1,"PROFESSOR CHAOS","BUTTERS","Wuh well, sure."
6060008,606,1,"PROFESSOR CHAOS","CARTMAN","Butters, we have to have a very difficult conversation."
6060009,606,1,"PROFESSOR CHAOS","BUTTERS","Wull what is it?"
6060010,606,1,"PROFESSOR CHAOS","CARTMAN","Well, in the, in the months since our friend Kenny died, you've really stepped up as a friend and ""filled the gap."""
6060011,606,1,"PROFESSOR CHAOS","BUTTERS","Well uh, it's my pleasure! I love bein' you guys' new friend."
6060012,606,1,"PROFESSOR CHAOS","CARTMAN","Yes. Well, Butters, it's just not working out."
6060013,606,1,"PROFESSOR CHAOS","BUTTERS","Nnnot working out?"
6060014,606,1,"PROFESSOR CHAOS","CARTMAN","I'm afraid we're gonna have to let you go, as our friend. You're just tooo..."
6060015,606,1,"PROFESSOR CHAOS","KYLE","Lame"
6060016,606,1,"PROFESSOR CHAOS","CARTMAN","Lane, yes."
6060017,606,1,"PROFESSOR CHAOS","BUTTERS","Well, but ah I can get better."
6060018,606,1,"PROFESSOR CHAOS","STAN","Butters, you just don't really fit in with us here. We think it's best for all of us if you for friendship opportunites elsewhere."
6060019,606,1,"PROFESSOR CHAOS","KYLE","But we certainly want to thank you for all your hard work and attempts at being our friend, lame as they were."
6060020,606,1,"PROFESSOR CHAOS","BUTTERS","Huh but ah I thought we were gettin' along... great. Heh ah I thought we were really havin' fun together."
6060021,606,1,"PROFESSOR CHAOS","CARTMAN","Yes, well, we weren't."
6060022,606,1,"PROFESSOR CHAOS","BUTTERS","Please, fellas, uh don't fire me."
6060023,606,1,"PROFESSOR CHAOS","KYLE","We're sorry Butters.  Our mind is made up."
6060024,606,1,"PROFESSOR CHAOS","CARTMAN","But we certainly wanna thank you for coming by.  You know the way out, right?"
6060025,606,1,"PROFESSOR CHAOS","KYLE","Phew."
6060026,606,1,"PROFESSOR CHAOS","STAN, CARTMAN","Phew."
6060027,606,1,"PROFESSOR CHAOS","KYLE","Hm, I think he took that pretty well, I think."
6060028,606,1,"PROFESSOR CHAOS","CARTMAN","Who cares?"
6060029,606,1,"PROFESSOR CHAOS","STAN","All right, so let's get started on who's gonna be the new person to take Kenny's place."
6060030,606,2,"PROFESSOR CHAOS","description","Butters' house, night. A thunderstorm hovers over the neighborhood. Inside Butters' room a hamster set is seen, and beyond, Butters standing on his bed, looking out his window. He has an angry expression on his face"
6060031,606,2,"PROFESSOR CHAOS","BUTTERS","The world isn't fair. I do everything people ask me to. I stand in the lunch line for them, I buy tampons at the store for them, I go on Maury Povich with balls on my chin for them.  And yet, nobody accepts me. I am an outcast. A shadow of a man who can find no companion... ship. No love from others.  Fine!  If I am to be an outcast, so be it!  I'm through doin' what others tell me to do, and I am sick of this world and the stin-, and the stinky people in it!  From now on I will dedicate my life to bringing chaos to the world that has rejected me!  I will become the greatest supervillain  the world has ever seen!  Where I go, destruction will follow!"
6060032,606,3,"PROFESSOR CHAOS","description","Butters goes about making a suit for himself. He begins with a sheet of aluminum foil and shapes it around a styrofoam head to make a helmet. He pulls out a shirt from the closet and makes it a cape using a sewing machine. Pretty soon, he's finished - he's dressed as something of a knight"
6060033,606,3,"PROFESSOR CHAOS","BUTTERS","Prepare, O little town! Uh prepare for the greatest supervillain you've ever seen! Professor Chaos!"
6060034,606,3,"PROFESSOR CHAOS","LINDA","Butters, time for bed."
6060035,606,3,"PROFESSOR CHAOS","BUTTERS","Hu-uh, okay Mom.  Yes. Uh sleet sleep for now.  Tomorrow, the chaos begins."
6060036,606,4,"PROFESSOR CHAOS","description","South Park, morning. A small stage is shown in Cartman'ss backyard, with a camera off to the side. Kyle, Stan, and Cartman walk up on stage and look out over the backyard"
6060037,606,4,"PROFESSOR CHAOS","CARTMAN","All right, we wanna thank everybody for coming. This is a great turnout. Uh, as you know, our friend Kenny died a few months ago and we are still looking to fill the void with a new friend. Now, you've all been selected as possible candidates, but unfortunately, there is only room for one of you. So Stan and Kyle and I will be spending the next few days going out with each one of you and narrowing our choices down. Until we think we've found the perfect friend. Are there any questions?"
6060038,606,4,"PROFESSOR CHAOS","CLYDE","...What if we don't want to be your friend?"
6060039,606,4,"PROFESSOR CHAOS","CARTMAN","Clyde... ... okay. Now, the first thing we have to do is cut the list down from twenty choices to ten. And so today we will all be going to the amusement park together to see who we want to cut. Please keep in mind that this will all be videotaped, so put on your best friend faces, and may the best friend win. Oh, and we will be needing a ten dollar per person entrance fee."
