"id","ep_num","segment","title","role","text"
5070001,507,1,"PROPER CONDOM USE","description","South Park, day. A car with a woman seated in it appears on a hill  Jennifer Lopez doll with car, and some damage from the firecracker last time."
5070002,507,1,"PROPER CONDOM USE","STAN","""So, we meet again, Jennifer Lopez!"""
5070003,507,1,"PROPER CONDOM USE","KYLE","""No, no, please! This time I swear I won't make albums or movies."""
5070004,507,1,"PROPER CONDOM USE","STAN","""That's what you said last time , but obviously we must now resort to more drastic measures"""
5070005,507,1,"PROPER CONDOM USE","KYLE","""Oh God it burns! It bur-huhurns!"""
5070006,507,1,"PROPER CONDOM USE","STAN","""Scream for me, bitch!"""
5070007,507,1,"PROPER CONDOM USE","KYLE","""AAAAAAAH!"""
5070008,507,1,"PROPER CONDOM USE","STAN, KYLE","Whoa! Awesome!"
5070009,507,1,"PROPER CONDOM USE","CARTMAN","Ey you guys! You guys! Come 'ere, you guys, come check this out!"
5070010,507,1,"PROPER CONDOM USE","STAN","Oh no, what now?"
5070011,507,1,"PROPER CONDOM USE","CARTMAN","No, you guys, this is really cool. Come on!"
5070012,507,2,"PROPER CONDOM USE","description","Kenny's house, later. Cartman, Stan, and Kyle approach the house. Kenny's on the front lawn with a dog, and the other boys join him"
5070013,507,2,"PROPER CONDOM USE","KYLE","What's this all about, Kenny?"
5070014,507,2,"PROPER CONDOM USE","KENNY","(Wait until you see what I can do to the dog!)"
5070015,507,2,"PROPER CONDOM USE","CARTMAN","Watch this. It's sooo funny.  Come 'ere, dog, come on.  Good dog.  Red rocket red rocket.  Red rocket. Red rocket. Come on."
5070016,507,2,"PROPER CONDOM USE","STAN","Cartman, what the hell are you doing?"
5070017,507,2,"PROPER CONDOM USE","CARTMAN","I'm milking the dog. They make dog milk."
5070018,507,2,"PROPER CONDOM USE","KYLE","No they don't!"
5070019,507,2,"PROPER CONDOM USE","KENNY","(Yeah they do!)"
5070020,507,2,"PROPER CONDOM USE","CARTMAN","Yeah, just hold on a minute. The fifth graders showed us how to do it.  Red rocket. Come on, dog, red rocket!  Ohooohhh"
5070021,507,2,"PROPER CONDOM USE","STAN","Whoa, cool!"
5070022,507,2,"PROPER CONDOM USE","KYLE","That's awesome!"
5070023,507,2,"PROPER CONDOM USE","CARTMAN","I told you guys."
5070024,507,2,"PROPER CONDOM USE","STAN","I had no idea dogs made milk; do it again."
5070025,507,2,"PROPER CONDOM USE","CARTMAN","Dumbass, you can only milk a dog once every few hours. It doesn't work if you beat off the dog again right away."
5070026,507,2,"PROPER CONDOM USE","KYLE","You ""beat off?"""
5070027,507,2,"PROPER CONDOM USE","CARTMAN","That's what it's called when you milk a dog: beating it off.  Don't you guys know anything?"
5070028,507,2,"PROPER CONDOM USE","STAN","Wow, you learned all this from the fifth graders?"
5070029,507,2,"PROPER CONDOM USE","CARTMAN","Yeah, I guess they thought we were cool, so they showed us how to do it-hey come here, dog. Dog, come here!"
5070030,507,3,"PROPER CONDOM USE","description","Stan's house, night. Sharon is holding court in the living room, in a circle of chairs. She and Randy have eight guests over for some discussion..."
5070031,507,3,"PROPER CONDOM USE","SHARON","I was really happy with this month's book. I agree with what Bob and Linda said-"
5070032,507,3,"PROPER CONDOM USE","STAN","Mom! Dad! You gotta see this!"
5070033,507,3,"PROPER CONDOM USE","SHARON","Not now, Stanley. This is Mommy and Daddy's book club night, remember?"
5070034,507,3,"PROPER CONDOM USE","STAN","But it's super-cool!"
5070035,507,3,"PROPER CONDOM USE","SHARON","Later, sweetie.  Anyway, I found myself enticed by Steinbeck's imagery."
5070036,507,3,"PROPER CONDOM USE","MAN","Uh the first chapter alone was filled with poetry."
5070037,507,3,"PROPER CONDOM USE","SHARON","Oh, wasn't it? I mean, the first sentence: ""Cannery Row in Monterey in California-"" ""-is a poem, a stink, a grating noise..."" It's amazing how with three images he puts you right there, and..."
5070038,507,3,"PROPER CONDOM USE","STAN","Red rocket, red rocket!"
5070039,507,3,"PROPER CONDOM USE","RANDY","WAAAH!"
5070040,507,3,"PROPER CONDOM USE","SHARON","Stanley, what the hell are you doing?!"
5070041,507,3,"PROPER CONDOM USE","STAN","I'm beating off the dog. Red rocket, red rocket."
5070042,507,3,"PROPER CONDOM USE","SHARON","STANLEY, YOU GO TO YOUR ROOM RIGHT NOW!"
5070043,507,3,"PROPER CONDOM USE","STAN","My room? Why?"
5070044,507,3,"PROPER CONDOM USE","SHARON","Go, Stanley!  Ahaha, ahem. Heheh, he, he gets very good grades."
5070045,507,4,"PROPER CONDOM USE","description","Stan's house, later. His parents have entered his room, quite upset at his behavior earlier. Stan rests his head on his hands."
5070046,507,4,"PROPER CONDOM USE","SHARON","Stanley, do you know why you're being grounded for ten months?"
5070047,507,4,"PROPER CONDOM USE","STAN","No!"
5070048,507,4,"PROPER CONDOM USE","RANDY","Beating off the dog is not appropriate when we have company!  Ah I mean, ever! Beating off the dog is not appropriate ever!"
5070049,507,4,"PROPER CONDOM USE","STAN","Why?! What's the big deal?!"
5070050,507,4,"PROPER CONDOM USE","SHARON","Stanley, don't you understand what you are doing??"
5070051,507,4,"PROPER CONDOM USE","STAN","I was doing ""red rocket"" to make the dog's milk come out."
5070052,507,4,"PROPER CONDOM USE","RANDY","No, Stan! What you were doing to the dog was-ss sexual."
5070053,507,4,"PROPER CONDOM USE","STAN","Huh??"
5070054,507,4,"PROPER CONDOM USE","SHARON","You were stimulating the dog, Stanley! What came out of him was his... r-Randy?!"
5070055,507,4,"PROPER CONDOM USE","RANDY","Well, you know, when you do that to a m-male... the... eh eh you make his... stuff come out.  Well, Jesus, haven't they taught you these things at school?!"
5070056,507,4,"PROPER CONDOM USE","STAN","What things??"
5070057,507,4,"PROPER CONDOM USE","SHARON","Sexual education. Haven't you learned that yet?"
5070058,507,4,"PROPER CONDOM USE","STAN","No!"
5070059,507,4,"PROPER CONDOM USE","SHARON","Oh. Look, well, you see, Stanley,... Well, your school should be teaching this stuff!"
5070060,507,4,"PROPER CONDOM USE","RANDY","Yeah! Let's get that damned school on the phone!"
5070061,507,5,"PROPER CONDOM USE","description","South Park PTA meeting, night. The parents are there, clamoring and arguing."
5070062,507,5,"PROPER CONDOM USE","PRINCIPAL VICTORIA","Okay, parents. I know a lot of you want a chance to speak, but we have to talk one at a time."
5070063,507,5,"PROPER CONDOM USE","SHARON","Look, our kids are learning sexual things on the street and on television. There's no way we can stop it. The schools have to teach them sexual education at a younger age."
5070064,507,5,"PROPER CONDOM USE","PRINCIPAL VICTORIA","School policy has been to teach sexual education later. In the fifth grade."
5070065,507,5,"PROPER CONDOM USE","MR. TWEEK","It isn't soon enough."
5070066,507,5,"PROPER CONDOM USE","STUART","Yeah. Why, just this afternoon our son was caught beatin' off our dog."
5070067,507,5,"PROPER CONDOM USE","CHEF","Look, parents. Do you really want your children learning about sex? Part of the fun of being a kid is being naive! Let them be kids for a while."
5070068,507,5,"PROPER CONDOM USE","MS. CHOKSONDIK","Naive at what cost, Chef? Parents, we have to face facts: Children in America are having sex at younger and younger ages. STDs are affecting younger and younger kids all the time. The only way we can combat that is by educating children before they have sex."
5070069,507,5,"PROPER CONDOM USE","CHEF","The first thing that kids learn about sex shouldn't be some bitch-scare tactic about STDs."
5070070,507,5,"PROPER CONDOM USE","KYLE'S MOTHER","No, she's right! With all the teen pregnancies that are out today, I think my boy does need to know about sexual education.  From the school."
5070071,507,5,"PROPER CONDOM USE","ADULTS","Yeah. Uh huh. Yeah, we have to."
5070072,507,6,"PROPER CONDOM USE","description","South Park Elementary, day. ""Fourth Garde B"" is shown on a classroom door. Sixteen boys are present."
5070073,507,6,"PROPER CONDOM USE","COUNSELOR MACKEY","Okay, boys, this is the first day of sexual education, m'kay? Now, I know that some of you think this is very funny. Words like ""penis"" and ""vagina."" Nuh now STOP that, m'kay! We're goin' tuh get through this by being mature and grown up, m'kay.  Now, this is the male anatomy, m'kay. Here we see the testes and the scrotum.  STOP that, m'kay! The next person that laughs is gonna get a referral!  M'kay. Now, in order to have intercourse, the man takes his penis, and he... hmmm... uhh... let's see: the the man takes his penis, and he... hm."
5070074,507,6,"PROPER CONDOM USE","STAN","Dude, haven't you ever had intercourse, Mr. Mackey?"
5070075,507,6,"PROPER CONDOM USE","COUNSELOR MACKEY","Well, sure I have! It's just... I was about 19 at the time, so it's been about 21 years... m'kay. Let's see, uh... I'm pretty sure I took th-yeah I took the penis, and I bu- uh what the hell did I do with that damned thing??"
5070076,507,7,"PROPER CONDOM USE","description","South Park Elementary, day. ""Fourth Garde"" is shown on a classroom door  this is Ms. Choksondik's room. Twelve girls are present."
5070077,507,7,"PROPER CONDOM USE","MS. CHOKSONDIK","Alright girls, even though this may be stuff you don't want to hear, you need to hear it."
