"id","ep_num","segment","title","role","text"
8110001,811,1,"QUEST FOR RATINGS","description","An announcer introduces the news over some action-type music"
8110002,811,1,"QUEST FOR RATINGS","ANNOUNCER","This is closed-circuit television for South Park Elementary School. And now, Super School News. News made for students, by students."
8110003,811,1,"QUEST FOR RATINGS","JIMMY","Welcome to Ssuper School News. I'm Jimmy Valmer."
8110004,811,1,"QUEST FOR RATINGS","CARTMAN","And I'm Rick Cartman."
8110005,811,1,"QUEST FOR RATINGS","JIMMY","The price of milk money will go up next Monday to 49 cents. The school claims the added money is due to the cow shortage in South Park County."
8110006,811,1,"QUEST FOR RATINGS","CARTMAN","Parent-teacher conferences will be held this Wednesday night, from seven to nine. So kids, get a lot of playing in before you get grounded. And now, for a look at what's on the menu for school lunch today, here's Stan Marsh."
8110007,811,2,"QUEST FOR RATINGS","description","Reporting from the cafeteria, Stan."
8110008,811,2,"QUEST FOR RATINGS","STAN","Eric, it looks as though the school will be serving a chicken cutlet. Now that's traditionally a uh, a white meat chicken... breast, if you will, that has been breaded, and then cooked. I've been told there will also be tater-tots, and a vegetable dish. This is really shaping up to be a ah ah one fantastic lunch. Eric?"
8110009,811,2,"QUEST FOR RATINGS","CARTMAN","...Hard-hitting reporting, Stan. Thanks a lot. And now, here with the celebrity watch is Butters Stotch. Butters, seen any celebrities?"
8110010,811,3,"QUEST FOR RATINGS","description","Reporting from the sidewalk in front of the school, Butters."
8110011,811,3,"QUEST FOR RATINGS","BUTTERS","Nu-noo, not yet. I've been standin' out in front of the school for about ...two hours now ah, and I haven't seen any celebrities. Uh about thirty minutes ago I thought I saw Sigourney Weaver, but ih ih turn- it turns out it was a dead horse."
8110012,811,3,"QUEST FOR RATINGS","CARTMAN","All right, Butters, keep your eyes open."
8110013,811,3,"QUEST FOR RATINGS","BUTTERS","Will do."
8110014,811,3,"QUEST FOR RATINGS","JIMMY","More snow for South P... p-p Park. Here's Token Black with the weather."
8110015,811,3,"QUEST FOR RATINGS","TOKEN","Jimmy and Eric, it looks like a massive snow storm is headed South Park's way. I asked my dad last night and he said that he heard the snow storm is expected on Tuesday. Guys?"
8110016,811,3,"QUEST FOR RATINGS","CARTMAN","Kyle Broflovski now joins us for a look at sports. And Kyle, the girls' basketball team just can't get it right."
8110017,811,3,"QUEST FOR RATINGS","KYLE","Another devastating loss for the Cows last night, Eric. They were ahead in the game until Kelly Anderson crying because she missed her daddy, who's on a business trip in Thailand. Uh, Kelly was so upset she couldn't play, and the Cows had to forfeit."
8110018,811,3,"QUEST FOR RATINGS","CARTMAN","Cows are on a six and O slide since Kelly's father left for that business trip."
8110019,811,3,"QUEST FOR RATINGS","JIMMY","And that's all for Super School News. Enjoy your day at South Park Eh- ...eh- ...eh- ...eh-  ehehehehe  eh- ...Elementary."
8110020,811,3,"QUEST FOR RATINGS","STAN","And we're cut!"
8110021,811,3,"QUEST FOR RATINGS","CARTMAN","All right, nice reporting, guys. Nice."
8110022,811,3,"QUEST FOR RATINGS","BUTTERS","Boy, that was a GREAT episode!"
8110023,811,3,"QUEST FOR RATINGS","STAN","Yeah, I think that was one of our best shows yet."
