"id","ep_num","segment","title","role","text"
7140001,714,1,"RAISINS","description","South Park Elementary playrgound, recess or lunch. The camera pans across the playground and settles on two teams of seven players each. A football lies on the ground between the two groups. The group left of the football consists of Stan, Kyle, Cartman, Kenny, Butters, Token, and Clyde. The second includes Craig, Tweek, Kevin, Pip, and three others"
7140002,714,1,"RAISINS","STAN","All right, you guys, it's first down. I'll hike the ball on the third ""set hut!"" Kyle and Cartman, go deep post out. Kenny, run a slant down the middle. Butters, be ready for the screen."
7140003,714,1,"RAISINS","CARTMAN","Right. What are we playing again?"
7140004,714,1,"RAISINS","STAN","Football."
7140005,714,1,"RAISINS","CARTMAN","Got it."
7140006,714,1,"RAISINS","STAN","Okay. 23!  Blue, 23! Set hut! Set hut!"
7140007,714,1,"RAISINS","BEBE","Wendy breaks up."
7140008,714,1,"RAISINS","STAN","What?"
7140009,714,1,"RAISINS","BEBE","Wendy breaks up with you."
7140010,714,1,"RAISINS","STAN","Oh whoa, wait a minute.  What did I do wrong? I haven't even talked to Wendy for weeks."
7140011,714,1,"RAISINS","BEBE","She just doesn't wanna be with you anymore. She said she still wants to be friends."
7140012,714,1,"RAISINS","CARTMAN","What-ever, Bebe! Like Stan really cares! Just get out of our football game, you stupid skank!"
7140013,714,1,"RAISINS","BEBE","Fuck you, fatass! You guys are assholes!"
7140014,714,1,"RAISINS","BUTTERS","Oh yeah? Huwell, at least we have assholes, you dumb girl!"
7140015,714,1,"RAISINS","CARTMAN","Yeh-heah, right!"
7140016,714,1,"RAISINS","BEBE","God, you're so stupid!"
7140017,714,1,"RAISINS","CARTMAN","What a whore!"
7140018,714,1,"RAISINS","KYLE","Yeah! Like Stan gives a crap if Wendy breaks up!  Stan?"
7140019,714,1,"RAISINS","CARTMAN","Come on, Stan, it's first down still."
7140020,714,2,"RAISINS","description","Stan is next seen walking onto a small red stone bridge. The next scene has him walking down the middle of a two-lane road in the rain. He stops to take in the moist air. The next scene has him back on the bridge, looking over the creek with his head on his right hand. On the water he sees a reflection of Wendy walk up to him. She's smiling. He brightens as she approaches. He turns to greet her, but there's no one to greet. He looks back at the creek, then turns around and walks off. The next scene has him at a rainy night sitting on the curb in a run-down part of town, under a working street light, with his face buried in his legs, crying. The last scene has him in his room, sitting on the floor by his bed, looking at a picture of Wendy. He gently strokes the picture, which has Wendy holding a daisy and smiling broadly. On the picture are written the words ""I love you forever. Wendy."" The image fades to black"
7140021,714,3,"RAISINS","description","South Park Elementary, day. In the hallway Craig goes to a drinking fountain for a drink of water. Fosse and Dog Poo walk towards the camera. Stan is at the far end watching Wendy open her locker. Stan looks away and walks towards Kyle, who's seated next to his locker reading a book."
7140022,714,3,"RAISINS","STAN","Kyle, will you talk to Wendy for me?"
7140023,714,3,"RAISINS","KYLE","Why?"
7140024,714,3,"RAISINS","STAN","'Cause I need to know why she broke up."
7140025,714,3,"RAISINS","KYLE","Aw, dude, come on. I gotta do my science homework."
7140026,714,3,"RAISINS","STAN","Dude, please. I might still have a chance to make things work. Please, just go talk to her?"
7140027,714,3,"RAISINS","KYLE","God damnit!  Wendy, Stan wants to know why you break up."
7140028,714,3,"RAISINS","WENDY","Look, Stan is really nice. I just don't wanna be boyfriend and girlfriend anymore. I've been wanting to break up for a while. but it's, it's nothing against him."
7140029,714,3,"RAISINS","KYLE","'K.  She says she's been wantin' to break up for a while, and it's nothing against you."
7140030,714,3,"RAISINS","STAN","What? That's no answer!  Go tell her to be more direct with me."
7140031,714,3,"RAISINS","KYLE","No dude, I'm out. Go talk to her yourself. Be poetic."
7140032,714,3,"RAISINS","STAN","Kyle, this is my life.  Jimmy!"
7140033,714,3,"RAISINS","JIMMY","Hey Stan."
7140034,714,3,"RAISINS","STAN","Jimmy, will you go talk to Wendy for me?"
7140035,714,3,"RAISINS","JIMMY","For- Forw- Forw-w-w what?"
7140036,714,3,"RAISINS","STAN","Just go talk to her an, and be poetic. Tell her she's my Muse-no! Tell her, tell her...  she's a con-tinuing source of inspiration to me."
7140037,714,3,"RAISINS","JIMMY","She's what?"
7140038,714,3,"RAISINS","STAN","She's a continuing source of inspiration to me."
7140039,714,3,"RAISINS","JIMMY","...Okay.  Hey uh-Wen, hey wu-Wemdy."
7140040,714,3,"RAISINS","WENDY","Yeah?"
7140041,714,3,"RAISINS","JIMMY","Stan says your a cont... you're a- cont- S-Stan says you're a cont- cont-"
7140042,714,3,"RAISINS","WENDY","Well tell Stan to stop!!"
7140043,714,3,"RAISINS","JIMMY","-cont- You're a cont-tinuing source of inspiration to him."
7140044,714,3,"RAISINS","STAN","Well?"
7140045,714,3,"RAISINS","JIMMY","She just- w-walked away, Stan. You're gonna have to face facts. It's over."
7140046,714,3,"RAISINS","STAN","Over?  Jesus..."
7140047,714,3,"RAISINS","BUTTERS","We came over to cheer you up, Stan!"
7140048,714,3,"RAISINS","STAN","...Go away."
7140049,714,3,"RAISINS","KYLE","Stan, you can't keep doing this to yourself. You have to go live."
7140050,714,3,"RAISINS","STAN","Why? What's the point of living when the only girl I ever loved is gone?"
7140051,714,3,"RAISINS","CARTMAN","God, what a fag!"
7140052,714,3,"RAISINS","KYLE","Dude, not now!"
7140053,714,3,"RAISINS","STAN","You guys have no idea how this feels. It's like, you always hear songs about a broken heart and you think it's just a figure of speech? But it's true. My chest hurts. I feel this like, sinking feeling where my heart is. It's broken..."
7140054,714,3,"RAISINS","KYLE","Jeez, he's worse than I thought."
7140055,714,3,"RAISINS","BUTTERS","Well what do we do now?"
7140056,714,3,"RAISINS","JIMMY","Should I try telling him a fa-fantastic joke?"
7140057,714,3,"RAISINS","KYLE","No. We just have to show him that there's other girls out there. I say we take him to Raisins."
7140058,714,3,"RAISINS","BUTTERS","What's Raisins?"
7140059,714,4,"RAISINS","description","Next day, Raisins, a Hooters-like restaurant with al-fresco dining. The boys enter the restaurant, and a pretty little girl in a Raisins outfit walks up. Other girls walk around, all seem to work there"
7140060,714,4,"RAISINS","BLONDE","Hey guys, welcome to Raisins. Six of you?  Right over here."
7140061,714,4,"RAISINS","REDHEAD","So you guys having a good time today?"
7140062,714,4,"RAISINS","DINERS","Uh huh..."
7140063,714,4,"RAISINS","BLONDE 2","How about some more fun fries, guys?"
7140064,714,4,"RAISINS","DINERS","Okay..."
7140065,714,4,"RAISINS","BRUNETTE","Boy, am I glad you guys came in. Everyone here is such a loser, but you guys seem really cool."
7140066,714,4,"RAISINS","BLONDE","Here you go, guys. Lexus will be right with you."
7140067,714,4,"RAISINS","KYLE","What do you think, Stan. These girls are pretty cute, huh?"
7140068,714,4,"RAISINS","JIMMY","Jesus Christ, I think I've died and... gone to... heaven."
7140069,714,4,"RAISINS","BUTTERS","This place is awesome!"
7140070,714,4,"RAISINS","CARTMAN","How do you know? We haven't even tried the food yet."
7140071,714,4,"RAISINS","LEXUS","Hey guys."
7140072,714,4,"RAISINS","BUTTERS","Whoa!"
7140073,714,4,"RAISINS","LEXUS","How are we doing this afternoon?"
7140074,714,4,"RAISINS","THE BOYS","Good."
7140075,714,4,"RAISINS","LEXUS","I'm so glad you guys came in. Everyone here is such a loser, but you guys seem really cool."
7140076,714,4,"RAISINS","BUTTERS","W-we are."
7140077,714,4,"RAISINS","LEXUS","So what can I get you?"
7140078,714,4,"RAISINS","CARTMAN","Okay, um, we're gonna get the zingy tangy wings, and mozzarella tasty tarts and uh, OH, and the bite-size pizzazzas, and a pitcher of lemonade."
7140079,714,4,"RAISINS","LEXUS","Great. I'll put your order in right now."
7140080,714,4,"RAISINS","BUTTERS","You guys! I think our Raisins girl likes me. She, she touched my back when she walked away. Did you see that?"
7140081,714,4,"RAISINS","LEXUS","Raisins, girls!"
7140082,714,4,"RAISINS","BLONDE 3","Woohoo!"
7140083,714,4,"RAISINS","REDHEAD","Oh Yeah!"
7140084,714,4,"RAISINS","BRUNETTE 2","Do it!"
7140085,714,4,"RAISINS","KYLE","Hey. Hey, look over there, Stan. That Raisins girl is really cure, huh?  Why don't you say hi to her?  Excuse me?"
7140086,714,4,"RAISINS","BRUNETTE 3","Hi guys. My name's Porsche."
7140087,714,4,"RAISINS","KYLE","Hey. Uh, this is Stan."
7140088,714,4,"RAISINS","PORSCHE","Oh hey cutie. How are you? I love your hat. I used to have a hat juuust like that, except, it was black and it didn't have a puffball on it. Oh my God, my hands are sooo cold. How come people have hands, anyway? Did you ever wonder that?"
7140089,714,5,"RAISINS","description","Some time later, still dining. The Village People's ""YMCA"" begins to play, and some Raisins girls begin to dance"
7140090,714,5,"RAISINS","RAISINS GIRLS","YMCA...  YMCA-A."
7140091,714,5,"RAISINS","CARTMAN","Omigod! You guys... this is the greatest place in the world..."
7140092,714,5,"RAISINS","PORSCHE","Have you ever noticed how much sand there is at the beach? I mean, haven't you ever wondered where all this sand came from? Omigod, this one time, I saw a beetle that was thiiis big. Eeewww!"
