"id","ep_num","segment","title","role","text"
6170001,617,1,"RED SLEIGH DOWN","description","Cartman's house, day. In his room, Cartman has Kyle's cousin Kyle tally up his good and bad deeds to see where he will end up this year. Cousin Kyle is seated at Cartman's desk with piles of paper to go through and an adding machine to keep it all current."
6170002,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Av-a-a-alright, I'm done."
6170003,617,1,"RED SLEIGH DOWN","CARTMAN","You're done?"
6170004,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Ye-yes, I-I've tallied up all the times you've been naughty and deducted the times you've been nice."
6170005,617,1,"RED SLEIGH DOWN","CARTMAN","Yeah, so how's it look?"
6170006,617,1,"RED SLEIGH DOWN","COUSIN KYLE","It doesn't look good, Eric. It doesn't look good."
6170007,617,1,"RED SLEIGH DOWN","CARTMAN","But I'll still be getting presents this year, right?"
6170008,617,1,"RED SLEIGH DOWN","COUSIN KYLE","a-a-aactually it looks like you're gonna owe Santa three hundred and six presents."
6170009,617,1,"RED SLEIGH DOWN","CARTMAN","What?!"
6170010,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Four thousand three hundred and twelve instances of being naughty against three deductions of being nice, is is, is bad."
6170011,617,1,"RED SLEIGH DOWN","CARTMAN","Three?? You didn't deduct all my nice invoices! Look look! What about this one?"
6170012,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Yes, wa-a-I didn't think ""hitting Clyde in the balls with slingshot"" really counted as nice."
6170013,617,1,"RED SLEIGH DOWN","CARTMAN","It was nice for Token; he laughed for like 20 minutes."
6170014,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Ye you can't deduct things like that, Eric. Santa will know and then he'll come after you."
6170015,617,1,"RED SLEIGH DOWN","CARTMAN","God-damnit I have to get that Haibo robot doll, you sonofabitch!"
6170016,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Hey hey,  I'm just your naughty-and-nice accoutant! Don't blame me for the numbers!"
6170017,617,1,"RED SLEIGH DOWN","CARTMAN","Haven't you seen the Haibo doll? It's like a pet, a robot pet. You have to feed it and pet it or else it dies, and it's the coolest thing ever! Santa has to bring me one!"
6170018,617,1,"RED SLEIGH DOWN","COUSIN KYLE","But what, look, aren't there any other nice things you've done recently we can write off here?"
6170019,617,1,"RED SLEIGH DOWN","CARTMAN","Uh... Oh! I brushed my teeth last night!"
6170020,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Eh... brushing your teeth isn't naughty or nice... Eric, it just, it falls more into the category of... brushing your teeth."
6170021,617,1,"RED SLEIGH DOWN","CARTMAN","Well there's still time before Christmas! Can't I still make up for it?"
6170022,617,1,"RED SLEIGH DOWN","COUSIN KYLE","If you cure cancer... and AIDS next week, you would still owe two presents."
6170023,617,1,"RED SLEIGH DOWN","CARTMAN","Jesus Christ!"
6170024,617,1,"RED SLEIGH DOWN","COUSIN KYLE","Ah I'm afraid you're gonna have to find a way to do... the nicest, greaatest thing anyone has ever done. Ever."
6170025,617,2,"RED SLEIGH DOWN","description","South Park city hall, outside, night. A decorated Christmas tree stands at one side of the entrance as the Mayor stands at the dais"
6170026,617,2,"RED SLEIGH DOWN","MAYOR MCDANIELS","Good evening, everyone. In a moment we'll be lighting the South Park Christmas Tree to kick off the holidays!"
6170027,617,2,"RED SLEIGH DOWN","TOWNSFOLK","Hooray!! Christmas Tree! Christmas Tree! Christmas Tree!"
6170028,617,2,"RED SLEIGH DOWN","CARTMAN","Hi guys!  Very Merry Christmas. God bless one, everyone!"
