"id","ep_num","segment","title","role","text"
6080001,608,1,"RED HOT CATHOLIC LOVE","description","South Park Catholic Church, day. Organ music plays. Inside, Priest Maxi is at the pulpit speaking to the congregation"
6080002,608,1,"RED HOT CATHOLIC LOVE","PRIEST MAXI","Parents, it's that time of year again when the bishops and priests from around the country are organizing the Young Men's Catholic Retreat. This year, we're taking the boys on a weekend boat trip to discuss Jesus's role as the Navigator of our lives."
6080003,608,1,"RED HOT CATHOLIC LOVE","STAN","That sounds pretty fun."
6080004,608,1,"RED HOT CATHOLIC LOVE","RANDY","A Catholic boat trip?"
6080005,608,1,"RED HOT CATHOLIC LOVE","SINGER","The Catholic Boat's gonna be headin' on out today."
6080006,608,1,"RED HOT CATHOLIC LOVE","The Catholic Boat. Time to throw all of your cares away.",""
6080007,608,1,"RED HOT CATHOLIC LOVE","Get some hot Chrisitan action; it'll make you-",""
6080008,608,1,"RED HOT CATHOLIC LOVE","RANDY","Waaah! Waaah!  Uyah  ahem. 'Scuse me."
6080009,608,2,"RED HOT CATHOLIC LOVE","description","South Park Catholic Church, day. Mass ends and the congregants go to their cars. A crowd gathers around Randy. The McCormicks are present."
6080010,608,2,"RED HOT CATHOLIC LOVE","RANDY","Look, I just don't think it's the best idea to let our boys to go on a c-cruise with the priests."
6080011,608,2,"RED HOT CATHOLIC LOVE","RICHARD","We can let them go, can we?"
6080012,608,2,"RED HOT CATHOLIC LOVE","LINDA STOTCH","There's no way my son's going."
6080013,608,3,"RED HOT CATHOLIC LOVE","description","A black SUV, nearby. Stan, Cartman and Tweek are in the back seat. Cartman looks out the closed window."
6080014,608,3,"RED HOT CATHOLIC LOVE","STAN","What are they talking about?"
6080015,608,3,"RED HOT CATHOLIC LOVE","CARTMAN","I don't know."
6080016,608,3,"RED HOT CATHOLIC LOVE","TWEEK","Maybe they wanna kill us."
6080017,608,4,"RED HOT CATHOLIC LOVE","description","back to the crowd"
6080018,608,4,"RED HOT CATHOLIC LOVE","RANDY","With everything that's been in the news, I think it's best to keep our kids... far away from the priests."
6080019,608,4,"RED HOT CATHOLIC LOVE","STUART","Now, come on, everybody, just because a few priests in the country have been corrupted doesn't mean that all priests are child molesters."
6080020,608,4,"RED HOT CATHOLIC LOVE","RICHARD","Well, sure, that's easy for you to say; your son's dead. But those of us with alive children need to be sure that Father Maxi's on the up-and-up."
6080021,608,4,"RED HOT CATHOLIC LOVE","SHARON","I've heard about other towns bringing in counselors that know how to find things out from kids without really telling them what's going on."
6080022,608,4,"RED HOT CATHOLIC LOVE","RANDY","It couldn't hurt."
6080023,608,4,"RED HOT CATHOLIC LOVE","RICHARD","Uh, Sh-sh. Here he comes, here he comes."
6080024,608,4,"RED HOT CATHOLIC LOVE","PRIEST MAXI","Uh... Good-bye, everyone."
6080025,608,4,"RED HOT CATHOLIC LOVE","ALL","Good-bye, Father."
6080026,608,4,"RED HOT CATHOLIC LOVE","CHRIS","Alright, then, it's settled. Tomorrow we'll find an outside counselor and... find out the truth."
6080027,608,5,"RED HOT CATHOLIC LOVE","description","Park County Community Center, next day. The boys are chattering when a woman comes in and stands before them."
