"id","ep_num","segment","title","role","text"
2110001,211,1,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","them again.",""
2110002,211,1,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","BARNABY JONES","All in a day's work, I guess. I just hope that next time, I won't have to run so much."
2110003,211,1,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","BARNABY JONES",""
2110004,211,1,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","AS CULTURAL TEXT",""
2110005,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","description","The camera backs up to reveal that the TV is in Mr. Garrison's classroom, and that class is in session"
2110006,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Okay, children, what do you think Barnaby Jones meant when he said, ""This is not a victimless crime""? Anybody?  Children, were you paying attention?!"
2110007,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","KYLE","Mr. Garrison, we've been watching Barnaby Jones repeats for eight days now. It's hard to keep paying attention."
2110008,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Oh, well excuse me, Kyle! Why don't you just forget what Barnaby Jones has to say?! Why don't you not pay attention to Barnaby Jones and then let's see how far you get in society?! Okay, Stanley, why don't you tell us how Barnaby Jones knew the poison was in the milk?"
2110009,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","STAN","Can't we just be like normal third-graders for a little while?"
2110010,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Oh, and what do you consider normal?!"
2110011,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","STAN","I don't know, like, learn about art 'n music and go on field trips and stuff."
2110012,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","THE CLASS","Yeah!"
2110013,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Well, Mr. Smarty-Pants, it just so happens we are going on a field trip tomorrow!"
2110014,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","THE CLASS","Hooray!"
2110015,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","KYLE","To where?"
2110016,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","To the planetarium."
2110017,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","THE CLASS","AAWWWW!"
2110018,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","CARTMAN","Planetariums suck!"
2110019,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Oh now, what's wrong with the planetarium?"
2110020,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","STAN","It's boring."
2110021,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","KYLE","Yeah, all the constellations look alike."
2110022,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Well, too bad! You're all going to the planetarium and you're all going to love it! In the meantime, we're going to watch episode #203, Barnaby Under Siege."
2110023,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","THE CLASS","Aawwww."
2110024,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Oh, sorry, I taped these at home, so there's more commercials."
2110025,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","ANNOUNCER","Hey kids, do you love Cheesy Poofs?"
2110026,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","THE CLASS","Yes."
2110027,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","ANNOUNCER","Well, Cheesy Poofs is looking for a kid to sing the happy Cheesy Poofs song. Watch for our talent van as it goes around the country."
2110028,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","CARTMAN","I can sing the Cheesy Poofs song!"
2110029,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","ANNOUNCER","If you win, you could be picked to be in our next Cheesy Poofs commercial. So remember,"
2110030,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","I love Cheesy Poofs, you love Cheesy Poofs",""
2110031,211,2,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","# If we didn't eat Cheesy Poofs, we'd be lame [Cartman is singing ","along by the end of the first line]"
2110032,211,3,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","description","The next day. Mr. Garrison and the class are headed away from South Park on Ms. Crabtree's bus. The kids are making a lot of noise and running around"
2110033,211,3,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Okay, children, let's quiet down so the nice bus driver can concentrate on the road."
2110034,211,3,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MS. CRABTREE","THAT AIN'T HOW YOY DO IT! YOU DO IT LIKE THIS: SIDDOWN AND SHUT UP!!"
2110035,211,3,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Ow! Jesus, lady!"
2110036,211,3,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","TANTALUS V. OBSERVATORY",""
2110037,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","description","Ms. Crabtree hits the brakes so hard the bus bucks and sends kids flying out of their seats"
2110038,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MS. CRABTREE","THIS IS THE PLANETARIUM-WATCH YOUR STEP ON THE WAY DOWN SO AS NOT TO HURT YOURSEELF!"
2110039,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","KID","Ow."
2110040,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Okay, children, now I'm going to remind you that this is a planetarium, not a Bangkok brothel. Let's behave ourselves."
2110041,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","ANNOUNCER","Does your child have what it takes to be the next Cheesy Poofs anthem singer?"
2110042,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","CARTMAN","Hey, there it is!"
2110043,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","ANNOUNCER","We're going around the country to find the kid who can sing the Cheesy Poofs song better than anybody."
2110044,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","CARTMAN","I can sing the Cheesy Poofs song with both hands tied behnd my back!"
2110045,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","KYLE","You couldn't get both arms behind your back, fatass!"
2110046,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","Come on, Eric. We're going to the planetarium."
2110047,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","CARTMAN","But I'll have to sing the Cheesy Poofs song for that talent va-a-an!"
2110048,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","No, you have to go in this building and see a bunch of stupid stars! Now, come on!"
2110049,211,4,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","CARTMAN","But I wanna sing the Cheesy Poofs song on the commercial!"
2110050,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","description","The class enters the observatory, and some of the students are awed by it all"
2110051,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","A BOY","Wow, don't you?"
2110052,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","A GIRL","What is that?"
2110053,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","DR. ADAMS","Hello, children. My name is Dr. Adams. Welcome to the plane'arium."
2110054,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","KYLE","I thought it was ""plane-tarium."""
2110055,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","DR. ADAMS","Well, it is. But I have a bone disease which impedes my ability to pronounce the ""t"" in ""plane'arium"""
2110056,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","MR. GARRISON","That's a pretty weird bone disease."
2110057,211,5,"ROGER EBERT SHOULD LAY OFF THE FATTY FOODS","DR. ADAMS","Yes. Perhaps someday I can get a bone-marrow transplant.  Yes, little boy?"
