"id","ep_num","segment","title","role","text"
3060001,306,1,"SEXUAL HARRASSMENT PANDA","description","Mr. Garrison's classroom. The kids chat away as Token enters"
3060002,306,1,"SEXUAL HARRASSMENT PANDA","MR. GARRISON","Okay, chlidren. Let's take our seats. We have something very important to discuss. Due to recent events around the country I've been instructed to teach you all about sexual harassment in school."
3060003,306,1,"SEXUAL HARRASSMENT PANDA","KYLE","About what?"
3060004,306,1,"SEXUAL HARRASSMENT PANDA","MR. GARRISON","Now, does anybody know what sexual harassment means?  Yes, Eric?"
3060005,306,1,"SEXUAL HARRASSMENT PANDA","CARTMAN","When you're trying to have intercourse with a lady friend, and some other guy comes up and tickles your balls from behind."
3060006,306,1,"SEXUAL HARRASSMENT PANDA","MR. GARRISON","...No, Eric! That's not what I'm talking about! The school board has sent over a special guest to teach us all about sexual harassment in schools. Please welcome Petey, the Sexual Harassment Panda."
3060007,306,1,"SEXUAL HARRASSMENT PANDA","PETEY",""
3060008,306,1,"SEXUAL HARRASSMENT PANDA","Who lives in the east 'neath the willow tree?",""
3060009,306,1,"SEXUAL HARRASSMENT PANDA","Sexual Harassment Panda.",""
3060010,306,1,"SEXUAL HARRASSMENT PANDA","Who explains sexual harassment to you and me?",""
3060011,306,1,"SEXUAL HARRASSMENT PANDA","Sexual Harassment Panda.",""
3060012,306,1,"SEXUAL HARRASSMENT PANDA","""Don't say that! Don't touch there!",""
3060013,306,1,"SEXUAL HARRASSMENT PANDA","Don't be nasty!"" says the silly bear.",""
3060014,306,1,"SEXUAL HARRASSMENT PANDA","He's come to tell you what's right and wrong.",""
3060015,306,1,"SEXUAL HARRASSMENT PANDA","Sexual Harassment Panda.",""
3060016,306,1,"SEXUAL HARRASSMENT PANDA","Hi, boys and girls. [the class says nothing]",""
3060017,306,1,"SEXUAL HARRASSMENT PANDA","MR. GARRISON","Say ""hi"" to Sexual Harassment Panda!"
3060018,306,1,"SEXUAL HARRASSMENT PANDA","THE CLASS","Hi, Sexual Harassment Panda."
3060019,306,1,"SEXUAL HARRASSMENT PANDA","CLYDE","Hababah."
3060020,306,1,"SEXUAL HARRASSMENT PANDA","PETEY","Did you know that when one little panda pulls on another little panda's underwear, that's sexual harassment? That makes me a sa-a-a-a-ad panda"
