"id","ep_num","segment","title","role","text"
6070001,607,1,"SIMPSONS ALREADY DID IT","description","Kyle's house, day. Stan and Kyle are happily preparing a snowman, which now has twigs, buttons, a hat and scarf. Tweek stands behind Stan holding a carrot."
6070002,607,1,"SIMPSONS ALREADY DID IT","STAN","Okay, now put on the nose, Tweek."
6070003,607,1,"SIMPSONS ALREADY DID IT","TWEEK","I can't.  You do it."
6070004,607,1,"SIMPSONS ALREADY DID IT","KYLE","Just stick it on."
6070005,607,1,"SIMPSONS ALREADY DID IT","TWEEK","But what if I put it in the wrong place?"
6070006,607,1,"SIMPSONS ALREADY DID IT","STAN","Just put it between his eyes."
6070007,607,1,"SIMPSONS ALREADY DID IT","TWEEK","GARH. But what if, while I'm putting on the nose, the snowman comes to life and tries to kill me?"
6070008,607,1,"SIMPSONS ALREADY DID IT","STAN","Tweek, when has that ever happened, except for that one time?"
6070009,607,1,"SIMPSONS ALREADY DID IT","KYLE","Yeah."
6070010,607,1,"SIMPSONS ALREADY DID IT","BUTTERS","Hey, fellas."
6070011,607,1,"SIMPSONS ALREADY DID IT","STAN","Oh, hey Butters."
6070012,607,1,"SIMPSONS ALREADY DID IT","BUTTERS","How are things... oing with your new best friend?"
6070013,607,1,"SIMPSONS ALREADY DID IT","KYLE","Well, Tweek's okay, but he's certainly no Kenny!"
6070014,607,1,"SIMPSONS ALREADY DID IT","TWEEK","Arrrr!"
6070015,607,1,"SIMPSONS ALREADY DID IT","BUTTERS","Yeah, but he's still better than you, Butters."
6070016,607,1,"SIMPSONS ALREADY DID IT","KYLE","Yeah."
6070017,607,1,"SIMPSONS ALREADY DID IT","BUTTERS","Well ah, that's good. Good luck being their new friend, Tweek. I hope you'll do better than me. Well, see ya fellas."
6070018,607,1,"SIMPSONS ALREADY DID IT","TWEEK","Oh man, that is waaay too much pressure!"
6070019,607,1,"SIMPSONS ALREADY DID IT","CARTMAN","You guys, you guys! You're not gonna believe it!"
6070020,607,1,"SIMPSONS ALREADY DID IT","STAN","Uh oh."
6070021,607,1,"SIMPSONS ALREADY DID IT","CARTMAN","Everything's gonna be okay, you guys! Life isn't so crappy after all!"
6070022,607,1,"SIMPSONS ALREADY DID IT","TWEEK","It's not?"
6070023,607,1,"SIMPSONS ALREADY DID IT","CARTMAN","No! I was looking in this magazine, and I found an ad for little ocean creatures that you can buy and raise in your room!"
6070024,607,1,"SIMPSONS ALREADY DID IT","KYLE","No way."
6070025,607,1,"SIMPSONS ALREADY DID IT","CARTMAN","Look!  Sea people. You keep them under a big tank of water and they like, build castles and play basketball and stuff."
6070026,607,1,"SIMPSONS ALREADY DID IT","KYLE","Nuh uh."
6070027,607,1,"SIMPSONS ALREADY DID IT","CARTMAN","Yeah! And look! They ride around on turtles and they play games with fish."
6070028,607,1,"SIMPSONS ALREADY DID IT","KYLE","No way."
6070029,607,1,"SIMPSONS ALREADY DID IT","CARTMAN","Okay, Kyle, you're being a Negative Nancy. Stop it. Eh, unless you want everyone to call you Negative Nancy from now on.  Now, what we need is to all chip in four dollars, and we can have them here tonorrow!"
6070030,607,1,"SIMPSONS ALREADY DID IT","KYLE","Only sixteen dollars? They can't be cool if they're only sixteen dollars. If Nancy doesn't want to chip in, then it will be $5.35 per person!"
6070031,607,1,"SIMPSONS ALREADY DID IT","STAN","Alright, I'll chip in."
6070032,607,1,"SIMPSONS ALREADY DID IT","TWEEK","Gah! Me too."
6070033,607,1,"SIMPSONS ALREADY DID IT","KYLE","Naw, alright."
6070034,607,2,"SIMPSONS ALREADY DID IT","description","Butters' house, day. He reaches his room."
6070035,607,2,"SIMPSONS ALREADY DID IT","LINDA","Butters! Don't forget: dinner is in two hours!"
6070036,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Wokay, mom. Ah I'm just gonna be up here, uh doin' my homework.  Yes. By day he is mild-mannered, sweet, and innocent Butters BUT...  nobody knows that he actually has a dark underside... Professor Chaos! Haha! Time to wreak havoc on the world that shunned me!"
6070037,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","Professor Chaos!"
6070038,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Ah, my faithful companion in world destruction, General Disarray."
6070039,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","I have done as you asked and brought the first load of scrap wood."
6070040,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Excellent, General Disarray! Now we can begin my most horrible evil plan yet to wreak havoc on humanity."
6070041,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","What dastardly deed are we doing now?"
6070042,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Simple, my dear general.  We are going to block out the sun!"
6070043,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","Oh."
6070044,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Oh yes! I have plotted for weeks, and figured that if we build a huge ...wooden shade eighty feet high, a-and fifty feet wide , precisely on this hill, South Park ...will forever be cast in a great shadow."
6070045,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","Oh, awesome!"
6070046,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Soon, all people will have to live like moles! They will love only to remember with sorrow how great the sun used to be!"
6070047,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","Cool. It'll be just like on the Simpsons."
6070048,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Huh?"
6070049,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","They did that on the Simpsons. I think it was the Mr. Burns character. He tried to block Springfield from the sun."
6070050,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","He did? Hawww, heck. I thought I was bein' original."
6070051,607,2,"SIMPSONS ALREADY DID IT","DOUGIE","So how do we build it?"
6070052,607,2,"SIMPSONS ALREADY DID IT","BUTTERS","Aww, I don't wanna do it now , not if they already did it on the Simpsons. I have to think of something else. Uh Goddamnit, how come every time I think of something clever, the Simpsons already did it?"
6070053,607,3,"SIMPSONS ALREADY DID IT","description","Cartman's house, night. The living room light is on. Cartman is sleeping, dreaming..."
6070054,607,3,"SIMPSONS ALREADY DID IT","CARTMAN","Sea people... coming in the mail tomorrow... Yesss... Yeesss..."
6070055,607,4,"SIMPSONS ALREADY DID IT","description","The dream sequence"
6070056,607,4,"SIMPSONS ALREADY DID IT","CARTMAN",""
6070057,607,4,"SIMPSONS ALREADY DID IT","Look at me, livin' free",""
6070058,607,4,"SIMPSONS ALREADY DID IT","Free and clean amongst the Sea People",""
6070059,607,5,"SIMPSONS ALREADY DID IT","description","the sea couple and he sail by in a tiny pirate ship. They take him into the castle"
6070060,607,5,"SIMPSONS ALREADY DID IT","We look for pirates and search for gold.",""
6070061,607,5,"SIMPSONS ALREADY DID IT","Life is an adventure with the Sea People",""
6070062,607,6,"SIMPSONS ALREADY DID IT","description","A sea man pitches to Cartman, who bats the ball for a run. As a sea family looks on he blows out the candles on a cake."
6070063,607,6,"SIMPSONS ALREADY DID IT","They don't ever conplain, they don't call me fat.",""
6070064,607,6,"SIMPSONS ALREADY DID IT","They don't make me do homework or nothin' like that.",""
6070065,607,7,"SIMPSONS ALREADY DID IT","description","he rides a sea horse alongside sea people on horseback and grins at the camera"
6070066,607,7,"SIMPSONS ALREADY DID IT","This is the way life was meant to be. Laughin' and singing,",""
6070067,607,8,"SIMPSONS ALREADY DID IT","description","Shown walking with the sea couple again."
6070068,607,8,"SIMPSONS ALREADY DID IT","Sea people and me.",""
6070069,607,8,"SIMPSONS ALREADY DID IT","Sea people and me, you guys.",""
6070070,607,9,"SIMPSONS ALREADY DID IT","description","The dream ends and the bubbles fade away. Cartman wakes up, smiling"
6070071,607,9,"SIMPSONS ALREADY DID IT","CARTMAN","Woowww. Only three more hours, sea people. Only three hours and you can take me away from this crappy goddamned planet full of hippies."
6070072,607,10,"SIMPSONS ALREADY DID IT","description","Cartman's house, day. He's at his desk with the new kit while Stan, Kyle, and Tweek stand behind him. His dressed as a monarch, in suit, crown and cape."
6070073,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","Okay. I've added the water purifier tablet to the Sea People Kingdom tank. Now it says  ""Step 2.  Add the Sea People eggs to the water; you will see sea life spring instantly.""  Okay, let's just run through this one more time: when the sea people arrive I will welcome them to South Park as Ambassador of Earth. Tweek, you give them the key to the city, and we'll all engage them in simple conversation. We've gotta make sea people feel comfortable, okay? Ready?"
6070074,607,10,"SIMPSONS ALREADY DID IT","STAN","Ready. Let's see 'em."
6070075,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","Hold the sign up, Kyle!  Higher, Kyle! Okay.  Here we go."
6070076,607,10,"SIMPSONS ALREADY DID IT","STAN","Are they playing basketball?"
6070077,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","What the fuck is this?!"
6070078,607,10,"SIMPSONS ALREADY DID IT","STAN","Hey, these are brine shrimp. I used to feed them to my fish."
6070079,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","I got RIPPED OFF!"
6070080,607,10,"SIMPSONS ALREADY DID IT","KYLE","I told you, Cartman."
6070081,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","Oh, shut up, Kyle!!! Shut your Goddamned Jew mouth!!! You people are why there's war in the Middle East!!!  And you, Tweek!! Why don't you learn to button your shirt right, for once?! You're as bad as Stan with his stupid girlfriend, always spending time with her!! God, I hate you guys!!  They were supposed to take me away to their underwater kingdom. They were supposed to take me on adventures of the deep"
6070082,607,10,"SIMPSONS ALREADY DID IT","TWEEK","They package brine shrimp and sell them to kids? That's not right, man!"
6070083,607,10,"SIMPSONS ALREADY DID IT","STAN","What are we gonna do with them?"
6070084,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","Who cares?! Throw 'em away!!"
6070085,607,10,"SIMPSONS ALREADY DID IT","KYLE","Hey! Let's pour them in the teacher's coffee tomorrow morning."
6070086,607,10,"SIMPSONS ALREADY DID IT","STAN","Yeah, that'd be funny."
6070087,607,10,"SIMPSONS ALREADY DID IT","CARTMAN","Heheh, okay, okay."
6070088,607,11,"SIMPSONS ALREADY DID IT","description","next day, Ms. Choksondik's house. The scene from last episode is carried on here, only zoomed out. The paramedics take Ms Choksondik's corpse into the ambulance as a crowd looks on. The adults murmur amongst themselves. The ambulance pulls away and Cartman pulls the other boys in with some urgency."
6070089,607,11,"SIMPSONS ALREADY DID IT","CARTMAN","Alright, listen to me! We must take a strict vow of silence!"
6070090,607,11,"SIMPSONS ALREADY DID IT","TWEEK","Jesus Christ, we killed her!"
6070091,607,11,"SIMPSONS ALREADY DID IT","CARTMAN","Shh! Tweek, shut the hell up!"
6070092,607,12,"SIMPSONS ALREADY DID IT","description","Dougie's house. He's doing homework on the living room coffee table when a doorbell rings. He goes to answer it. He opens the door and Butters steps in with something under wraps"
6070093,607,12,"SIMPSONS ALREADY DID IT","BUTTERS","General Disarray, are your parents home?"
6070094,607,12,"SIMPSONS ALREADY DID IT","DOUGIE","No."
6070095,607,12,"SIMPSONS ALREADY DID IT","BUTTERS","Ah, I've done it, General Disarray. I've completed my most horrible deed to date."
6070096,607,12,"SIMPSONS ALREADY DID IT","DOUGIE","What?"
6070097,607,12,"SIMPSONS ALREADY DID IT","BUTTERS","You know that big statue in the town square of pioneer John Wesley Powell? I snuck over there with a hacksaw and uh, and I cut off his head!  Hahahahaa, yeah!"
6070098,607,12,"SIMPSONS ALREADY DID IT","DOUGIE","Oh, uh..."
6070099,607,12,"SIMPSONS ALREADY DID IT","BUTTERS","Hahaha, and they're probably just realizing that now! Quick! We must turn on the news!"
6070100,607,12,"SIMPSONS ALREADY DID IT","NEWS ANCHOR","... but Hillary Clinton's ass just keeps getting bigger.  Also in the news tonight, a vandal has apparently cut off and stolen the head of the Powell statue in the South Park Town Square."
6070101,607,12,"SIMPSONS ALREADY DID IT","BUTTERS","Look! Look! I've made the news! I-I've wreaked havoc!"
6070102,607,12,"SIMPSONS ALREADY DID IT","NEWS ANCHOR","The head was taken in the early morning hours and the police have no leads."
