"id","ep_num","segment","title","role","text"
8090001,809,1,"SOMETHING WALL MART THIS WAY COMES","description","South Park, day. A lovely tree appears and the camera pans down to street level. Stan and friends are on the sidewalk across the street moving along."
8090002,809,1,"SOMETHING WALL MART THIS WAY COMES","CARTMAN","You guys know what? Um, the last thing you do when you die, is crap your pants."
8090003,809,1,"SOMETHING WALL MART THIS WAY COMES","STAN","...What?"
8090004,809,1,"SOMETHING WALL MART THIS WAY COMES","CARTMAN","Yeah, when you die, your jowels release and crap comes flying out your ass."
8090005,809,1,"SOMETHING WALL MART THIS WAY COMES","KYLE","That is fucking stupid, Cartman!"
8090006,809,1,"SOMETHING WALL MART THIS WAY COMES","CARTMAN","Oh yeah?! I'll bet you five bucks that when you die you crap your pants, asshole!"
8090007,809,1,"SOMETHING WALL MART THIS WAY COMES","MR. GARRISON","Hey everybody, it's time!  It's time!"
8090008,809,1,"SOMETHING WALL MART THIS WAY COMES","TOWNSFOLK","It's time. Oh, it's time? It's happening. It's happening now? Let's go!"
8090009,809,1,"SOMETHING WALL MART THIS WAY COMES","STAN","It's time for what?"
8090010,809,1,"SOMETHING WALL MART THIS WAY COMES","MR. GARRISON","Get down to Metzger's Field! It's about to happen!"
8090011,809,2,"SOMETHING WALL MART THIS WAY COMES","description","Metzger's Field, later. A man is speaking to the crowd gathered there."
8090012,809,2,"SOMETHING WALL MART THIS WAY COMES","OFFICIAL","People of South Park I am pleased to be with you on this most historic day. A day you were certainly all remember... as the day your town... became great. The grand opening of the first South Park... WALL*MART!"
8090013,809,2,"SOMETHING WALL MART THIS WAY COMES","RANDY","Look at it, honey. It's so big."
8090014,809,2,"SOMETHING WALL MART THIS WAY COMES","MR. GARRISON","It's like we're a real town now."
8090015,809,2,"SOMETHING WALL MART THIS WAY COMES","CARTMAN","Whoa, awesome!"
8090016,809,2,"SOMETHING WALL MART THIS WAY COMES","KYLE","Hey! Isn't there where Stark's Pond used to be? Where we used to kayak and fish?"
8090017,809,2,"SOMETHING WALL MART THIS WAY COMES","MAN","Yeah! Now it's a Wall*Mart!"
8090018,809,2,"SOMETHING WALL MART THIS WAY COMES","OFFICIAL","I know that with the opening of the South Park branch of Wall*Mart, you will all see your town completely change... Now, shop friends. Shop!"
8090019,809,2,"SOMETHING WALL MART THIS WAY COMES","RANDY","It's beautiful!"
8090020,809,2,"SOMETHING WALL MART THIS WAY COMES","GRAMPA MARSH","Welcome to Wall*Mart. Welcome to Wall*Mart. ...Welcome to Wall*Mart."
8090021,809,2,"SOMETHING WALL MART THIS WAY COMES","KYLE'S MOTHER","Sharon, isn't that your father?"
8090022,809,2,"SOMETHING WALL MART THIS WAY COMES","SHARON","Yes. Wall*Mart is the leading employer of seniors. And they also employ the handicapped."
