"id","ep_num","segment","title","role","text"
4080001,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","description","A large city at night. Klieg lights pierce through the air as a large crowd gathers in front of a large building."
4080002,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Announcer	Tonight, Stellar Productions presents the boy band ","of the decade! [women scream, jump, and shout. Signs sayins, ""FINGERBANG RULES"" ""FINGER BANG"" ""WE LOVE FINGER BANG"" AND ""FINGER BANG 4EVER"" bob throughout the audience] It's Fingerbang, live from Madison Square Garden! [the interior is shown, with cheering crowds. A heralding sound effect plays, and spotlights flicker around the stage. A burst of fireworks cues the music and the familiar silhouettes of four boys are shown on stage. A few women faint]"
4080003,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","FINGERBANG",""
4080004,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Fingerbang! [they each spin towards the audience once, then stop]",""
4080005,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Bang-bang!",""
4080006,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Fingerbang-bang! [they spin back to their first positions]",""
4080007,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Bangbangbang! [all step forward and do their routine]",""
4080008,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","I'm gonna fingerbang-bang you into my life",""
4080009,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Girl, you like to fingerbang, and it's alright.",""
4080010,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","'Cause I'm the king of fingerbang; let's not fight",""
4080011,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","I'm goin' tuh fingerbang-bang you ever-y night",""
4080012,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","CARTMAN",""
4080013,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","And girl, you know that you're the only girl for me, girl.",""
4080014,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","Girl, you're the girl of my fantasies.",""
4080015,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","You're my girl, you're my girl,",""
4080016,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","WOMAN","Cartman, I want youuu!"
4080017,408,1,"SOMETHING YOU CAN DO WITH YOUR FINGER","CARTMAN",""
