"id","ep_num","segment","title","role","text"
7080001,708,1,"SOUTH PARK IS GAY","description","South Park, school bus stop, morning. Stan, Cartman and Kenny wait for the bus. Stan is dressed in fishnet tank top, artsy pants, and a new, furry cap with the same colors as his old one. Cartman is dressed in a Madonna fashion shirt and artsy pants. His hair is tussled and brighter than usual. Kenny is dressed in a purple parka with light purple sleeves. A lock of his hair peeks out from under the hood."
7080002,708,1,"SOUTH PARK IS GAY","STAN","Oh my God, you guys are not gonna believe what happened to me last night."
7080003,708,1,"SOUTH PARK IS GAY","CARTMAN","What? Tell us?"
7080004,708,1,"SOUTH PARK IS GAY","STAN","So, I'm watching the season premiere of Boy Meets Boy on television, and then Queer Eye for the Straight Guy come on, right? So I fall asleep in front of the TV, and when I wake up, I see that I've spilled the Coke I was drinking all over my satin pajama top."
7080005,708,1,"SOUTH PARK IS GAY","CARTMAN","Oh my Gosh, are you serious? That was the cutest top ever!"
7080006,708,1,"SOUTH PARK IS GAY","STAN","I know!"
7080007,708,1,"SOUTH PARK IS GAY","KENNY","(I just LOVE this jacket 'cause it's SOOO beautiful!)"
7080008,708,1,"SOUTH PARK IS GAY","STAN","Oh, tell me about it, Ken doll."
7080009,708,1,"SOUTH PARK IS GAY","KYLE","Hey dudes."
7080010,708,1,"SOUTH PARK IS GAY","CARTMAN","What a dork!"
7080011,708,1,"SOUTH PARK IS GAY","KYLE","What?"
7080012,708,1,"SOUTH PARK IS GAY","CARTMAN","Nice jacket, Kyle! Polyester is really the hot fabric this fall!"
7080013,708,1,"SOUTH PARK IS GAY","KYLE","Well, but, this is the jacket I always wear."
7080014,708,1,"SOUTH PARK IS GAY","STAN","You've gotta get with the times, girlfriend."
7080015,708,1,"SOUTH PARK IS GAY","CARTMAN","Yeah, that jacket is so September 10th."
7080016,708,1,"SOUTH PARK IS GAY","STAN","Oohh my God, you got splotches on your neck. Are you using any exfoliating products at all??"
7080017,708,1,"SOUTH PARK IS GAY","CARTMAN","We can't let Kyle out in public like this, you guys."
7080018,708,1,"SOUTH PARK IS GAY","KENNY","(That's the truth.)"
7080019,708,1,"SOUTH PARK IS GAY","STAN","Come on, Kyle! We're giving you a makeover!"
