"id","ep_num","segment","title","role","text"
3020001,302,1,"SPONTANEOUS COMBUSTION","description","General Store. The boys are shopping..."
3020002,302,1,"SPONTANEOUS COMBUSTION","STAN","Is this what you're looking for, Kyle?"
3020003,302,1,"SPONTANEOUS COMBUSTION","KYLE","No, I don't think so."
3020004,302,1,"SPONTANEOUS COMBUSTION","KENNY","(How about this?)"
3020005,302,1,"SPONTANEOUS COMBUSTION","KYLE","No, that's a hair dryer!"
3020006,302,1,"SPONTANEOUS COMBUSTION","MANAGER","May I help you find something?"
3020007,302,1,"SPONTANEOUS COMBUSTION","KYLE","Yeah. Do you have any ""nurections""?"
3020008,302,1,"SPONTANEOUS COMBUSTION","MANAGER","Any what?"
3020009,302,1,"SPONTANEOUS COMBUSTION","KYLE","I need to get a nurection for my dad."
3020010,302,1,"SPONTANEOUS COMBUSTION","MANAGER","Very funny, boys. Go on, beat it."
3020011,302,1,"SPONTANEOUS COMBUSTION","STAN","Why is that funny?"
3020012,302,1,"SPONTANEOUS COMBUSTION","KYLE","Dude, my mom and dad keep fighting all the time. And both of them say it's because my dad doesn't have a nurection. So I want to get him one.  Damn it! What the hell is wrong with everybody?"
3020013,302,1,"SPONTANEOUS COMBUSTION","STAN","That's the fifth store we've been kicked out of. Why is it so hard to get a nurection?"
3020014,302,1,"SPONTANEOUS COMBUSTION","KENNY","(You guys, take it seriously.)"
3020015,302,1,"SPONTANEOUS COMBUSTION","KYLE","I just want a nurection so I can give it to my mom."
3020016,302,1,"SPONTANEOUS COMBUSTION","MAN","What?"
3020017,302,1,"SPONTANEOUS COMBUSTION","KENNY","(Well, see you guys. I gotta go take the bus out of town.)"
3020018,302,1,"SPONTANEOUS COMBUSTION","CARTMAN","Oh, where are you gonna go, Kenny? You gonna see your little girlfriend again?"
3020019,302,1,"SPONTANEOUS COMBUSTION","KENNY","(Yeah, you guys. Seriously.)"
3020020,302,1,"SPONTANEOUS COMBUSTION","CARTMAN","Dude, you spend way too much time with that girl. If you don't-"
3020021,302,1,"SPONTANEOUS COMBUSTION","KENNY","(Ach)"
3020022,302,1,"SPONTANEOUS COMBUSTION","STAN","Oh my God, they killed Kenny!"
3020023,302,1,"SPONTANEOUS COMBUSTION","KYLE","You bastards!"
3020024,302,1,"SPONTANEOUS COMBUSTION","CARTMAN","What the hell happened to him?"
3020025,302,1,"SPONTANEOUS COMBUSTION","STAN","He just... ignited."
3020026,302,1,"SPONTANEOUS COMBUSTION","MAN","What happened?"
3020027,302,1,"SPONTANEOUS COMBUSTION","WOMAN","I saw it from across the street. He just caught on fire."
3020028,302,1,"SPONTANEOUS COMBUSTION","OFFCIER BARBRADY","Okay people, stand back. Give the little burnt boy some breathing room"
3020029,302,1,"SPONTANEOUS COMBUSTION","BLOND MAN","I've heard about this. This is... spontaneouos combustion. But it usually only happens to fat people near open flames."
3020030,302,1,"SPONTANEOUS COMBUSTION","MAN 2","Is it contagious?"
3020031,302,1,"SPONTANEOUS COMBUSTION","WOMAN","Am I going to spntaneously combust?"
3020032,302,1,"SPONTANEOUS COMBUSTION","MAN 3","I hope it doesn't happen to me."
3020033,302,1,"SPONTANEOUS COMBUSTION","WOMAN","This is very scary."
3020034,302,2,"SPONTANEOUS COMBUSTION","description","City Hall, the Mayor's office. The Mayor is talking with someone."
3020035,302,2,"SPONTANEOUS COMBUSTION","THE MAYOR","The people are panicking about spontaneous combustion. That's why I've assembled this crack team of scientists to find out the cause of the phenomenon. You are the best scientific mind South Park has to offer."
3020036,302,2,"SPONTANEOUS COMBUSTION","RANDY","...Uuuh. Mayor, I'm a geologist."
3020037,302,2,"SPONTANEOUS COMBUSTION","THE MAYOR","Right."
3020038,302,2,"SPONTANEOUS COMBUSTION","RANDY","Well, uh I don't study human biology, I study the earth."
3020039,302,2,"SPONTANEOUS COMBUSTION","THE MAYOR","Look, you're the only scientist that lives in this town. You have to find an answer before more people combust. You do that, and you'll be the most beloved man in South Park."
3020040,302,3,"SPONTANEOUS COMBUSTION","description","The Most Beloved Man In South Park. Hands move him over the crowd"
3020041,302,3,"SPONTANEOUS COMBUSTION","CROWD","Randy! Randy! Randy! Randy!"
3020042,302,3,"SPONTANEOUS COMBUSTION","MAN","We love you, Randy."
3020043,302,3,"SPONTANEOUS COMBUSTION","WOMAN","Make love to me, Randy. Please!"
3020044,302,4,"SPONTANEOUS COMBUSTION","description","returns"
3020045,302,4,"SPONTANEOUS COMBUSTION","RANDY","Wow."
3020046,302,4,"SPONTANEOUS COMBUSTION","THE MAYOR","Marsh, I'm not asking you, I'm telling you! Find the cause of spontaneous combustion, or else!"
3020047,302,4,"SPONTANEOUS COMBUSTION","RANDY","Or else what?"
3020048,302,4,"SPONTANEOUS COMBUSTION","THE MAYOR","Exactly!"
3020049,302,5,"SPONTANEOUS COMBUSTION","description","First Church of South Park. The organ is heard as people gather for Kenny's funeral. Inside, Stan and Kyle hop up to the bier the coffin is on. Cartman tries a couple of times and finally makes it"
3020050,302,5,"SPONTANEOUS COMBUSTION","STAN","Dude, he looks so peaceful without his little orange coat on."
3020051,302,5,"SPONTANEOUS COMBUSTION","KYLE","Yeah."
3020052,302,6,"SPONTANEOUS COMBUSTION","description","The boys hop off the bier and move to the front row for the service as Priest Maxi approaches the coffin. He opens the Bible and reads"
3020053,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","The Lord giveth and the Lord taketh away. Sometimes the giveth seems a little disproportionate to the taketh. There seems to be a lot more takething going on, but there it is. Perhaps if more of you attended church on Sundays , the Lord would not have felt it necessary to punish us by takething this little boy..."
3020054,302,6,"SPONTANEOUS COMBUSTION","MR. GARRISON","Oh, here comes the guilt trip again."
3020055,302,6,"SPONTANEOUS COMBUSTION","PRISST MAXI","Now, let us pray.  Lord, though we have lost Neil Smith to free agency and Steve Atwater to the Jets, still, we hope our beloved Broncos can bring home another Super Bowl championship, and once again bathe in the glory of your light. Amen."
3020056,302,6,"SPONTANEOUS COMBUSTION","ALL","Amen."
3020057,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Let's go"
3020058,302,6,"SPONTANEOUS COMBUSTION","ALL","Let's go"
3020059,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Broncos"
3020060,302,6,"SPONTANEOUS COMBUSTION","ALL","Broncos"
3020061,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Let's go Broncos"
3020062,302,6,"SPONTANEOUS COMBUSTION","ALL","Broncos, let's go!"
3020063,302,6,"SPONTANEOUS COMBUSTION","STAN","Wow, that was short."
3020064,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Boys, I haven't seen you in church lately."
3020065,302,6,"SPONTANEOUS COMBUSTION","KYLE","Well, I'm Jewish."
3020066,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","You're not too Jewish to worship Jesus, are you?"
3020067,302,6,"SPONTANEOUS COMBUSTION","KYLE","I guess not."
3020068,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Good. Boys, how would you like to perform the Stations of the Cross this Friday night?"
3020069,302,6,"SPONTANEOUS COMBUSTION","STAN","The what?"
3020070,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","It's like a skit, where you reeanct the death and glorious resurrection of Jesus Christ."
3020071,302,6,"SPONTANEOUS COMBUSTION","KYLE","Hey, resurrection! That's what my dad needs!"
3020072,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Huh?"
3020073,302,6,"SPONTANEOUS COMBUSTION","KYLE","We'll do it! We'll do it!"
3020074,302,6,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Wonderful. Here's a book on how to perform it. Don't let me down, boys."
3020075,302,6,"SPONTANEOUS COMBUSTION","KYLE","Dude, this is great! You know all the stations of the Cross, right, Stan?"
3020076,302,6,"SPONTANEOUS COMBUSTION","STAN","I don't know, dude. I'm gonna have to go look in the Bible."
3020077,302,7,"SPONTANEOUS COMBUSTION","description","Outside, some of the churchgoers are still around"
3020078,302,7,"SPONTANEOUS COMBUSTION","TOM","Good night, Jerry."
3020079,302,7,"SPONTANEOUS COMBUSTION","JERRY","See ya, Tom. Bye, Helen."
3020080,302,7,"SPONTANEOUS COMBUSTION","HELEN","Bye, Jer- aaa!"
3020081,302,7,"SPONTANEOUS COMBUSTION","JERRY","Oh my God, another one."
3020082,302,7,"SPONTANEOUS COMBUSTION","TOM","Helen, no!"
3020083,302,7,"SPONTANEOUS COMBUSTION","JERRY","What happened?"
3020084,302,7,"SPONTANEOUS COMBUSTION","MAN 5","God must be very angry with us. But why?  How have we angered you, Lord?"
3020085,302,8,"SPONTANEOUS COMBUSTION","description","Stan's house. Randy's in the basement doing preliminary work. He's working on some chemical reactions when the boys come down"
3020086,302,8,"SPONTANEOUS COMBUSTION","RANDY","Well, let's see. If they combust... no. Could be from the... no."
3020087,302,8,"SPONTANEOUS COMBUSTION","STAN","Dad, where's our Bible?"
3020088,302,8,"SPONTANEOUS COMBUSTION","RANDY","Not now, Stan. I have to find out what causes spontaneous combustion. Or else."
3020089,302,8,"SPONTANEOUS COMBUSTION","STAN","Or else what?"
3020090,302,8,"SPONTANEOUS COMBUSTION","RANDY","Exactly."
3020091,302,8,"SPONTANEOUS COMBUSTION","STAN","...What?"
3020092,302,8,"SPONTANEOUS COMBUSTION","RANDY","Right."
3020093,302,8,"SPONTANEOUS COMBUSTION","STAN","Where's our Bible?"
3020094,302,8,"SPONTANEOUS COMBUSTION","RANDY","It's in the attic with the old LP's. Boys, did you notice anything uuuh strange about Kenny in the weeks leading up to his combustion? Ooh, what did he spend his time doing?"
3020095,302,8,"SPONTANEOUS COMBUSTION","KYLE","He didn't do anything. He was always with his new girlfriend."
3020096,302,8,"SPONTANEOUS COMBUSTION","RANDY","New girlfriend?"
3020097,302,8,"SPONTANEOUS COMBUSTION","STAN","Yeah, he started seeing this girl and he spent a lot of time taking the bus to go visit her. What does that have to do with his death?"
3020098,302,8,"SPONTANEOUS COMBUSTION","RANDY","Maybe nothing...  maybe everything."
3020099,302,8,"SPONTANEOUS COMBUSTION","STAN","...Well, we're gonna go work on getting Kyle's dad a nurection."
3020100,302,8,"SPONTANEOUS COMBUSTION","RANDY","Yes, yes, of course. I've got work to do.  What?!"
3020101,302,9,"SPONTANEOUS COMBUSTION","description","Stan's room. Stan reads from the Stations of the Cross booklet while Kyle reads from the Bible"
3020102,302,9,"SPONTANEOUS COMBUSTION","STAN","Let's see: Jesus got crucified, then he died, then three days later he had his urection. Let's see, there's fourteen Stations of the Cross. Now, it says we can makes costumes out of sheets."
3020103,302,9,"SPONTANEOUS COMBUSTION","KYLE","This is gonna be fun."
3020104,302,9,"SPONTANEOUS COMBUSTION","CARTMAN","I'm gonna be Jesus!"
3020105,302,9,"SPONTANEOUS COMBUSTION","KYLE","You're too fat to be Jesus!"
3020106,302,9,"SPONTANEOUS COMBUSTION","CARTMAN","Oh, and like you're gonna do it, Jew?!"
3020107,302,9,"SPONTANEOUS COMBUSTION","KYLE","Stan should be Jesus."
3020108,302,9,"SPONTANEOUS COMBUSTION","CARTMAN","Either I'm Jesus, or else, screw you guys, I'm going home!"
3020109,302,9,"SPONTANEOUS COMBUSTION","KYLE","You're such a fat baby!"
3020110,302,9,"SPONTANEOUS COMBUSTION","CARTMAN","Well, I guess you guys can do the Stations of the Cross by yourselves."
3020111,302,9,"SPONTANEOUS COMBUSTION","KYLE","All right, all right, you could be Jesus, you tubby cry-baby!"
3020112,302,9,"SPONTANEOUS COMBUSTION","CARTMAN","Stick and stones may break my bones, but I'm Jesus and you aren't."
3020113,302,10,"SPONTANEOUS COMBUSTION","description","Back in the basement..."
3020114,302,10,"SPONTANEOUS COMBUSTION","RANDY","All right, all right, let's try it again. Kenny was standing here. Stan, Kyle and Cartman were walking around him. Now, walk.  Do you feel hot?"
3020115,302,10,"SPONTANEOUS COMBUSTION","""KENNY""","Uh, no."
3020116,302,10,"SPONTANEOUS COMBUSTION","RANDY","Damn it! How come you're not combusting?"
3020117,302,10,"SPONTANEOUS COMBUSTION","""STAN""","Come on, Randy. You said we were gonna drink beer and watch the fight."
3020118,302,10,"SPONTANEOUS COMBUSTION","TOWNSMAN","Another one! Another one combusted!"
3020119,302,10,"SPONTANEOUS COMBUSTION","RANDY","No! Has she been doing anything odd?"
3020120,302,10,"SPONTANEOUS COMBUSTION","TOWNSMAN","No, she was just on her way to her new boyfriend's house."
3020121,302,10,"SPONTANEOUS COMBUSTION","RANDY","Boyfriend. And they said Kenny had a new girlfriend."
3020122,302,10,"SPONTANEOUS COMBUSTION","""CARTMAN""","This is stupid. Screw you guys, I'm going home."
3020123,302,10,"SPONTANEOUS COMBUSTION","RANDY","No! I think I might have it."
3020124,302,11,"SPONTANEOUS COMBUSTION","description","The First Church of South Park, night of Good Friday"
3020125,302,11,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Well, well, well. A lot of you came to church. Looks like we're a little ""nervous"" about this spontaneous combustion thing, huh?"
3020126,302,11,"SPONTANEOUS COMBUSTION","A FEW PEOPLE","Yeah."
3020127,302,11,"SPONTANEOUS COMBUSTION","PRIEST MAXI","Well, on this blessed Friday let us give thanks for stuff, and things. Lord, is it so much to ask that you not let us suddenly burst into flame for no apparent reason? I mean, come on! Amen.  And now, some of our darling local children are going to perform the Stations of the Cross."
3020128,302,11,"SPONTANEOUS COMBUSTION","CROWD","Awww."
