"id","ep_num","segment","title","role","text"
2150001,215,1,"SPOOKY FISH","description","Outer Space. A ship descends and then turns towards Earth, headed for the western U.S. As it enters the atmosphere it begins to burn. It slows down and hovers over a road, then lands gently. A door opens like a camera lens, and an alien drops down. As soom as he moves, a tire crushes him. Judging by the size of the tire, the alien was 18 to 24 inches tall. The tire is that of the South Park Elementary school bus, which stops to let the boys off. Then it pulls away."
2150002,215,1,"SPOOKY FISH","STAN","I wonder why Cartman wasn't in school today."
2150003,215,1,"SPOOKY FISH","KYLE","He probably just ditched to avoid that spelling test."
2150004,215,1,"SPOOKY FISH","CARTMAN","Hey guys. How's it going?"
2150005,215,1,"SPOOKY FISH","KYLE","Uh, nice costume, dude. Who are you supposed to be? Luke Perry?"
2150006,215,1,"SPOOKY FISH","STAN","Cartman, how come you weren't in school today?"
2150007,215,1,"SPOOKY FISH","KYLE","Did you eat too many pork rinds last night?"
2150008,215,1,"SPOOKY FISH","CARTMAN","You guys, you're so funny. No matter how I'm feeling, I can always count on you guys to lighten me up."
2150009,215,1,"SPOOKY FISH","STAN","What?"
2150010,215,1,"SPOOKY FISH","CARTMAN","I had to stay home because my mother wasn't feeling well. She has the flu, and I wanted to take care of the house so she could stay in bed.  I just wanted to catch you guys to see if we were assigned any homework tonight."
2150011,215,1,"SPOOKY FISH","KYLE","What the hell are you talking about, Cartman?!"
2150012,215,1,"SPOOKY FISH","STAN","Stop screwing around, dude. We're all gonna go meet at the store later to buy pumpkins to carve."
2150013,215,1,"SPOOKY FISH","CARTMAN","Oooh, then we can enter the carving contest! I'll run home and get money from Mother. Do you guys need some, too?"
2150014,215,1,"SPOOKY FISH","STAN","Dude, this is creepy."
2150015,215,2,"SPOOKY FISH","description","Stan reaches his house and enters"
2150016,215,2,"SPOOKY FISH","SHARON","Stanley? Look who's here. Aunt Flo."
2150017,215,2,"SPOOKY FISH","AUNT FLO","Hello, Stanley. Remember me?"
2150018,215,2,"SPOOKY FISH","STANLEY","Hi, Aunt Flo."
2150019,215,2,"SPOOKY FISH","SHARON","Now, Stanley! Aunt Flo only visits once a month. Be nice."
2150020,215,2,"SPOOKY FISH","AUNT FLO","Hey, Stanley. I brought you and Shelley presents."
2150021,215,2,"SPOOKY FISH","STAN","Wow, really?! Hey, I love Aunt Flo!"
2150022,215,2,"SPOOKY FISH","AUNT FLO","Okay, Shelley. This one's for you. It's a television/CD player/surround sound home theater."
2150023,215,2,"SPOOKY FISH","STAN","Wow!"
2150024,215,2,"SPOOKY FISH","SHARON","What do you say, Shelley?"
2150025,215,2,"SPOOKY FISH","SHELLEY","Thank you, Aunt Flo."
2150026,215,2,"SPOOKY FISH","SHARON","Okay, Stanley. Your turn."
2150027,215,2,"SPOOKY FISH","AUNT FLO","Your very own fish."
2150028,215,2,"SPOOKY FISH","SHELLEY","What do you say, Stanley?"
2150029,215,2,"SPOOKY FISH","STAN","I don't know."
2150030,215,2,"SPOOKY FISH","AUNT FLO","I think he likes you.  Come on Shelley. Let's hook up your home theater."
2150031,215,2,"SPOOKY FISH","SHELLEY","Okay."
2150032,215,2,"SPOOKY FISH","SHARON","How do you like your fish, Stanley?"
2150033,215,2,"SPOOKY FISH","STAN","I don't like it. It's spooky."
2150034,215,2,"SPOOKY FISH","SHARON","Oh, now, what's spooky about a cute, little goldfish? Go put him in your room."
2150035,215,2,"SPOOKY FISH","STAN","Do I have to?"
2150036,215,2,"SPOOKY FISH","SHARON","Yes, you do!"
2150037,215,2,"SPOOKY FISH","STAN","Damn it!"
2150038,215,2,"SPOOKY FISH","SHARON","Language!"
2150039,215,3,"SPOOKY FISH","description","A DIFFERENT BARBRA PICTURE ZOOMS OUT FROM THE CENTER OF THE SCREEN. NEXT the bus stop. Kyle is already there"
2150040,215,3,"SPOOKY FISH","KYLE","Where have you been, dude?"
2150041,215,3,"SPOOKY FISH","STAN","Dude, my mom's having her monthly visitor."
2150042,215,3,"SPOOKY FISH","KYLE","Aunt Flo?"
2150043,215,3,"SPOOKY FISH","STAN","Yeah. Every time she shows up my mom turns into a total bitch."
2150044,215,3,"SPOOKY FISH","KYLE","Where is Cartman? He said he was gonna bring money for us to buy a pumpkin."
2150045,215,3,"SPOOKY FISH","STAN","Yeah, I wonder why he's being so nice."
2150046,215,3,"SPOOKY FISH","KYLE","Here he comes."
2150047,215,3,"SPOOKY FISH","STAN","Hey, Cartman! Did you bring us money from your mom?"
2150048,215,3,"SPOOKY FISH","CARTMAN","Heh! Yeah, right! You guys could kiss my black ass!"
2150049,215,3,"SPOOKY FISH","KYLE","You said you could get us money, Cartman!"
2150050,215,3,"SPOOKY FISH","CARTMAN","Man, you guys are hella stupid! If I had money, I wouldn't give it to you assholes!"
2150051,215,3,"SPOOKY FISH","KYLE","Well, at least he's back to normal."
2150052,215,3,"SPOOKY FISH","STAN","Yeah, but we can't get a pumpkin, so we can't enter the carving contest!"
2150053,215,3,"SPOOKY FISH","KYLE","It's okay. Kenny said he'd get one."
2150054,215,3,"SPOOKY FISH","CARTMAN","Oh, how's Kenny gonna get one?! He's hella poor!"
2150055,215,3,"SPOOKY FISH","STAN","Why do you keep saying ""hella,"" fatass?!"
2150056,215,3,"SPOOKY FISH","CARTMAN","'Cause I'm hella cool, that's why."
2150057,215,3,"SPOOKY FISH","KYLE","That's not cool!"
2150058,215,3,"SPOOKY FISH","CARTMAN","You guys are just hella jealous."
2150059,215,4,"SPOOKY FISH","description","Night time, storm. Stan's house. Randy is about to turn off the light in Stan's room"
2150060,215,4,"SPOOKY FISH","RANDY","Good night, Stanley. We'll uh see you in the morning."
2150061,215,4,"SPOOKY FISH","STAN","Can you leave the light on, Dad?"
2150062,215,4,"SPOOKY FISH","RANDY","Well, it has to be off, or your Aunt Flo will complain about wasting electricity."
2150063,215,4,"SPOOKY FISH","STAN","I wish Aunt Flo didn't have to visit now."
2150064,215,4,"SPOOKY FISH","RANDY","Yeah, me too. But she only visits your mom for five days or so. I'll be out sleeping on the couch."
2150065,215,5,"SPOOKY FISH","description","In the darkness, Stan pulls the covers close and looks at the fish. They stare at each other, and the fish blows a bubble. Stan turns away, then looks back. The fish just looks at him. Stan then turns towards the window and begins to fall asleep, until lightning startles him upright. He looks at the tank. The fish is gone!"
2150066,215,5,"SPOOKY FISH","STAN","Where did it go?  Huhhh."
2150067,215,6,"SPOOKY FISH","description","Kenny's house. Rain is dripping in all over the ceiling as pails collect the water. Kenny, Kevin and Mom share a blanket on the sofa while Stuart sits in the armchair"
2150068,215,6,"SPOOKY FISH","KENNY","(Give me that-!)"
2150069,215,6,"SPOOKY FISH","MOM","Kenny ,"
2150070,215,6,"SPOOKY FISH","KENNY","(Ow, mom!)"
2150071,215,6,"SPOOKY FISH","MOM","You share that blanket with your brother!"
2150072,215,6,"SPOOKY FISH","STUART","Who the hell could that be?"
2150073,215,6,"SPOOKY FISH","CARTMAN","Hi there, folks! This is a heck of a storm out now! Thought maybe you could use some provisions.  There's some candles and food in there. It ain't much, but it should get you through the night. Take care, folks. I've got other houses to get to."
2150074,215,6,"SPOOKY FISH","STUART","Kenny, wasn't that your fat, racist, foul-mouthed friend, Eric Cartman?"
2150075,215,6,"SPOOKY FISH","KENNY","(Uh huh)"
2150076,215,7,"SPOOKY FISH","description","Stan's house. He gets up once again to look at the tank, but the shirt is not on it anymore."
2150077,215,7,"SPOOKY FISH","STAN","Hey. Where did the shirt go?  I covered you with a shirt! Where did it go?! AAAaAaAaAa  I'm not gonna look.  It's not closer. I'm just seeing things. GAAAH!  AAAAAAAH!!  MOM! Mom!"
2150078,215,7,"SPOOKY FISH","SHARON","Stanley, settle down!"
2150079,215,7,"SPOOKY FISH","STAN","Look. He's gonna kill me, Mom!"
2150080,215,7,"SPOOKY FISH","AUNT FLO","Is there a problem?"
2150081,215,7,"SPOOKY FISH","SHARON","Uhno problem, Aunto Flo."
2150082,215,7,"SPOOKY FISH","AUNT FLO","Do you not like your goldfish?"
2150083,215,7,"SPOOKY FISH","STAN","No!"
2150084,215,7,"SPOOKY FISH","AUNT FLO","I'm sorry. I'm a bad aunt."
2150085,215,7,"SPOOKY FISH","SHARON","There, there, Aunt Flo. Stanley loves his goldfish."
2150086,215,8,"SPOOKY FISH","description","1 25 a.m. Stan is under the covers looking at the spooky fish. After a long while, the fish turns around and starts writing something on the tank wall with his tail. Stan gets out of bed for a closer look. The fish finishes writing and turns to blow on the wall. A gray area appears and the word ""KILL"" appears within it."
2150087,215,8,"SPOOKY FISH","STAN","AAAAAAAAH!"
2150088,215,8,"SPOOKY FISH","SHARON","Stanley, what are you doing?!"
2150089,215,8,"SPOOKY FISH","STAN","The fish!  But-."
2150090,215,8,"SPOOKY FISH","SHARON","Stanley, I'm in no mood for this! Not when youur Aunt Flo is in town! Oh, look, you woke your sister up.  Go to sleep, Stanley!"
2150091,215,9,"SPOOKY FISH","description","Stan gets back into bed and pulls the covers up. Another flash of lighting gets Stan to sit up again. He looks at the tank again, then gets out of bed for a closer look, failing to notice the growing pool of blood next ot him. The fish again looks down and to the right, and Stan's eyes follow"
2150092,215,9,"SPOOKY FISH","STAN","WAAAAAAAH! Mooomm!"
2150093,215,9,"SPOOKY FISH","SHARON","All right, Stanley. I have had enough o-  Oh, Stanley, what have you done, baby? What have you done??"
2150094,215,9,"SPOOKY FISH","STAN","Mom, I was just sleeping. And the next thing I knew-."
2150095,215,9,"SPOOKY FISH","SHARON","Sshhh. It's okay, honey. It's okay. I've got such a good boy, Mommy's little angel.  Now, don't worry, Stanley. Mommy's going to hide the body.  Nobody's going to take my baby away. I've got such a handsome boy, such a good boy."
2150096,215,9,"SPOOKY FISH","STAN","You're not gonna get away with this!"
2150097,215,10,"SPOOKY FISH","description","Stan walks over to the window and sees his mom digging a grave next to the body. She then places the body in the grave and covers it up. She returns with the shovel to the kitchen and closes the door behind her."
2150098,215,10,"SPOOKY FISH","AUNT FLO","Sharon!"
2150099,215,10,"SPOOKY FISH","SHARON","D'uh! Aunt Flo, what are you doing up?!"
2150100,215,10,"SPOOKY FISH","AUNT FLO","Look at you, with your little shovel. Just like when you were twelve."
2150101,215,10,"SPOOKY FISH","STAN","Mom, what are you doing?"
2150102,215,10,"SPOOKY FISH","SHARON","Sshh. It's going to be okay, Stanley."
2150103,215,10,"SPOOKY FISH","STAN","Mom, do you think I killed that guy? It was the fish! He says I'm next!"
2150104,215,10,"SPOOKY FISH","SHARON","Now get some sleep, baby. Mommy's taken care of everything."
2150105,215,10,"SPOOKY FISH","STAN","But MOM!"
2150106,215,10,"SPOOKY FISH","SHARON","Sshh."
2150107,215,10,"SPOOKY FISH","Hush little baby, don't say a word. Momma's gonna buy you a mockin' ","bird"
2150108,215,10,"SPOOKY FISH","If that mockin' bird don't sing, Momma's gonna bury it in the ","backyard"
2150109,215,11,"SPOOKY FISH","description","8 a.m., next day. A rooster crows and Stan's clock farts. Stan wakes up and looks at the tank. The fish is still there. Stan hops off the bed and walks to the tank, but is stopped by another body."
2150110,215,11,"SPOOKY FISH","STAN","MMOOMM!"
2150111,215,11,"SPOOKY FISH","SHARON","What is it, honey?  My baby's killed again!"
2150112,215,11,"SPOOKY FISH","STAN","No, mom!"
2150113,215,11,"SPOOKY FISH","SHARON","What are we gonna do, baby? What are we gonna do??  I've got such a handsome boy, such a good boy."
2150114,215,12,"SPOOKY FISH","description","Almost 8 p.m., Kyle's house. Kyle and Cartman are at table when Kenny comes in"
2150115,215,12,"SPOOKY FISH","KYLE","It's about time, Kenny! Did you bring the pumpkin?"
2150116,215,12,"SPOOKY FISH","KENNY","(Uh huh!)"
2150117,215,12,"SPOOKY FISH","CARTMAN","Well, where is it?  What the hell is that?!"
2150118,215,12,"SPOOKY FISH","KENNY","(It's the only thing I could afford.)"
2150119,215,12,"SPOOKY FISH","CARTMAN","It's all you could afford?! Whoever heard of a squah-o-lantern, Kenny?! That's hella stupid!"
2150120,215,12,"SPOOKY FISH","KYLE","Stop saying ""hella,"" Cartman!  How are we gonna win the contest with a squash? Whoa, Stan. You don't look so good."
2150121,215,12,"SPOOKY FISH","STAN","I haven't been sleeping so well."
2150122,215,12,"SPOOKY FISH","CARTMAN","God, I hate you, Kenny.  I have to get another knife; this one's hella dull!"
