"id","ep_num","segment","title","role","text"
1090001,109,1,"STARVIN MARVIN","The boys are all gathered on Cartman's couch watching ","television. They are all laughing."
1090002,109,1,"STARVIN MARVIN","STAN","That was awesome!!"
1090003,109,1,"STARVIN MARVIN","KYLE","Yeah!"
1090004,109,1,"STARVIN MARVIN","Cartman's mother steps in front of the T.V.",""
1090005,109,1,"STARVIN MARVIN","MS. CARTMAN","Would you boys like some cheesy poofs?"
1090006,109,1,"STARVIN MARVIN","CARTMAN","(Pissed) Get out of the way, mom! The Terrance and Phillip Thanksgiving special is on!!"
1090007,109,1,"STARVIN MARVIN","MS. CARTMAN","(Walking away) Sure hon."
1090008,109,1,"STARVIN MARVIN","CARTMAN","(Calling after her) And yeah we want cheesy poofs!!"
1090009,109,1,"STARVIN MARVIN","ANGLE - TELEVISION",""
1090010,109,1,"STARVIN MARVIN","EXT. PLYMOUTH - DAY",""
1090011,109,1,"STARVIN MARVIN","Terrance and Phillip, wearing pilgrim hats, stand in front ","of a boat."
1090012,109,1,"STARVIN MARVIN","PHILLIP","Hey Terrance, looks like this might be a good place to start a new colony."
1090013,109,1,"STARVIN MARVIN","TERRANCE","It sure does Phillip. Nobody will oppress our religion here!"
1090014,109,1,"STARVIN MARVIN","Terrance farts loudly on Phillip.",""
1090015,109,1,"STARVIN MARVIN","PHILLIP","OH!! YOU STAINED MY PILGRIM HAT, BUTT PIPE!"
1090016,109,1,"STARVIN MARVIN","INT. CARTMAN'S HOUSE - NIGHT",""
1090017,109,1,"STARVIN MARVIN","The boys all laugh merrily, now surrounded by bags of cheesy ","poofs."
1090018,109,1,"STARVIN MARVIN","CARTMAN","Did you guys see that?! That was sweet!"
1090019,109,1,"STARVIN MARVIN","ANGLE - TELEVISION",""
1090020,109,1,"STARVIN MARVIN","NARRATOR","Coming up next on The Terrance and Phillip Thanksgiving Special, Phillip farts on Terrance and laughs!"
1090021,109,1,"STARVIN MARVIN","KYLE","Oh, Cool!"
1090022,109,1,"STARVIN MARVIN","ANGLE - TELEVISION",""
1090023,109,1,"STARVIN MARVIN","NARRATOR","And now a word from our sponsor."
1090024,109,1,"STARVIN MARVIN","A commercial begins. An image of desolate, barren land.",""
1090025,109,1,"STARVIN MARVIN","FEMALE VOICE","(Voice over) Here in the heart of Africa, children are dying. Not from disease or war... but from hunger."
1090026,109,1,"STARVIN MARVIN","An image of starving kids with flies all around them.",""
1090027,109,1,"STARVIN MARVIN","FEMALE VOICE","I'm Sally Struthers..."
1090028,109,1,"STARVIN MARVIN","Sally steps in front of the camera; a big, fat pig.",""
1090029,109,1,"STARVIN MARVIN","SALLY STRUTHERS","These children are in desperate need, and only you can help."
1090030,109,1,"STARVIN MARVIN","STAN","Hey, who's that fat chick?"
1090031,109,1,"STARVIN MARVIN","KYLE","Sally Struthers, dude. She used to be on Full House."
1090032,109,1,"STARVIN MARVIN","STAN","Oh."
1090033,109,1,"STARVIN MARVIN","ANGLE - TELEVISION",""
1090034,109,1,"STARVIN MARVIN","SALLY STRUTHERS","You see, here in the middle of Africa, food is extremely scarce --"
1090035,109,1,"STARVIN MARVIN","STAN","Doesn't look like she's having any trouble finding food."
