"id","ep_num","segment","title","role","text"
3130001,313,1,"STARVIN  MARVIN IN SPACE","description","Space. A small ship makes its way towards earth. An alien flies the ship. It has a big brain, and its head is covered with veins that stick out."
3130002,313,1,"STARVIN  MARVIN IN SPACE","MARKLAR","Marklar, this is Marklar. Approaching Marklar."
3130003,313,1,"STARVIN  MARVIN IN SPACE","MARKLAR DISPATCHER","Proceed with marklar and make first contact."
3130004,313,1,"STARVIN  MARVIN IN SPACE","MARKLAR","Marklar.  Greetings, Marklar, I am Marklar. I come in marklar.  Oh, marklar.  AAAAAAAAAA!"
3130005,313,2,"STARVIN  MARVIN IN SPACE","description","Fade to next day, the Ethiopian desert under the hot sun. The Ethiopians laze about in front of their huts, having nothing to do. The camera pans past the hut to a small white church with a simple cross and a white picket fence."
3130006,313,2,"STARVIN  MARVIN IN SPACE","WOMAN","Hello, everyone. I am Sister Hollis. I was chosen for my mission work to come here to Africa and teach you all about the teachings of Jesus.  Okay then, do we have our Bibles that were handed out freely?  No no no, we don't eat the Bibles, we read them.  Now, let's turn to Mark 3:19.  Come on, remember : reading Bible plus accepting Jesus equals food.  Good. Now, who can read Mark 3:19? How about... Marvin?"
3130007,313,2,"STARVIN  MARVIN IN SPACE","MARVIN","Doundobi godia dyum * *"
3130008,313,2,"STARVIN  MARVIN IN SPACE","HOLLIS","No, Marvin, in God's language. English."
3130009,313,2,"STARVIN  MARVIN IN SPACE","MARVIN","Dongdin * * mium bidu"
3130010,313,2,"STARVIN  MARVIN IN SPACE","HOLLIS","Where are you going? Back to your life of sin? Don't you understand that unless you find Christ, you and all your people are doomed to eternal hellfire?"
3130011,313,2,"STARVIN  MARVIN IN SPACE","ETHIOPIANS","Ooooohhh."
3130012,313,2,"STARVIN  MARVIN IN SPACE","MARVIN","Duo bet tum debettum * * ghm * *?  Mah tah guum tyum * * ghm tm tm."
3130013,313,2,"STARVIN  MARVIN IN SPACE","ETHIOPIAN","Necah * * necundat?"
3130014,313,2,"STARVIN  MARVIN IN SPACE","CHIEF","Nn * * de co?"
3130015,313,2,"STARVIN  MARVIN IN SPACE","MARVIN","Umi chu."
3130016,313,2,"STARVIN  MARVIN IN SPACE","ETHIOPIAN WOMAN","Wobe dabiga gm * *."
3130017,313,2,"STARVIN  MARVIN IN SPACE","MARVIN","Gobede *."
3130018,313,2,"STARVIN  MARVIN IN SPACE","Starvin",""
3130019,313,2,"STARVIN  MARVIN IN SPACE","Marvin] 	In",""
3130020,313,2,"STARVIN  MARVIN IN SPACE","Space!]",""
3130021,313,3,"STARVIN  MARVIN IN SPACE","description","In Star Wars fashion, the camera moves from space down and right to a sunny day in South Park. The camera settles on South Park Elementary as the bell rings. Class is now in session"
3130022,313,3,"STARVIN  MARVIN IN SPACE","MR. GARRISON","...And so, children, that's why Hare Krishnas are totally gay.  Uh, can I help you?"
3130023,313,3,"STARVIN  MARVIN IN SPACE","AGENT 1","Yes. I'm Connelly, and this is Sphinx. We're with the CIA."
3130024,313,3,"STARVIN  MARVIN IN SPACE","SPHINX","We're here to speak with some of your students.  You , you , you , and you ."
3130025,313,3,"STARVIN  MARVIN IN SPACE","MR. GARRISON","Oh, for Pete's sake, what have you bastards done now?!"
3130026,313,3,"STARVIN  MARVIN IN SPACE","CARTMAN","Hey! That was Kyle that went #2 in the urinal!"
