"id","ep_num","segment","title","role","text"
8120001,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","description","South Park Mall, day. Inside, a crowd awaits a special event. A small stage with ""PARIS"" writ large in front is set up before a red curtain. Wendy and Bebe arrive and make heir way to the front."
8120002,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","BEBE","Come on, Wendy, we'er gonna miss it."
8120003,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","We're gonna miss what?"
8120004,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","BEBE","Paris Hilton is making an appearance at the mall."
8120005,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","Who's Paris Hilton?"
8120006,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","RED","""Who's Paris Hilton?"""
8120007,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","ANNIE","You don't know?"
8120008,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","ANNOUNCER","Hello, everyone!  The Guess Clothing Company is pleased to have as its new spokesperson model, a woman all you young ones can look up to, Ms. Paris Hilton."
8120009,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","BEBE","Wow, that's really her! Paris! Over here!"
8120010,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","I don't get it. What does she do?"
8120011,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","ANNIE","She's super-rich!"
8120012,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","...but what does she do?"
8120013,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","RED","She's totally spoiled and savvy."
8120014,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","What does she do?!"
8120015,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","MAN","She's a whore."
8120016,812,1,"STUPID SPOILED WHORE VIDEO PLAYSET","PARIS","Hey everyone. Sorry if I'm a little spent. I did a whole lot of partying last night with a LOT of different guys. Anyway, I'm pleased to be here in Douth Dark to announce the opening of my brand new store! A store where girls can buy everything they need to be just like me! Stupid Spoiled Whore!  Have fun, girls. And remember to party, and be super-lame to everybody. Bye!  Give me that! Fucking Christ I need a drink! Where's my dog?!"
8120017,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","description","Stupid Spoiled Whore, inside. The girls rush in as the doors open and begin to mill around. Bebe leads Red, Jordan and Wendy around. Wendy's still stunned."
8120018,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","BEBE","Wow, look at all this great stuff. Stupid Spoiled Whore clothes, Stupid Spoiled Whore dolls,"
8120019,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","RED","Hey, check it out: the new Paris Hilton perfume, Skanque."
8120020,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","ANNIE","Oh yeah, let's get lots of that!"
8120021,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","You guys, don't buy this stuff. Why do you want to be like Paris Hilton?"
8120022,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","RED","It's not just Paris: Britney Spears, Christina Aguilera, Tara Reid, they're all stupid spoiled whores!"
8120023,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","WENDY","But the idea that we'll be whorish for money is belittling to our gender!"
8120024,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","BEBE","Wendy, get a clue. The only thing more important than being rich is being famous!"
8120025,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","ANNIE","Wow, you really sound like a dumb slut, Bebe."
8120026,812,2,"STUPID SPOILED WHORE VIDEO PLAYSET","BEBE","Thanks, Annie!"
8120027,812,3,"STUPID SPOILED WHORE VIDEO PLAYSET","description","South Park Mall, parking lot. Paris's chaffeur holds the limosine door open for her."
