"id","ep_num","segment","title","role","text"
2080001,208,1,"SUMMER SUCKS","last day of school involves pranks, ","but this is going too far! What have you done with Mr. Hat?!  Children, I want Mr. Hat right now!  The prank is over!  You think I can't get along without Mr. Hat, don't you? You think I can't live without him. Well, I can! He's just a puppet. I don't need him. You see? Watch.  GOD DAMMIT, WHERE THE FUCK DID YOU PUT MR. HAT?!"
2080002,208,1,"SUMMER SUCKS","KIDS","YEH-"
2080003,208,1,"SUMMER SUCKS","MR. GARRISON","Oh, no, you don't! The school year is over, but summer vacation doesn't start for you little bastards, until Mr. Hat is back on my desk!"
2080004,208,1,"SUMMER SUCKS","KIDS","AAWWWW!"
2080005,208,1,"SUMMER SUCKS","MR. GARRISON","Now, I'm goin' to turn around, and when I turn back, I expect to see Mr. Hat lying right here!  Okay. Now I'm gonna turn around now.  Shit!"
2080006,208,1,"SUMMER SUCKS","PIP","Where did everybody go?"
2080007,208,2,"SUMMER SUCKS","description","Outside. The kids bolt through the school's front door"
2080008,208,2,"SUMMER SUCKS","KIDS","Yea! Hooray!"
2080009,208,2,"SUMMER SUCKS","CARTMAN","It's summer!"
2080010,208,3,"SUMMER SUCKS","description","the snow melts away, and a mound of it reveals a boy whose missing person's poster was in the back of the class. He gets up, and his parents rush up to meet him"
2080011,208,3,"SUMMER SUCKS","MOM","Oh golly, Kevin honey."
2080012,208,3,"SUMMER SUCKS","DAD","Good to see ya again, son."
2080013,208,4,"SUMMER SUCKS","description","the boys don't take the bus home today. They walk past a house where a man stretches in the warm breeze"
2080014,208,4,"SUMMER SUCKS","Man at doorway	Looks like winter is right around the corner. ","Better get some firewood ready. [uses a chainsaw on the tree in front of the house. Trees all over the area are coming down]"
2080015,208,5,"SUMMER SUCKS","description","A park, and kids are at play already. The boys walk through it. Fosse chases a ball. Jordan and the soiled kid stand next to each other, but a ball hits the soiled kid and knocks him down. Pip is farther away."
2080016,208,5,"SUMMER SUCKS","PIP","Oh! Have a good summer, gentlemen!"
2080017,208,5,"SUMMER SUCKS","STAN","Shut up, Pip!"
2080018,208,5,"SUMMER SUCKS","PIP","Right-o. Uh. Enjoy some of this summer for me, would you?"
2080019,208,5,"SUMMER SUCKS","KYLE","What do ya mean?"
2080020,208,5,"SUMMER SUCKS","PIP","Welluh I have to spend my summer in summer school. Because I can't be left alone. You see, my parents are dead."
2080021,208,5,"SUMMER SUCKS","CARTMAN","Your parents are dead? God-damn you suck, Pip!"
2080022,208,5,"SUMMER SUCKS","Stu's Fireworks",""
2080023,208,6,"SUMMER SUCKS","description","they stop and read the sign"
2080024,208,6,"SUMMER SUCKS","STAN","Oh yeah, dude. It's summer. That means we have to go buy fireworks."
2080025,208,6,"SUMMER SUCKS","KYLE","I saved up enough money to buy M-80's this year."
2080026,208,6,"SUMMER SUCKS","STAN","I saw in this movie once, where this guy stuck a firecracker up a cat's butt."
2080027,208,6,"SUMMER SUCKS","KYLE","Cool! Maybe we can do that to Cartman's cat."
2080028,208,6,"SUMMER SUCKS","CARTMAN","Eeyy! If you so much as touch Kitty's ass, I'll put firecrackers in your nut sack, and blow your balls out all over your panties!"
2080029,208,6,"SUMMER SUCKS","STAN","Jesus, Cartman!"
2080030,208,6,"SUMMER SUCKS","CARTMAN","Well, I'm just checking, man. Don't mock my kitty, man."
2080031,208,6,"SUMMER SUCKS","STU'S FIREWORK SHACK",""
2080032,208,6,"SUMMER SUCKS","STU","Hi, fellas."
2080033,208,6,"SUMMER SUCKS","BOYS","Hi, Stu."
2080034,208,6,"SUMMER SUCKS","STU","What can I do for you?"
2080035,208,6,"SUMMER SUCKS","KYLE","We wanna buy M-80's."
2080036,208,6,"SUMMER SUCKS","STAN","The kind that fit in Cartman's cat's ass."
2080037,208,6,"SUMMER SUCKS","CARTMAN","Okay, that's it!  Screw you guys, I'm going home."
2080038,208,6,"SUMMER SUCKS","KYLE","What a baby."
2080039,208,6,"SUMMER SUCKS","STAN","So we'll have ten M-80's, please."
2080040,208,6,"SUMMER SUCKS","STU","I'm sorry, fellas. Haven't you heard?"
2080041,208,6,"SUMMER SUCKS","STAN","Heard what?"
2080042,208,6,"SUMMER SUCKS","STU","All fireworks have been banned in Colorado."
2080043,208,6,"SUMMER SUCKS","KYLE","What do ya mean?"
2080044,208,6,"SUMMER SUCKS","STU","It was in the paper this morning"
2080045,208,6,"SUMMER SUCKS","KYLE","Dude! Just 'cause some stupid North Park kid blew his hands off, we don't get to buy our M-80's?"
2080046,208,6,"SUMMER SUCKS","STU","Right."
2080047,208,6,"SUMMER SUCKS","STAN","How can they do this to us? Doesn't anyone believe in tradition anymore?"
2080048,208,6,"SUMMER SUCKS","KYLE","Yeah. We've been playing with firecrackers our whole lives."
2080049,208,7,"SUMMER SUCKS","description","Kyle remembers their days as toddlers. All four stand in a hallway holding lit firecrackers. Kyle tosses one up in the air and it pops. Kenny holds on to his, to his peril. It pops, and Kenny's head flies off his torso. The rest of the body falls over"
2080050,208,7,"SUMMER SUCKS","STAN","Oh my gosh ih killed Kenny!"
2080051,208,7,"SUMMER SUCKS","KYLE","Oo bastards!"
2080052,208,7,"SUMMER SUCKS","STAN","A summer without fireworks is like I don't know, but it's like-uh, ih, it sucks ass."
2080053,208,7,"SUMMER SUCKS","KYLE","Yeah-uh now what are we supposd to do?"
2080054,208,7,"SUMMER SUCKS","STU","I can still sell snakes."
2080055,208,7,"SUMMER SUCKS","STAN, KYLE","Hwaah."
2080056,208,7,"SUMMER SUCKS","KENNY","(Never mind)"
2080057,208,8,"SUMMER SUCKS","description","City Hall. The Mayor is in"
2080058,208,8,"SUMMER SUCKS","THE MAYOR","This is absurd. We need fireworks for our Fourth of July celebration at the lake.  I don't care that some twerp blew his hands off! We've got to have fireworks for our picnic! Hold on, I've got another call.  Hello? No, I don't know where Mr. Hat is. Jesus, Garrison, I've got bigger problems!  Hello, yes? Now what am I supposed to do about our Fourth of July show at the lake? NO, I don't want snakes! This is an outrage! Get me the Mayor! I know that, smartass, I was being ironic!"
2080059,208,8,"SUMMER SUCKS","BARBRADY","Oh I'm sorry Mayor, but I couldn't find the little man in the boat."
2080060,208,8,"SUMMER SUCKS","THE MAYOR","Well, keep looking!"
2080061,208,8,"SUMMER SUCKS","BARBRADY","Oh?"
2080062,208,8,"SUMMER SUCKS","THE MAYOR","This is ridiculous. We can't have a celebration without fireworks. Whoever heard of a Fourth of July picnic with snakes?"
2080063,208,8,"SUMMER SUCKS","BARBRADY","Oh I like snakes. You light 'em and they grow and grow."
2080064,208,8,"SUMMER SUCKS","THE MAYOR","Wait a minute, that's it! I've got it. This year, South Park will make history by having the largest snake in the world! The press will love it. I'll be on the front peh-  Oooooogh."
2080065,208,8,"SUMMER SUCKS","BARBRADY","Huh, I found him."
2080066,208,9,"SUMMER SUCKS","description","The bus stop. The boys just can't seem to get into summer wear"
2080067,208,9,"SUMMER SUCKS","STAN","Man, it's hot out here."
2080068,208,9,"SUMMER SUCKS","CARTMAN","What do you guys want to do? We've got the whole summer to play."
2080069,208,9,"SUMMER SUCKS","KYLE","Dude, what are we supposed to do? We always just play with fireworks."
2080070,208,9,"SUMMER SUCKS","STAN","I know, let's go sledding!"
2080071,208,9,"SUMMER SUCKS","KYLE","Yeah!"
2080072,208,10,"SUMMER SUCKS","description","The top of a hill. The boys have brought their sled, and Cartman is left to go on"
2080073,208,10,"SUMMER SUCKS","STAN","Come on, Cartman. Get on."
2080074,208,10,"SUMMER SUCKS","CARTMAN","Stan?"
2080075,208,10,"SUMMER SUCKS","KYLE","Come on, dude, we're ready."
2080076,208,10,"SUMMER SUCKS","STAN","The hell are you waiting for?"
2080077,208,10,"SUMMER SUCKS","CARTMAN","Huh. Don't you notice anything wrong with this picture?"
2080078,208,10,"SUMMER SUCKS","KYLE","Yeah. Your fat ass isn't on the sled."
2080079,208,10,"SUMMER SUCKS","CARTMAN","Ahem. What ever."
2080080,208,10,"SUMMER SUCKS","STAN","What the hell's goin' on?"
2080081,208,10,"SUMMER SUCKS","JIMBO","Hey there, boys!"
2080082,208,10,"SUMMER SUCKS","STAN","Hi, Uncle Jimbo."
2080083,208,10,"SUMMER SUCKS","JIMBO","How come you're not blowin' things up? It's summer."
2080084,208,10,"SUMMER SUCKS","KYLE","Didn't you hear? They outlawed fireworks 'cause a little boy blew off his hands."
2080085,208,10,"SUMMER SUCKS","JIMBO","What?!"
2080086,208,10,"SUMMER SUCKS","STAN","Yeah, they're not even having 'em at the lake this year."
2080087,208,10,"SUMMER SUCKS","JIMBO","Oh my God!  Well, don't worry boys. Uncle Jimbo is on the case.  Buckle your seat belt, Ned."
