"id","ep_num","segment","title","role","text"
2010001,201,1,"Terrance   Phillip in  Not Without My Anus","who the father of Eric Cartman is. ","Now finally the shocking truth about Cartman's lineage... Will not be seen tonight so that we can bring you the following Special Presentation."
2010002,201,1,"Terrance   Phillip in  Not Without My Anus","Black screen with super serious MOW music with the titles ","rolling..."
2010003,201,1,"Terrance   Phillip in  Not Without My Anus","NARRATOR","Now, get ready for Canada's hottest action stars. Terrance and Phillip. The HBC movie of the week. Not Without My Anus, based on a true story."
2010004,201,1,"Terrance   Phillip in  Not Without My Anus","""TERRANCE AND PHILLIP PRESENT,",""
2010005,201,1,"Terrance   Phillip in  Not Without My Anus","TERRANCE AND PHILLIP IN,",""
2010006,201,1,"Terrance   Phillip in  Not Without My Anus","TERRANCE AND PHILLIP'S ""NOT WITHOUT MY ANUS.""",""
2010007,201,1,"Terrance   Phillip in  Not Without My Anus","FADE IN:",""
2010008,201,1,"Terrance   Phillip in  Not Without My Anus","EXT. COURTHOUSE - DAY",""
2010009,201,1,"Terrance   Phillip in  Not Without My Anus","It's a high, sweeping, super serious MOW shot.",""
2010010,201,1,"Terrance   Phillip in  Not Without My Anus","INT. COURTROOM - DAY",""
2010011,201,1,"Terrance   Phillip in  Not Without My Anus","The Prosecuting Attorney, SCOTT, is standing before a jury.",""
2010012,201,1,"Terrance   Phillip in  Not Without My Anus","PROSECUTING ATTORNEY SCOTT","Ladies and gentleman, before you today sits a murderer. On the night in question, this monster entered the home of Dr. Jeffrey O'Dwyer and struck him repeatedly in the head with this hammer."
2010013,201,1,"Terrance   Phillip in  Not Without My Anus","The Prosecutor holds up a hammer. It has blood and hair all ","over it."
2010014,201,1,"Terrance   Phillip in  Not Without My Anus","PROSECUTING ATTORNEY SCOTT","That monster is sitting right over there and his name is Terrance!"
2010015,201,1,"Terrance   Phillip in  Not Without My Anus","He points to the defense table where Terrance sits and shrugs ","nonchalantly and then lifts his ass cheek to fart. His defense attorney, Phillip, laughs."
2010016,201,1,"Terrance   Phillip in  Not Without My Anus","PHILLIP","Oh, Terrance, you've farted in court."
2010017,201,1,"Terrance   Phillip in  Not Without My Anus","TERRANCE","Yes, Phillip, I'm making a case for our defense!"
2010018,201,1,"Terrance   Phillip in  Not Without My Anus","Terrance and Phillip laugh merrily.",""
2010019,201,1,"Terrance   Phillip in  Not Without My Anus","The Prosecutor continues, pacing in front of the jury. He ","has before him an endless table of physical evidence."
2010020,201,1,"Terrance   Phillip in  Not Without My Anus","PROSECUTING ATTORNEY SCOTT","All of these things link Terrance to the murder. Hair fibers, blood samples, nail clippings, a piece of his shirt..."
2010021,201,1,"Terrance   Phillip in  Not Without My Anus","He holds up the fabric. Terrance casually covers the rip on ","his sleeve and smiles at the jury."
2010022,201,1,"Terrance   Phillip in  Not Without My Anus","PROSECUTING ATTORNEY SCOTT","A watch with his initials on it, a dayplanner with the murder scheduled..."
2010023,201,1,"Terrance   Phillip in  Not Without My Anus","The prosecutor holds up the dayplanner page. It has a skull ","and crossbones and says, ""Kill Dr. Jeffrey O'Dwyer 7:30. Dinner with the McCullough's 8:15."""
2010024,201,1,"Terrance   Phillip in  Not Without My Anus","PROSECUTING ATTORNEY SCOTT","...a haiku called Time To Kill Dr. Jeffrey O'Dwyer (counting the syllables on his hand as he reads) ""Doctor O'Dwyer, Time to have your head smashed in, with my new hammer."""
2010025,201,1,"Terrance   Phillip in  Not Without My Anus","Terrance shrugs.",""
2010026,201,1,"Terrance   Phillip in  Not Without My Anus","PROSECUTING ATTORNEY SCOTT","Terrance, you may be a famous surgeon but you're not God! Do you think you're God?! J'accuse, Terrance!"
2010027,201,1,"Terrance   Phillip in  Not Without My Anus","With a big dramatic fingerpoint, we pan quickly over to ","Terrance. He smiles at the jury, then farts."
2010028,201,1,"Terrance   Phillip in  Not Without My Anus","TERRANCE","Would you like a monkey claw, Phillip?"
