"id","ep_num","segment","title","role","text"
5050001,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","description","Cartman's house, day. Cartman and his friends sit on the sofa watching TV"
5050002,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","ANNOUNCER","And so, in her career filled with lies, backstabbing, and whoring herself for money,  she learned that the price of fame can be pleasing 65 men at once in a dark, dirty alley.  And so ends ""Punky Brewster, Behind The Blow."""
5050003,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","CARTMAN","Whoa, bummer, dude."
5050004,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","KYLE","Okay, dude, it's 3:30."
5050005,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","ANNOUNCER 2","It's time for the Terrance & Phillip Show!"
5050006,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","THE BOYS","Yay!"
5050007,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","Excuse me, buddy."
5050008,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","Why, did you fart?  Oh, no!"
5050009,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","STAN","Oh man, this is another rerun."
5050010,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","CARTMAN","Are you sure? I haven't seen it."
5050011,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","KYLE","Yeah, fatass, this is their famous Mechanic sketch."
5050012,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","I'm looking for a mechanic. Can you tell me how to get to the auto garage?"
5050013,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","Sure, buddy! All you need to do is go down to the , and that's how you  get to the auto garage!"
5050014,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","Can you tell me how to get to the auto garage without farting?"
5050015,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","Sure. You go the same way  except stick your finger up your ass."
5050016,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","No no no! I mean, could you tell me the directions again without you farting?"
5050017,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","OOOH! Sure! Just stick your finger up my ass."
5050018,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","Alright, no problem, buddy.  Now, tell me: How do I get to the auto garage to see a mechanic?"
5050019,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","You're at the auto garage. I am the mechanic."
5050020,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","Why the heck didn't you tell me you were the mechanic?"
5050021,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","STAN","Because I had an itch up my ass."
5050022,505,1,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","Because I had an itch up my ass."
5050023,505,2,"TERRANCE   PHILLIP  BEHIND THE BLOW","description","Cut to next scene, where they are working on toilet plumbing"
5050024,505,2,"TERRANCE   PHILLIP  BEHIND THE BLOW","TERRANCE","Terrance & Phillip will be right back..."
5050025,505,2,"TERRANCE   PHILLIP  BEHIND THE BLOW","PHILLIP","...after these messages."
5050026,505,3,"TERRANCE   PHILLIP  BEHIND THE BLOW","description","Cut to Cartman's living room"
