"id","ep_num","segment","title","role","text"
6150001,615,1,"THE BIGGEST DOUCHE IN THE UNIVERSE","description","South Park, night. A camera sits atop am ambulance transmiting the action as the ambulance speeds down a street. It ends up at Hall's Pass Hospital. The paramedics rush out and open the cargo doors, quickly take Cartman out and whisk him into Emergency while his mom remains seated anxiously inside the ambulance."
6150002,615,1,"THE BIGGEST DOUCHE IN THE UNIVERSE","LIANE","Be careful with my baby."
6150003,615,2,"THE BIGGEST DOUCHE IN THE UNIVERSE","description","Hell's Pass Hospital, inside. The paramedics reach the nurses' station and rush by"
6150004,615,2,"THE BIGGEST DOUCHE IN THE UNIVERSE","BLONDE NURSE","What have we got?"
6150005,615,2,"THE BIGGEST DOUCHE IN THE UNIVERSE","PARAMEDIC 1","Not sure. It looks like a possible code five six!"
6150006,615,2,"THE BIGGEST DOUCHE IN THE UNIVERSE","CARTMAN","Kenny. Can't have Kenny."
6150007,615,2,"THE BIGGEST DOUCHE IN THE UNIVERSE","LIANE","You're going to be okay, baby."
6150008,615,3,"THE BIGGEST DOUCHE IN THE UNIVERSE","description","Hell's Pass Hospital, operating room. Emergency personnel whisk Cartman into the room. Liane enters, but stays near the door"
6150009,615,3,"THE BIGGEST DOUCHE IN THE UNIVERSE","DR. DOCTOR","Five me 50 cc's of ketamine, STAT. And get something for the kid, too."
6150010,615,3,"THE BIGGEST DOUCHE IN THE UNIVERSE","LIANE","Is he going to be okay??"
6150011,615,3,"THE BIGGEST DOUCHE IN THE UNIVERSE","BRUNETE NURSE","Let the doctor do his work, ma'am."
6150012,615,4,"THE BIGGEST DOUCHE IN THE UNIVERSE","description","Hell's Pass Hospital, a few hours later. Cartman is now in one of the recovery rooms with Liane at his side stroking him gently. He's on a respirator for the time being. The doctor enters the room slowly, but Liane notices and rises to meet him"
6150013,615,4,"THE BIGGEST DOUCHE IN THE UNIVERSE","LIANE","Doctor! Did you find out what's wrong with him?"
6150014,615,4,"THE BIGGEST DOUCHE IN THE UNIVERSE","DR. DOCTOR","I'm afraid he's... running out of time."
6150015,615,4,"THE BIGGEST DOUCHE IN THE UNIVERSE","LIANE","Why?? What's wrong with him??"
6150016,615,4,"THE BIGGEST DOUCHE IN THE UNIVERSE","DR. DOCTOR","It's his time. It's ...running out."
