"id","ep_num","segment","title","role","text"
6140001,614,1,"THE DEATH CAMP OF TOLERANCE","description","Principal Victoria's office, day. Her door opens."
6140002,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","You wanted to see me, Principal Victoria?"
6140003,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","Yes, Mr. Garrison. Have a seat.  Mr. Garrison, sometime ago you asked to be promoted from teachng kindergarten back to the third grade."
6140004,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","I'm aware of that."
6140005,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","I wanna come clean with you and tell you that back then some of us were uncomfortable with your sexual preferences. It was wrong of us, and I want to make it up to you."
6140006,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","Wow, that's... really great to hear."
6140007,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","As you know, the position of Fourth Grade teacher has become available, and we'd like to offer YOU the job."
6140008,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","Oh, for real? You're not kidding?"
6140009,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","We in administration see now that you are an individual with your own preferences, and we respect that."
6140010,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","Hoh, this is all just... this is a dream come true!  Thank you, Principal Victoria! I'll do a great jub!"
6140011,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","I know you will."
6140012,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","You're sure this is for real? I mean, I'm not gonna just get fired again for being gay tomorrow."
6140013,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","It's for real, Mr. Garrison."
6140014,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","Oh-ho, great!"
6140015,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","With all the new laws we could never fire you for being gay now. You'd be able to sue us for millions of dollars."
6140016,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","Right uh-  Wha- ...what was that?"
6140017,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","Well, I was just saying that the policies have really changed. You know, we fire you for acting gay next time, you'd be able to sue the school district for ...lots of money."
6140018,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","...Oh right, right, right, I... Huh-... how much money, exactly?"
6140019,614,1,"THE DEATH CAMP OF TOLERANCE","PRINCIPAL VICTORIA","Oh. Well, there was the case out in Minnesota where the guy was awarded... 25 million, I think."
6140020,614,1,"THE DEATH CAMP OF TOLERANCE","MR. GARRISON","Yeh-you don't say.  Well thanks, uh, Principal Victoria.  Holy Moley! I've gotta find a way to get fired for being gay!"
6140021,614,2,"THE DEATH CAMP OF TOLERANCE","description","South Park Elementary"
6140022,614,2,"THE DEATH CAMP OF TOLERANCE","COUNSELOR MACKEY","M'kay kids, I know the past few weeks have been really hard with the death of your teacher, Ms. Choksondik."
6140023,614,2,"THE DEATH CAMP OF TOLERANCE","KYLE","Funny."
6140024,614,2,"THE DEATH CAMP OF TOLERANCE","COUNSELOR MACKEY","BUT... the principal has finally hired a teacher to take her place. So I want you all to give your best behavior to your new Fourth Grade teacher, Mr. Garrison."
