"id","ep_num","segment","title","role","text"
9060001,906,1,"THE DEATH OF ERIC CARTMAN","description","Stan's house, night. The boys are in the kitchen at the breakfast table anticipating something. Next to Kenny is a stack of dishes"
9060002,906,1,"THE DEATH OF ERIC CARTMAN","STAN","Dude, where is she? We can't wait."
9060003,906,1,"THE DEATH OF ERIC CARTMAN","KYLE","God, this is gonna be sooo yummy."
9060004,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","Stan, you said your mom was bringing Kentucky Fried Chicken home for dinner! Now is she or isn't she?!"
9060005,906,1,"THE DEATH OF ERIC CARTMAN","SHARON","Hi boys."
9060006,906,1,"THE DEATH OF ERIC CARTMAN","STAN","Mom!"
9060007,906,1,"THE DEATH OF ERIC CARTMAN","KYLE","She's here!"
9060008,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","She's got Colonel!"
9060009,906,1,"THE DEATH OF ERIC CARTMAN","KYLE","I want some!"
9060010,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","Oh boy!"
9060011,906,1,"THE DEATH OF ERIC CARTMAN","STAN","I want a breast!"
9060012,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","Some extra-crispy thighs, extra crispy?"
9060013,906,1,"THE DEATH OF ERIC CARTMAN","SHARON","Uuh uh uh, not so fast. You boys can help bring in the other groceries in the car, then have your chicken."
9060014,906,1,"THE DEATH OF ERIC CARTMAN","THE BOYS","Awww!"
9060015,906,1,"THE DEATH OF ERIC CARTMAN","STAN","But Mom, we've been waiting for hours!"
9060016,906,1,"THE DEATH OF ERIC CARTMAN","SHARON","It won't take a minute."
9060017,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","Come on guys. If we all help out, we can do it super-fast."
9060018,906,1,"THE DEATH OF ERIC CARTMAN","STAN","All right."
9060019,906,1,"THE DEATH OF ERIC CARTMAN","KYLE","Let's go. Oh my God, that smells good."
9060020,906,1,"THE DEATH OF ERIC CARTMAN","STAN","Okay, this is everything, mom."
9060021,906,1,"THE DEATH OF ERIC CARTMAN","KYLE","All right, let's eat Colonel!"
9060022,906,1,"THE DEATH OF ERIC CARTMAN","STAN","Oh boy!  Cartman, you ate the skin off of every piece of chicken!"
9060023,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","Well, I saved you all the chicken part."
9060024,906,1,"THE DEATH OF ERIC CARTMAN","KYLE","The skin's the best part..."
9060025,906,1,"THE DEATH OF ERIC CARTMAN","CARTMAN","Well, I gotta go home, guys. I'm gonna sit on the toilet and read comic books. See you at the bus stop tomorrow."
9060026,906,2,"THE DEATH OF ERIC CARTMAN","description","The next morning the boys are waiting at the bus stop. Cartman hasn't arrived"
9060027,906,2,"THE DEATH OF ERIC CARTMAN","STAN","I can't believe that fat asshole!"
9060028,906,2,"THE DEATH OF ERIC CARTMAN","KYLE","You can't believe it?? He does this shit all the time!"
9060029,906,2,"THE DEATH OF ERIC CARTMAN","STAN","Well this time he's gone too far!"
9060030,906,2,"THE DEATH OF ERIC CARTMAN","KENNY","(Yeah, fuck him!)"
9060031,906,2,"THE DEATH OF ERIC CARTMAN","STAN","Why do we even hang out with him, anyway?"
9060032,906,2,"THE DEATH OF ERIC CARTMAN","KYLE","Hello?? I've been saying this for years!"
9060033,906,2,"THE DEATH OF ERIC CARTMAN","STAN","Well it's not like we're nice to him. I mean, we rip on him all the time!"
9060034,906,2,"THE DEATH OF ERIC CARTMAN","KYLE","Yes, but he thrives on that."
9060035,906,2,"THE DEATH OF ERIC CARTMAN","STAN","All right. Then let's just ignore him. From now on, let's not talk to him, let's not even acknowledge him."
9060036,906,2,"THE DEATH OF ERIC CARTMAN","KENNY","(Fuck yeah!)"
9060037,906,2,"THE DEATH OF ERIC CARTMAN","KYLE","That sounds great!"
9060038,906,2,"THE DEATH OF ERIC CARTMAN","CARTMAN","Hey fags, what's going on?  Dude, I was on the toilet all night from that chicken. I thought I was gonna die."
9060039,906,2,"THE DEATH OF ERIC CARTMAN","KYLE","Do any of you guys have milk money I can borrow?"
9060040,906,2,"THE DEATH OF ERIC CARTMAN","STAN","I think I have extra."
9060041,906,2,"THE DEATH OF ERIC CARTMAN","CARTMAN","Oh wow, a Jew asking for money! There's a new one.  Yuh, you guys know why Jews have glassy eyes?"
9060042,906,2,"THE DEATH OF ERIC CARTMAN","STAN","Here you go."
9060043,906,2,"THE DEATH OF ERIC CARTMAN","KYLE","Thanks."
9060044,906,2,"THE DEATH OF ERIC CARTMAN","CARTMAN","Dude, Stan, yuh you know why Jews have glassy eyes? Like Kyle?  Eh. K-Kenny, you see that chick on the news that had her left titty cut off?  Kenny? Kenny??  Stan? Stan, it's me, Eric! Eh... Kenny. Kenny, you want fifty cents?  Dude, look at me, Kyle, I'm right here!  Wha...? How did...? Like they couldn't see or hear me. It's almost as if I were...  dead.  No. No, I can't be dead.  I can't be dead!!"
9060045,906,3,"THE DEATH OF ERIC CARTMAN","description","The Cartman house, later. A plumber has come to visit, and he's in the living room talking to Mrs. Cartman. Two other plumbers are carrying away a box"
9060046,906,3,"THE DEATH OF ERIC CARTMAN","BLACK PLUMBER","All right, ma'am. We've got your new toilet installed and we'll haul away the old one away for ya."
9060047,906,3,"THE DEATH OF ERIC CARTMAN","LIANE","Oh, you've been so helpful, I uh, just don't know how to thank you."
9060048,906,3,"THE DEATH OF ERIC CARTMAN","BLACK PLUMBER","Hunh, I could think of a few ways, hunh."
9060049,906,3,"THE DEATH OF ERIC CARTMAN","LIANE","Ohoho, nhn."
9060050,906,4,"THE DEATH OF ERIC CARTMAN","description","Cartman runs back home, but he stops in his tracks before he reaches the front door. He sees the two men carrying the box away and he fears the worst"
9060051,906,4,"THE DEATH OF ERIC CARTMAN","CARTMAN","No! No!!"
9060052,906,4,"THE DEATH OF ERIC CARTMAN","FAT PLUMBER","What happened? Did they say?"
9060053,906,4,"THE DEATH OF ERIC CARTMAN","THIN PLUMBER","Apparently there was so much chicken skin in the system it just ruptured the insides."
9060054,906,4,"THE DEATH OF ERIC CARTMAN","FAT PLUMBER","Aww, that's tragic."
9060055,906,4,"THE DEATH OF ERIC CARTMAN","CARTMAN","Oh my God, this can't be happening! Mom? Mom's crying? Oh God, it is true! Oh, it's not fair!  Why??? Why???"
9060056,906,5,"THE DEATH OF ERIC CARTMAN","description","The Playground, recess"
9060057,906,5,"THE DEATH OF ERIC CARTMAN","JIMMY","Hey fellas, w-where is Cartman?"
9060058,906,5,"THE DEATH OF ERIC CARTMAN","STAN","Cartman isn't our friend anymore."
9060059,906,5,"THE DEATH OF ERIC CARTMAN","KYLE","We're ignoring him."
9060060,906,5,"THE DEATH OF ERIC CARTMAN","TOKEN","Ignoring him? How come?"
9060061,906,5,"THE DEATH OF ERIC CARTMAN","KYLE","Beause he's a fat racist self-centered intolerant manipulating sociopath!"
9060062,906,5,"THE DEATH OF ERIC CARTMAN","TOKEN","Oh yeah."
9060063,906,5,"THE DEATH OF ERIC CARTMAN","CRAIG","Hey, I hate Cartman too. Can I ignore him with you?"
9060064,906,5,"THE DEATH OF ERIC CARTMAN","BLOND","Yeah."
9060065,906,5,"THE DEATH OF ERIC CARTMAN","KEVIN","Me too."
9060066,906,5,"THE DEATH OF ERIC CARTMAN","OTHER BOYS","Yeah, screw him! Yeah."
9060067,906,5,"THE DEATH OF ERIC CARTMAN","CLYDE","I never realized ignoring him was an option."
9060068,906,5,"THE DEATH OF ERIC CARTMAN","CARTMAN","Guys! Guys?  Can anybody hear me? You guys??  Token, Token, I'm here!  Hello! Hello! Hello!  Clyde, can't you feel me?  Feel me, Clyde!  Jimmy! Jimmy, it's me, Eric!  Jimmy!  Can't you feel your hair move?! That's me!  They don't even know yet, that one of their best friends is dead.  Dead and... still wandering the earth a lost soul."
9060069,906,6,"THE DEATH OF ERIC CARTMAN","description","Downtown, later. He wanders the streets of the town sobbing, and no one turns to see what's wrong, until..."
9060070,906,6,"THE DEATH OF ERIC CARTMAN","WOMAN","What is that kid doing?"
9060071,906,6,"THE DEATH OF ERIC CARTMAN","MAN","Ah I don't know, just ignore him."
9060072,906,7,"THE DEATH OF ERIC CARTMAN","description","A blazing sunset over a bridge. Cartman's wails have gotten deeper, more emotional"
9060073,906,8,"THE DEATH OF ERIC CARTMAN","description","Night time, under a full moon, Cartman walks past a farm house. Nearby are a scarecrow and a few pumpkins"
9060074,906,9,"THE DEATH OF ERIC CARTMAN","description","Next day, Butter's house. He's shoveling snow off the sidewalk to the front door"
9060075,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","Lu lu lu, I've got some apples. Lu lu lu, yuu've got some too-"
9060076,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","What did I do to deserve this?!  How can my own God forsake me?! Am I doomed to wander the Earth alone for all eternity?!"
9060077,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","Hey Eric!"
9060078,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","...What did you say?"
9060079,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","Huh I just said, ""Hey Eric!"""
9060080,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","Butters...  Butters! You can see me??"
9060081,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","Well, sure I can see you."
9060082,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","Oh my God, and you can hear me??"
9060083,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","Well, jeez Eric, why wouldn't I be able to hear you?"
9060084,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","Because, Butters, I'm... dead."
9060085,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","HAAA!"
9060086,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","Butters! Butters, I just want to talk to you!"
9060087,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","You died?? How??"
9060088,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","I ate a bunch of chicken skin and it blew out my insides."
9060089,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","But if you're d-dead, how come I can see you?"
9060090,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","I don't know, but you're the only one who can."
9060091,906,9,"THE DEATH OF ERIC CARTMAN","BUTTERS","HAAAAAAAAAAAAAAAAAAAAAAAA!"
9060092,906,9,"THE DEATH OF ERIC CARTMAN","CARTMAN","Butters!  Butters, Goddamnit, I need your help!"
9060093,906,10,"THE DEATH OF ERIC CARTMAN","description","The Stotch kitchen. Linda is cleaning the sink and humming to herself. She reaches down below the sink and opens the doors. Butters is hiding there."
9060094,906,10,"THE DEATH OF ERIC CARTMAN","LINDA","Butters, what on earth are you doing??"
9060095,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","Well I think... I'm like the kid in that movie! I-I'm seeing dead people!"
9060096,906,10,"THE DEATH OF ERIC CARTMAN","LINDA","Dead people?"
9060097,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","Who's seeing dead people?"
9060098,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","Me! I saw a ghost!"
9060099,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","Now, Butters, there's no such thing as ghosts."
9060100,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","But I saw him! Just as plain as I'm seein' you right now!"
9060101,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","Butters, these things happen all the time. You've got a very active little brain and your mind was just playing tricks on you."
9060102,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","Ruh, really?"
9060103,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","Yeess."
9060104,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","So... so it was just... it was... just my ima... magination then?"
9060105,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","That's right. There's no reason to be afraid of things that aren't real. There's plenty of real things to be scared of. Like super-AIDS."
9060106,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","Huh s-s-super-AIDS?"
9060107,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","That's right. A new form of AIDS which is resistant to drugs. Just one teaspoon of super-AIDS in your butt and you're dead in three years."
9060108,906,10,"THE DEATH OF ERIC CARTMAN","BUTTERS","AAAH!  Oh Jesus."
9060109,906,10,"THE DEATH OF ERIC CARTMAN","STEPHEN","So now you feel better? Ghosts don't exist and there's nothing to be afraid of. Except the super-AIDS."
9060110,906,11,"THE DEATH OF ERIC CARTMAN","description","Night time at Butters' house. The sky is clear, but lightning bolts come out of nowhere and just as quickly disappear. Butters is in his bed looking out at the stormy sky and can't get to sleep."
9060111,906,11,"THE DEATH OF ERIC CARTMAN","BUTTERS","Nuh-nothing to be scared of. Jus, just some lightning and thunder.  Gah! Wasn't nothin' neither. J-just a muhouse."
9060112,906,11,"THE DEATH OF ERIC CARTMAN","CARTMAN","Butters..."
9060113,906,11,"THE DEATH OF ERIC CARTMAN","BUTTERS","AAAAAAAAAAAAAAAAAAAAH!"
9060114,906,11,"THE DEATH OF ERIC CARTMAN","CARTMAN","Butters, you have to help me!"
9060115,906,11,"THE DEATH OF ERIC CARTMAN","BUTTERS","Go away! You aren't real!"
9060116,906,11,"THE DEATH OF ERIC CARTMAN","CARTMAN","All right, Butters, you leave me no choice."
