"id","ep_num","segment","title","role","text"
5110001,511,1,"THE ENTITY","description","Denver International Airport, day. Inside the terminal people are in long lines waiting to get their tickets or get on a plane. Mr. Garrison waits in line to have his bags scanned."
5110002,511,1,"THE ENTITY","MR. GARRISON","Jesus Christ, these lines are ridiculous! I'm gonna miss my flight!  E- Excuse me, there are two other security checkpoints. Why can't you open those, too?"
5110003,511,1,"THE ENTITY","SECURITY GUARD","Uh I don't know nothin'."
5110004,511,1,"THE ENTITY","MR. GARRISON","But you work for the-  uh, God-damnit!!"
5110005,511,1,"THE ENTITY","VOICE","Snooty Airlines announces the arrival of flight 239 from Connecticut."
5110006,511,2,"THE ENTITY","description","The Broflovskis stand in front of a perfume shop"
5110007,511,2,"THE ENTITY","KYLE'S MOTHER","That's your cousin's flight, Kyle. Hold the sign up nice and high so he can find us."
5110008,511,2,"THE ENTITY","KYLE","What's he look like?"
5110009,511,2,"THE ENTITY","KYLE'S MOTHER","He's your age and about your height."
5110010,511,2,"THE ENTITY","KYLE","I'm stoked my cousin is comin' to live with us. It'll be just like having a brother."
5110011,511,2,"THE ENTITY","IKE","I todd a nurra"
5110012,511,2,"THE ENTITY","KYLE'S MOTHER","Oh, there he is.  Over here, Kyle!"
5110013,511,2,"THE ENTITY","BOY","Hello, Aunt Sheila."
5110014,511,2,"THE ENTITY","KYLE'S MOTHER","How was your flight?"
5110015,511,2,"THE ENTITY","BOY",":	Oh, it was terrible. They they recycled the air on board and it really did a number on my asthma. I-I-e-I asked them to turn up the oxygen and they wouldn't."
5110016,511,2,"THE ENTITY","KYLE'S MOTHER","You rememer uncle Gerry."
5110017,511,2,"THE ENTITY","BOY",":	Hi, Uncle Gerry."
5110018,511,2,"THE ENTITY","KYLE'S MOTHER",":	 And these are your cousin, Ike and Kyle"
5110019,511,2,"THE ENTITY","KYLE","Hey dude."
5110020,511,2,"THE ENTITY","BOY","It's nice to meet you."
5110021,511,2,"THE ENTITY","KYLE'S MOTHER","Let's get down to the baggage claim, Kyle."
