"id","ep_num","segment","title","role","text"
8060001,806,1,"THE JEFFERSONS","description","The neighborhood. Stan, Kyle, Cartman and Kenny ride down the street on their Big Wheels."
8060002,806,1,"THE JEFFERSONS","STAN","Hey, check it out, dude. Somebody bought the Donovans' old house."
8060003,806,1,"THE JEFFERSONS","KYLE","Yeah, I think they already moved in. I saw moving vans in their driveway two days ago."
8060004,806,1,"THE JEFFERSONS","CARTMAN","I hope they're not Austrians. That's the last thing this town needs."
8060005,806,1,"THE JEFFERSONS","KYLE","Hey look!"
8060006,806,1,"THE JEFFERSONS","KID","Hello."
8060007,806,1,"THE JEFFERSONS","KYLE","Hey. Do you live here?"
8060008,806,1,"THE JEFFERSONS","KID","Yeah, I just moved here with my dad. Are you gonna be my new friends?"
8060009,806,1,"THE JEFFERSONS","CARTMAN","No."
8060010,806,1,"THE JEFFERSONS","KID","I really like your town. My dad wanted to move somewhere to get away from it all. He said he wanted piece and quiet, and to live with a bunch of hicks who don't know anything."
8060011,806,1,"THE JEFFERSONS","STAN","What's that you're wearing?"
8060012,806,1,"THE JEFFERSONS","KID","It's my mask. My daddy says it's best for me to hide my face. My name's Blanket."
8060013,806,1,"THE JEFFERSONS","CARTMAN","Your name is Blanket. Right. Well, Blanket, I'm Howdy Doody, and these are my friends Timsy , Winky  and Nod.  Unfortunately, we have to be off to the Land of Booger Trees, so we'll be leaving now."
8060014,806,1,"THE JEFFERSONS","BLANKET","Wait, don't you guys wanna come inside and play?"
8060015,806,1,"THE JEFFERSONS","CARTMAN","Huh look dude, we're in the fourth grade, okay? You know what that means? It means we don't hang out with a little kid. Come on, guys, let's get back to our Big Wheels."
8060016,806,1,"THE JEFFERSONS","BLANKET","We have arcade games inside."
8060017,806,2,"THE JEFFERSONS","description","The old Donovan house, now Blanket's home."
8060018,806,2,"THE JEFFERSONS","BLANKET","Dad?"
8060019,806,2,"THE JEFFERSONS","STAN","Whoa. Dude, no way."
8060020,806,2,"THE JEFFERSONS","CARTMAN","Oh my God, this is awesome!"
8060021,806,2,"THE JEFFERSONS","STAN","Dude, are these all your toys?"
8060022,806,2,"THE JEFFERSONS","BLANKET","No, this is all my dad's stuff. He loves toys and video games."
8060023,806,2,"THE JEFFERSONS","KYLE","Dude, he must be loaded! What does he do?"
8060024,806,2,"THE JEFFERSONS","BLANKET","He's retired now."
8060025,806,2,"THE JEFFERSONS","CARTMAN","Oh my God, dude! Your dad must be the coolest dad in the world!"
8060026,806,2,"THE JEFFERSONS","BLANKET","Come on, my dad's probably out in the back yard."
8060027,806,3,"THE JEFFERSONS","description","The back yard. The sliding door opens up to a small park, a Neverland, with a giraffe, small Ferris wheel, small carousel, and other things. The boys step through the doorway"
8060028,806,3,"THE JEFFERSONS","CARTMAN","Oh, kick ass! Dude, why isn't my house like this?!"
8060029,806,3,"THE JEFFERSONS","BLANKET","Dad, you out here??"
8060030,806,3,"THE JEFFERSONS","DAD","Here I am, Blanket!  Heeee!  Jeh chabee durtah!  Blanket!! Oh my beautiful blanket!"
8060031,806,3,"THE JEFFERSONS","KYLE","What's wrong with his face?"
8060032,806,3,"THE JEFFERSONS","STAN","Be cool, dude. I, I think maybe he's a burn victim or something."
8060033,806,3,"THE JEFFERSONS","BLANKET","Guys, this is my dad, Michael Ja-"
8060034,806,3,"THE JEFFERSONS","MR. JEFFERSON","Jefferson! Michael ...Jefferson, yeh. Hey, you wanna play with me?  Come on, let's climb the tree!  Come on, climb the tree, climb the tree!"
8060035,806,3,"THE JEFFERSONS","Have you been up my ...Wishing Tree? Tuh!",""
8060036,806,3,"THE JEFFERSONS","It's where I come to think and dream.",""
8060037,806,3,"THE JEFFERSONS","And now I'd like to show you my ...Wishing Tree. Jam on!",""
8060038,806,3,"THE JEFFERSONS","Where we can laugh and giggle and scream. Hee hee!",""
8060039,806,3,"THE JEFFERSONS","Imagination is the key.",""
8060040,806,3,"THE JEFFERSONS","KYLE","Mr. Jefferson, your son can't get up."
8060041,806,3,"THE JEFFERSONS","MR. JEFFERSON","Won't you imagine along with me?"
8060042,806,3,"THE JEFFERSONS","KYLE","Mr. Jefferson?"
8060043,806,3,"THE JEFFERSONS","MR. JEFFERSON","We can be spacemen, or pirates on the sea Chuckajam on"
8060044,806,3,"THE JEFFERSONS","Yes we can do everything, and I mean, everything! Chuckajam on",""
8060045,806,3,"THE JEFFERSONS","Up in my Wishing Tree! Hee hee! Ooooooooooooooooooooooooooooh!",""
8060046,806,4,"THE JEFFERSONS","description","Stark's Pond, day. A group of kids skate around lazily on its frozen surface. Stan and friends race over a rise towards the lake"
8060047,806,4,"THE JEFFERSONS","STAN","Hey you guys! You guys!  You gotta come with us over to the Jeffersons!"
8060048,806,4,"THE JEFFERSONS","RED","The Jeffersons?"
8060049,806,4,"THE JEFFERSONS","CARTMAN","They're a new family that just moved to South Park! We met this kid named Blanket, and he has the coolest dad in the world!"
8060050,806,4,"THE JEFFERSONS","KYLE","Mr. Jefferson said we can invite all the kids in town to go play over at their house."
8060051,806,4,"THE JEFFERSONS","CARTMAN","They have like, video games and rides and a cotton-candy machine, oh, and, and in their back yard, guess what they have in their back yard?? Guess. A train."
8060052,806,4,"THE JEFFERSONS","CRAIG","No way."
8060053,806,4,"THE JEFFERSONS","CARTMAN","Yeah way, Craig! And if you don't believe in Mr. Jefferson, then you can just not come!"
8060054,806,4,"THE JEFFERSONS","CRAIG","I believe in Mr. Jefferson."
8060055,806,5,"THE JEFFERSONS","description","The Jefferson house, arcade room. As the kids enjoy the toys and games found there, Jefferson swings above them on a spacious swing with Bebe on his lap"
8060056,806,5,"THE JEFFERSONS","JEFFERSON","Weeeeeee, look at us on the swing! We're swinging!"
8060057,806,5,"THE JEFFERSONS","BLANKET","Who wants the first cotton candy?"
8060058,806,5,"THE JEFFERSONS","KIDS","Memememememememememe..."
8060059,806,5,"THE JEFFERSONS","MR. JEFFERSON","Mememe! I'm first! I'm first!  Ooooh, let's go ride the choo-choo train!"
8060060,806,5,"THE JEFFERSONS","CARTMAN","Choo-choo train! Yay!"
8060061,806,6,"THE JEFFERSONS","description","The Jefferson back yard. The kids follow Jefferson to the train"
8060062,806,6,"THE JEFFERSONS","MR. JEFFERSON","Let's ride the train! The train!"
8060063,806,6,"THE JEFFERSONS","Would you like to ride the train with me,",""
8060064,806,6,"THE JEFFERSONS","and start a magical journey?",""
8060065,806,6,"THE JEFFERSONS","CARTMAN","Yes I would, Mr. Jefferson. You're so awesome, Mr. Jefferson."
8060066,806,6,"THE JEFFERSONS","MR. JEFFERSON","Cartman, you have a beautiful voice."
8060067,806,6,"THE JEFFERSONS","CARTMAN","Thank you Mr. Jefferson. So do you."
8060068,806,7,"THE JEFFERSONS","description","duet"
8060069,806,7,"THE JEFFERSONS","MR. JEFFERSON","Let's ride and ride on the train together"
8060070,806,7,"THE JEFFERSONS","CARTMAN","... Train together"
8060071,806,7,"THE JEFFERSONS","MR. JEFFERSON","On a journey through both of our minds."
8060072,806,7,"THE JEFFERSONS","CARTMAN","... I've got time. Do youuu??"
8060073,806,8,"THE JEFFERSONS","description","back near the sliding door, Stan, Kyle and Kenny look on. Blanket stands next to them and Kyle notices Blanket's left leg"
