"id","ep_num","segment","title","role","text"
9050001,905,1,"THE LOSING EDGE","description","A baseball field in scenic Rocky Mountain territory. Stan is on the pitching mound"
9050002,905,1,"THE LOSING EDGE","KYLE","This is is, Stan. If you strike this kid out, we all get to go home."
9050003,905,2,"THE LOSING EDGE","description","Announcer's Booth"
9050004,905,2,"THE LOSING EDGE","LOCAL ANNOUNCER 1","Now batting for Conifer is little Alan Barkas."
9050005,905,3,"THE LOSING EDGE","description","The bleachers"
9050006,905,3,"THE LOSING EDGE","RANDY","Heeey batterbatterbatterbatter heydn no hit no hit can't hit can't hit can't hit it can't hit it can't hit it."
9050007,905,3,"THE LOSING EDGE","MR. BARKAS","Hit it out of the park, Alan! South Park sucks!"
9050008,905,3,"THE LOSING EDGE","MR. DONOVAN","Just look at those boys out there, lovin' the great game of baseball like we did when we were kids."
9050009,905,4,"THE LOSING EDGE","description","the field"
9050010,905,4,"THE LOSING EDGE","KYLE","Aw God, I'm so borrred."
9050011,905,4,"THE LOSING EDGE","BUTTERS","I see a ladybug- Hello lady ladybug."
9050012,905,4,"THE LOSING EDGE","UMPIRE","Strike."
9050013,905,4,"THE LOSING EDGE","MR. BARKAS","That was no strike! What the hell is wrong with you, ref?"
9050014,905,4,"THE LOSING EDGE","RANDY","Good call, ref! Good call!"
9050015,905,4,"THE LOSING EDGE","MR. BARKAS","Come on, Alan! This pitcher throws like a girl!"
9050016,905,4,"THE LOSING EDGE","RANDY","What'd you say?!"
9050017,905,4,"THE LOSING EDGE","MR. BARKAS","You heard me, asshole!"
9050018,905,4,"THE LOSING EDGE","RANDY","You want me to kick your ass right here?!"
9050019,905,4,"THE LOSING EDGE","SHARON","Randy, sit down."
9050020,905,4,"THE LOSING EDGE","MR. BARKAS","You want a piece of me?! 'Cause I'm pretty sick of your Goddamned mouth!"
9050021,905,4,"THE LOSING EDGE","RANDY","Whattaya wanna do, huh? Whattaya wanna do?"
9050022,905,4,"THE LOSING EDGE","SHARON","Randy, don't!"
9050023,905,4,"THE LOSING EDGE","MR. BARKAS","You'd better shut up, asshole!"
9050024,905,4,"THE LOSING EDGE","RANDY","I'm standin' right here! How do you wanna handle it?"
9050025,905,4,"THE LOSING EDGE","MR. BARKAS","I told you to SHUT UP!"
9050026,905,4,"THE LOSING EDGE","STAN","Aw Jesus, not again."
9050027,905,5,"THE LOSING EDGE","description","moments later"
9050028,905,5,"THE LOSING EDGE","KYLE","Come on, Stan! Just strike this kid out so we can end the season!"
9050029,905,5,"THE LOSING EDGE","UMPIRE","Strike three! You're out!"
9050030,905,5,"THE LOSING EDGE","STAN","Yes! It's over! It's over!"
9050031,905,5,"THE LOSING EDGE","LOCAL ANNOUNCER 1","That's it. South Park wins the game 4 to 0."
9050032,905,5,"THE LOSING EDGE","CARTMAN","We're done! No more baseball!"
9050033,905,5,"THE LOSING EDGE","KYLE","No more boring baseball until next year!"
9050034,905,5,"THE LOSING EDGE","STAN","We can start having fun again!"
9050035,905,5,"THE LOSING EDGE","CARTMAN","All right, we did it!"
9050036,905,5,"THE LOSING EDGE","STAN","We did it! We did it!"
9050037,905,5,"THE LOSING EDGE","STEVEN","Yeah, we did it, boys! We did it! We're going to the finals! Woohoo!"
9050038,905,5,"THE LOSING EDGE","STAN","... What?"
9050039,905,5,"THE LOSING EDGE","STEVEN","Well we won! That means we've got the best record in the division!"
9050040,905,5,"THE LOSING EDGE","KYLE'S FATHER","Congratulations, boys! You're goin' on to the post-season. Woohoo!"
9050041,905,5,"THE LOSING EDGE","CARTMAN","Post-season?"
9050042,905,5,"THE LOSING EDGE","KYLE","Nobody said anything about a post-season."
9050043,905,5,"THE LOSING EDGE","TOM","There's more little-league baseball for South Park! Yehheah!"
9050044,905,5,"THE LOSING EDGE","STAN","No... NOOO!!"
9050045,905,6,"THE LOSING EDGE","description","Outside, after the game. Randy is hauled off to a waiting patrol car, drunk and tattered. His pants are down to his ankles"
9050046,905,6,"THE LOSING EDGE","RANDY","This is for what?! Arresting me for what?! I'm not allowed to stand up for myself?! I thought this was America! Huh?! Isn't this America!? I'm sorry, I thought this was America!"
9050047,905,7,"THE LOSING EDGE","description","Whistlin' Willy's, night. The boys are gathered there for a pizza dinner"
9050048,905,7,"THE LOSING EDGE","KYLE","I can't believe it. I can't believe we have to keep on playing."
9050049,905,7,"THE LOSING EDGE","CARTMAN","Nobody told us if we win too many games we'd go on to the finals!"
9050050,905,7,"THE LOSING EDGE","STAN","Look, you guys, maybe it's not all that bad."
9050051,905,7,"THE LOSING EDGE","CRAIG","Not all that bad?? How could you say that?! You hate this game more than any of us!"
9050052,905,7,"THE LOSING EDGE","STAN","I know, but listen: the finals are all sudden-deatn elimination, right? That means as soon as we lose one game, our season is over."
9050053,905,7,"THE LOSING EDGE","BUTTERS","Well yeah, but... we usually win."
9050054,905,7,"THE LOSING EDGE","CRAIG","All the other teams are worse than us."
9050055,905,7,"THE LOSING EDGE","JIMMY","Yeah. Let's face it, we're winners."
9050056,905,7,"THE LOSING EDGE","STAN","I know we can lose if we try."
9050057,905,7,"THE LOSING EDGE","KYLE","You mean, throw the game? You know how our parents are about this sport."
9050058,905,7,"THE LOSING EDGE","BUTTERS","Yeah. My dad always said ""It's Okay to lose, but if you don't try, wuh you're grounded, Mister."""
9050059,905,7,"THE LOSING EDGE","THE OTHER BOYS","Yeah, uh huh."
9050060,905,7,"THE LOSING EDGE","STAN","Okay, so then we'll just tell the other team quietly that we're gonna let them win, and then we'll act like we're trying. Our parents will never know."
9050061,905,7,"THE LOSING EDGE","BUTTERS","We'd better hope they never know, or else there's gonna be heck to pay. Heck, I tell ya!"
9050062,905,8,"THE LOSING EDGE","description","At the entrance of Whistlin' Willy's, the adults are gathered, relaxing"
9050063,905,8,"THE LOSING EDGE","KYLE'S FATHER","Boy, that was great, wasn't it?!"
9050064,905,8,"THE LOSING EDGE","MR. DONOVAN","Yeah, our boys really stuck it to 'em!"
9050065,905,8,"THE LOSING EDGE","RANDY","Heeey!"
9050066,905,8,"THE LOSING EDGE","MEN","Heeey!"
9050067,905,8,"THE LOSING EDGE","STEVEN","You're out."
9050068,905,8,"THE LOSING EDGE","KYLE'S FATHER","How much was bail this time?"
9050069,905,8,"THE LOSING EDGE","STAN","Hundred bucks, no big whoop."
9050070,905,8,"THE LOSING EDGE","RICHARD","Boy, you really beat the crap out of that Conifer dad."
9050071,905,8,"THE LOSING EDGE","RANDY","Well somebody had to put that knucklehead in his place."
9050072,905,8,"THE LOSING EDGE","STEVEN","Yeah, well, you'd better watch yourself in the playoffs."
9050073,905,8,"THE LOSING EDGE","RANDY","Wha-what do you mean?"
9050074,905,8,"THE LOSING EDGE","STEVEN","I mean, you always get in a fight with scrappy redneck dats up here in the mountains, but some of those Division Two dads are tough!"
9050075,905,8,"THE LOSING EDGE","KYLE'S FATHER","Yeah, those dads get REALLY drunk and obnoxious."
9050076,905,8,"THE LOSING EDGE","RANDY","I can fight anybody. I just need to train. I just need to get in the best shape of my life."
9050077,905,8,"THE LOSING EDGE","DJ","-the Beatles in the White Album in Helter Skelter. Okay."
9050078,905,9,"THE LOSING EDGE","description","Randy rises from the bed and sits up, leaves the bed and shrugs, and wipes his nose a bit. He enters the kitchen, gets a glass, then goes to the refrigerator. He gets three eggs, cracks them open on the rim of the glass, and pours them into the glass. He picks up the glass and moves off a bit, then pours the eggs into a hot pan and scrambles them. He then picks up a beer, drinks, burps, and farts"
9050079,905,10,"THE LOSING EDGE","description","Fort Collins baseball field, night"
9050080,905,10,"THE LOSING EDGE","FC ANNOUNCER","We want to welcome all South Park parents to Fort Collins, and the Little League Division One Playoffs."
9050081,905,10,"THE LOSING EDGE","STAN","Uhh, hay guys, look, we don't wanna win, so uh,  here's a list of all the pitches I'm gonna throw, in order."
9050082,905,10,"THE LOSING EDGE","FC TEAM","Ooooo!"
9050083,905,10,"THE LOSING EDGE","FC FAT PLAYER","I don't think so, South Park"
9050084,905,10,"THE LOSING EDGE","FC PITCHER","Yeah, you think we wanna win? Then we have to keep playing this boring game!"
9050085,905,10,"THE LOSING EDGE","FC TEAM","Yeah!"
9050086,905,10,"THE LOSING EDGE","KYLE","You hate this game too?"
9050087,905,10,"THE LOSING EDGE","FC BATTER","Yeah! And then we won the stupid regionals and had to do this lousy-ass tournament!"
9050088,905,10,"THE LOSING EDGE","FC CATCHER","We wanna play video games."
9050089,905,10,"THE LOSING EDGE","BUTTERS","Oh no!"
9050090,905,10,"THE LOSING EDGE","STAN","Look! We're gonna be the losers tonight, all right?!"
9050091,905,10,"THE LOSING EDGE","FC PITCHER","I don't think so! There's no way you can lose to us! We're going doowwn! We're gonna get creeaamed!"
9050092,905,10,"THE LOSING EDGE","KYLE","No, we're gonna get creamed!"
9050093,905,10,"THE LOSING EDGE","FC BATTER","We'll just see about that!"
9050094,905,10,"THE LOSING EDGE","SP TEAM","Oh yeah?"
9050095,905,10,"THE LOSING EDGE","FC TEAM","Yeah!"
9050096,905,10,"THE LOSING EDGE","RANDY","Oh boy, they're really gettin' into each others' heads out there.  Yeah! Let's go, South Park! These Fort Collins kids got nothin'! Wooo!"
9050097,905,10,"THE LOSING EDGE","MR. PRATT","Come on, Fort Collins! Let 'em have it! Yeah!"
9050098,905,10,"THE LOSING EDGE","RANDY","Guess that's my guy. I can take him, no problem."
9050099,905,10,"THE LOSING EDGE","CARTMAN","All right, hit one out of the park!"
9050100,905,10,"THE LOSING EDGE","FC ANNOUNCER","And first up for Fort Collins is... Morgan Pratt."
9050101,905,10,"THE LOSING EDGE","RANDY","Heeey batterbatterbatterbatter batteruuuuuuuupp batterbatterbatterbatter!"
9050102,905,10,"THE LOSING EDGE","MR. PRATT","Knock it out of the park, Morgan! Cream these turds!"
9050103,905,10,"THE LOSING EDGE","UMPIRE","Steerike!"
9050104,905,10,"THE LOSING EDGE","RANDY","Yeah!"
9050105,905,10,"THE LOSING EDGE","FC TEAM","Yeah, all right!"
9050106,905,10,"THE LOSING EDGE","STAN","Damnit!"
9050107,905,10,"THE LOSING EDGE","CARTMAN","Come on, kid, you gotta at least swing at it."
9050108,905,10,"THE LOSING EDGE","MORGAN","No way! I'm striking out!"
9050109,905,10,"THE LOSING EDGE","KYLE","Dude, he's not gonna swing! So just throw balls. That way he'll have to walk to first base."
9050110,905,10,"THE LOSING EDGE","UMPIRE","Ball!"
9050111,905,10,"THE LOSING EDGE","CARTMAN","All right!"
9050112,905,10,"THE LOSING EDGE","FC PITCHER","Morgan!"
9050113,905,10,"THE LOSING EDGE","MORGAN","What?"
