"id","ep_num","segment","title","role","text"
6050001,605,1,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Stan's house, night. Stan, Kyle, Cartman and Butters gather some snacks and put them on the coffee table in the Marsh living room"
6050002,605,1,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","STAN","This is gonna be so awesome!"
6050003,605,1,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","KYLE","Do we have everything?"
6050004,605,1,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","STAN","Chips, pop, cookies, Kleenex, toilet paper, flares - we won't have to leave the TV room for anythng!"
6050005,605,1,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","CARTMAN","All right!"
6050006,605,1,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","KYLE","Look, it's almost time"
6050007,605,2,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","HBC commercial"
6050008,605,2,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","ANNOUNCER","Up next on HBC, the Russell Crowe Show!"
6050009,605,3,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","the sofa. The boys climb on it"
6050010,605,3,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","STAN","Alright, here we go."
6050011,605,4,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell Crowe Show intro"
6050012,605,4,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","CHOIR","Born in New Zealand in sixty-four"
6050013,605,5,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell sails on a tugboat called ""Tugger"""
6050014,605,5,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","A hot-headed actor named Russell Crowe",""
6050015,605,6,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell holds an Oscar lovingly"
6050016,605,7,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell in a scene from ""Gladiator"""
6050017,605,7,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","Fight-in' Round The World",""
6050018,605,8,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell fighing bar patrons at Hap's Bar"
6050019,605,8,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","He fight his directors and he fights his fans",""
6050020,605,9,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell holds a director up in the air by the lapels, then he fights fans in a pool hall"
6050021,605,9,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","It's a problem no one understands",""
6050022,605,10,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell fights people in Paris"
6050023,605,10,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","[spoken by a singer] If there's two things he love it's fighting ","and,"
6050024,605,11,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell dances Russian before the Kremlin as a camera man follows him at a distance"
6050025,605,11,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","Fight-in' Round The World",""
6050026,605,12,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","The cameraman takes a picture and Russell beats him up"
6050027,605,12,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","Makin' movies, makin' music and",""
6050028,605,13,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","a poster of Russell's new movie, ""A beautiful Mind, by television's Opie"", then a shot of him recording a song"
6050029,605,13,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","[slowing to half-time] Fight-in' Round The World!",""
6050030,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","a shot of Russell fighting off some Japanese"
6050031,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","[spoken by a singer as a spinning globe appears behind the show ","logo] Russell Crowe"
6050032,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","RUSSELL CROWE","Hello, everybody. I'm Russell Crowe, and this is ""Fight-in' Round The World"" . We're gonna have lots of fun tuhday as we travel all around, and and look for some good-  Ay! What the hell do yuh think you're doin'?!  You walked right through my shot, mate! Do you know who I am?!"
6050033,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","MAN","Oh, excuse me. I was just-  God-damned smartass! Do you think you could"
6050034,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","STAN","Shelley, we're watching that! Go back!"
6050035,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","SHELLEY","Shut up, turd. I'm watching Buffy."
6050036,605,14,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","STAN","No! Shelley, we have to watch HBC!"
6050037,605,15,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","description","Russell Crowe Show"
6050038,605,15,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","RUSSELL CROWE","Oh! Get up! Get up, you little pussy!"
6050039,605,15,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","SHELLEY","The Russell Crowe Show? You turds don't even like that show!"
6050040,605,15,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","STAN","It's not the show we care about. During one of the commercial breaks of tonight's episode, they're gonna show the exclusive never-before-seen trailer to the new Terrance & Phillip movie!"
6050041,605,15,"THE NEW TERRANCE AND PHILLIP MOVIE TRAILER","KYLE","It's the biggest night of the year."
