"id","ep_num","segment","title","role","text"
8030001,803,1,"THE PASSION OF THE JEW","description","Cartman's house, day. A minivan rocks gently on the street. Inside, the boys make their interpretations of spaceship noises. Good boys that they are, they're strapped in. They're wearing football helmets and makeshift Starfleet uniforms"
8030002,803,1,"THE PASSION OF THE JEW","CARTMAN","Captain Cartman reporting from Shuttlecraft Spontaneity. Approaching planet Omega Nine."
8030003,803,1,"THE PASSION OF THE JEW","STAN","Warp drive disengaged. Landing sequence initiated."
8030004,803,1,"THE PASSION OF THE JEW","CARTMAN","What kind of atmosphere are you reading on the planet surface, Jew?"
8030005,803,1,"THE PASSION OF THE JEW","KYLE","I'm a Vulcan!"
8030006,803,1,"THE PASSION OF THE JEW","CARTMAN","All right, what kind of atmosphere are you reading, Vulcan Jew?"
8030007,803,1,"THE PASSION OF THE JEW","KYLE","The atmosphere is oxygen-based, should support our breathing."
8030008,803,1,"THE PASSION OF THE JEW","CARTMAN","All right, hang on. We're about to land. Okay, First Officer Stan and Engineer Kenny, you come with me on the away team. Vulcan Jew Kyle will wait here."
8030009,803,1,"THE PASSION OF THE JEW","KYLE","No! I'm on the away team too!"
8030010,803,1,"THE PASSION OF THE JEW","CARTMAN","It's my Mom's new minivan, so I'm the captain, Kyle!"
8030011,803,1,"THE PASSION OF THE JEW","KYLE","I don't care! You're not making me wait in the van again!"
8030012,803,1,"THE PASSION OF THE JEW","CARTMAN","Fine, Kyle! But if something goes wrong out there on the planet surface, don't hold me responsible."
8030013,803,2,"THE PASSION OF THE JEW","description","The side door slides open. Cartman leads the other three out, so Kyle joins them after all."
8030014,803,2,"THE PASSION OF THE JEW","CARTMAN","Set phasers on stun."
8030015,803,2,"THE PASSION OF THE JEW","STAN","Things seem pretty quiet."
8030016,803,2,"THE PASSION OF THE JEW","CARTMAN","Yes. A little too quiet."
8030017,803,2,"THE PASSION OF THE JEW","KYLE","I am picking up carbon-based life forms in Sector C. I believe we will find a village of peaceful aliens over that ridge."
8030018,803,2,"THE PASSION OF THE JEW","CARTMAN","Okay, fine, I guess we'll look for- Oh no!! Look out!! It's a giant four-headed lava frog!! Shoot it!!  Oh no, it got Kyle!!"
8030019,803,2,"THE PASSION OF THE JEW","KYLE","No it doesn't."
8030020,803,2,"THE PASSION OF THE JEW","CARTMAN","Aw, it got Kyle and it's tearing his head off!!  Aw you guys, it looks like Kyle is done for."
8030021,803,2,"THE PASSION OF THE JEW","KYLE","No I'm not! Goddamnit Cartman, you're not gonna kill me off again!"
8030022,803,2,"THE PASSION OF THE JEW","CARTMAN","Agh! You see guys, this is why you don't bring Jews along on the away team: they don't play along!"
8030023,803,2,"THE PASSION OF THE JEW","KYLE","Shut up about Jews, fatass! You don't know anything!"
8030024,803,2,"THE PASSION OF THE JEW","STAN","Oh God, here we go again."
8030025,803,2,"THE PASSION OF THE JEW","CARTMAN","Oh yeah?! I saw Mel Gibson's movie, The Passion, and Mel Gibson says, in the movie, Jews are the Devil!"
8030026,803,2,"THE PASSION OF THE JEW","KYLE","He does not!"
8030027,803,2,"THE PASSION OF THE JEW","CARTMAN","How do you know?! I've seen The Passion thirty-four times now, Kyle! You haven't seen it once! There's even one part where the Jews have a chance to save Jesus, and you know what they do? They let Barabbas, a serial killer, go free instead and laugh about it."
8030028,803,2,"THE PASSION OF THE JEW","KYLE","Naw uh!"
8030029,803,2,"THE PASSION OF THE JEW","CARTMAN","Go see the movie, Kyle!!"
8030030,803,2,"THE PASSION OF THE JEW","STAN","That does it! I'm sick of you guys arguing about The Passion! I'm out of here."
8030031,803,2,"THE PASSION OF THE JEW","KENNY","(Me too!)"
8030032,803,2,"THE PASSION OF THE JEW","KYLE","I'm not arguing about The Passion! He's being an asshole!"
8030033,803,2,"THE PASSION OF THE JEW","CARTMAN","You know what it is? You're scared. You're scared of the truth. You don't want that movie to show you just how bad the Jews are, and why everyone hates you."
8030034,803,2,"THE PASSION OF THE JEW","KYLE","People don't hate the Jews!"
8030035,803,2,"THE PASSION OF THE JEW","CARTMAN","Really? Three hundred million domestic box-office, Kyle. The top-grossing film of all time, Kyle. Those numbers don't lie. If you're not scared of The Passion then go see it. Go see it and tell me I'm wrong. Mel Gibson, Kyle. Mel Gibson."
8030036,803,2,"THE PASSION OF THE JEW","KYLE","...You're a stupid asshole!"
8030037,803,2,"THE PASSION OF THE JEW","CARTMAN","Sweeet, now I can just play with myself. Pewpeww-pewww! Get back in the shuttlecraft!"
8030038,803,3,"THE PASSION OF THE JEW","description","The Bijou, day. Mel Gibson's The Passion of The Christ is now playing. Kyle walks up to the ticket booth, stops, turns back, stops again, and steps up to the window. He gives the cashier $20"
8030039,803,3,"THE PASSION OF THE JEW","KYLE","One please."
8030040,803,3,"THE PASSION OF THE JEW","SHLOMO","This is an R-rated movie."
8030041,803,3,"THE PASSION OF THE JEW","KYLE","Yeah, I know, but I have to-"
8030042,803,3,"THE PASSION OF THE JEW","SHLOMO","But, because this is such an important film that actually depicts the selfless act of Jesus Christ, I'll let you in to see it."
8030043,803,3,"THE PASSION OF THE JEW","KYLE","...Thanks."
8030044,803,4,"THE PASSION OF THE JEW","description","The Bijou, inside. Kyle enters and makes his way to a seat. He watches."
8030045,803,4,"THE PASSION OF THE JEW","SOLDIER 1","Hac bashtud Christo."
8030046,803,4,"THE PASSION OF THE JEW","SOLDIER 2","Et lac Hesus. Belaca veshtad."
8030047,803,4,"THE PASSION OF THE JEW","JESUS","Wa!"
8030048,803,4,"THE PASSION OF THE JEW","KYLE","Haaaah!"
8030049,803,4,"THE PASSION OF THE JEW","JESUS","Non. Non. Nono, non, non, WAAAAHH!!"
8030050,803,5,"THE PASSION OF THE JEW","description","The Bijou, outside. Kyle walks outside in a daze."
8030051,803,5,"THE PASSION OF THE JEW","KYLE","How? How could the Jews do that to Jesus?"
8030052,803,5,"THE PASSION OF THE JEW","SHLOMO","Pretty brutal, isn't it? Kinda wanna make you change your life, huh?"
8030053,803,6,"THE PASSION OF THE JEW","description","Cartman's house, day. He's on the couch eating cereal"
8030054,803,6,"THE PASSION OF THE JEW","ANNOUNCER","And now, back to Terrance and Phillip."
8030055,803,6,"THE PASSION OF THE JEW","PHILLIP","Hey Terrance, I think I have a-"
8030056,803,6,"THE PASSION OF THE JEW","CARTMAN","Mom! Doorbell!"
8030057,803,6,"THE PASSION OF THE JEW","TERRANCE","Wait, before you do, pull my thumb."
8030058,803,6,"THE PASSION OF THE JEW","CARTMAN","Mom! Answer the door!"
8030059,803,6,"THE PASSION OF THE JEW","TERRANCE","Hey Phillip, guess what?"
8030060,803,6,"THE PASSION OF THE JEW","CARTMAN","Goddamnit, lazy-ass whore."
8030061,803,6,"THE PASSION OF THE JEW","PHILLIP","What?"
8030062,803,6,"THE PASSION OF THE JEW","KYLE","You were right. You were right all along. I thought you were just an asshole when you ripped on Jews, but... I didn't know, I... I didn't know."
8030063,803,6,"THE PASSION OF THE JEW","CARTMAN","It's okay, Kyle. It's okay. Just... say that first part again?"
8030064,803,6,"THE PASSION OF THE JEW","KYLE","You were, you were right?"
8030065,803,6,"THE PASSION OF THE JEW","CARTMAN","Mmm, one more time, Kyle."
8030066,803,6,"THE PASSION OF THE JEW","KYLE","You were right."
8030067,803,7,"THE PASSION OF THE JEW","description","Cartman's house, his bedroom. Cartman's on his knees"
8030068,803,7,"THE PASSION OF THE JEW","CARTMAN","I want to thank you for all the blessings you have brought me. You have shown me the way so many times in the past and... now you are making all my dreams come true. You give me strength when there is doubt, and I praise you for all you have done.  Only you, Mel Gibson, have had the wisdom and the courage to show the world the truth. From this day forward I will dedicate my life to making sure your film is seen by everyone. I will organize the masses so that we may do thy bidding. Hail Mel Gibson. Amen."
8030069,803,8,"THE PASSION OF THE JEW","description","Stan's house. He and Kenny are in his bedroom reading a newspaper."
8030070,803,8,"THE PASSION OF THE JEW","STAN","Look at that, dude. The Passion has made almost 400 milliion dollars at the box office now."
8030071,803,8,"THE PASSION OF THE JEW","KENNY","(Goddamn.)"
8030072,803,8,"THE PASSION OF THE JEW","STAN","Everyone in the country's gonna see that movie. I guess... we have to ge see it too."
8030073,803,9,"THE PASSION OF THE JEW","description","The Bijou, day. No clouds around. Stan and Kenny sit inside in the middle, looking at the movie. The movie ends"
8030074,803,9,"THE PASSION OF THE JEW","STAN","Dude. That movie sucked."
8030075,803,9,"THE PASSION OF THE JEW","KENNY","(Yeah, it totally sucked!)"
8030076,803,9,"THE PASSION OF THE JEW","STAN","How can they even call that a movie?"
