"id","ep_num","segment","title","role","text"
3140001,314,1,"THE RED BADGE OF GAYNESS","description","The bus stop, morning. The boys are dreassed in Union blue. Stan bears the flag, Kyle and Kenny have fifes, and Cartman carries a drum."
3140002,314,1,"THE RED BADGE OF GAYNESS","STAN","Ready? 1-2-3-4."
3140003,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","Hey, dude. Do you like to rock?!  Yes, I like to rock! Helloo, Baltimore!"
3140004,314,1,"THE RED BADGE OF GAYNESS","KYLE","Cartman, what the hell are you doing?"
3140005,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","I'm playing the drum."
3140006,314,1,"THE RED BADGE OF GAYNESS","KYLE","Well, you have to hit it softer!"
3140007,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","You can't just ""hit"" a drum, you have to beat the shit out of it!  Shut you butthole, or I'll kick your ass, you fuckin' drum!!  That's how you rock, dude."
3140008,314,1,"THE RED BADGE OF GAYNESS","KYLE","You're not supposed to rock, you're supposed to keep the beat!"
3140009,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","I ma keepin' the beat; your flute-playing sucks!"
3140010,314,1,"THE RED BADGE OF GAYNESS","STAN","That's it, Cartman, you can't be the drummer!"
3140011,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","Ey, I'll get it!"
3140012,314,1,"THE RED BADGE OF GAYNESS","KYLE","Dude, the Civil War reenactment is tomorrow! You're not gonna get it by tomorrow!"
3140013,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","Yes I will!"
3140014,314,1,"THE RED BADGE OF GAYNESS","STAN","Alright alright. Let's just try it again. 1-2-3-4."
3140015,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","Go!!! Does Cleveland like to rock?! Go!!! Yes, damnit!"
3140016,314,1,"THE RED BADGE OF GAYNESS","KYLE","Cartman!!!"
3140017,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","What?"
3140018,314,1,"THE RED BADGE OF GAYNESS","KYLE","Give me the drum, and you play the flute"
3140019,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","No way! Flutes are totally gay!"
3140020,314,1,"THE RED BADGE OF GAYNESS","KENNY","(Oh. Flutes are gay?)"
3140021,314,1,"THE RED BADGE OF GAYNESS","STAN","Cartman, I'm the leader of the Reenactment Fife and Drum Squad, and I say you play the flute!"
3140022,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","Oh! Well, you know what I say?!  Screw you guys, I'm going home!"
3140023,314,1,"THE RED BADGE OF GAYNESS","KYLE","You dick!"
3140024,314,1,"THE RED BADGE OF GAYNESS","CARTMAN","Later."
3140025,314,1,"THE RED BADGE OF GAYNESS","JIMBO","Alrighty everyone. We just have a few things to go over before we head out to the reenactment battlefield.  First of all, I have great news. There are over 200 folks from around the state that have come to see this year's reenactment, and that's the best turnout ever!"
