"id","ep_num","segment","title","role","text"
6130001,613,1,"THE RETURN OF THE FELLOWSHIP OF","description","Stan's house, night. Stan, Kyle, and Cartman stand in the living room in costume"
6130002,613,1,"THE RETURN OF THE FELLOWSHIP OF","STAN","O Great Wizard of Gregendath. What quest do you ask of this Ranger and Paladin?"
6130003,613,1,"THE RETURN OF THE FELLOWSHIP OF","CARTMAN","Only one thing can save our kingdom. You must bring me: a piece of pecan pie with toffee ice cream and magic shell. Hurry now!"
6130004,613,1,"THE RETURN OF THE FELLOWSHIP OF","KYLE","That quest sucks, Cartman! Think of another one!"
6130005,613,1,"THE RETURN OF THE FELLOWSHIP OF","RANDY","Uh, boys,  Butters' parents want to borrow the Lord of the Rings video we rented. Could you take it over to them?"
6130006,613,1,"THE RETURN OF THE FELLOWSHIP OF","STAN","You're sending us on... a quest? You ask of us to take the one video to the House of Butters?"
6130007,613,1,"THE RETURN OF THE FELLOWSHIP OF","RANDY","Yeah, whatever."
6130008,613,1,"THE RETURN OF THE FELLOWSHIP OF","CARTMAN","It shall be a long journey with many dangers on the way."
6130009,613,1,"THE RETURN OF THE FELLOWSHIP OF","KYLE","But if the tape must be brought to the House of Butters, who else can do it?"
6130010,613,1,"THE RETURN OF THE FELLOWSHIP OF","STAN","Very well, we shall embark on this quest immediately, father! Come, warriors!"
6130011,613,1,"THE RETURN OF THE FELLOWSHIP OF","THE BOYS","Ho!"
6130012,613,1,"THE RETURN OF THE FELLOWSHIP OF","RANDY","Hmmm, that gets rid of them."
6130013,613,1,"THE RETURN OF THE FELLOWSHIP OF","SHARON","Ooo, you're a little frisky, aren't you?"
6130014,613,1,"THE RETURN OF THE FELLOWSHIP OF","RANDY","Yeah, well uh, the Lord of the Rings wasn't the only thing I rented from the video store.  I also rented... a porno."
6130015,613,1,"THE RETURN OF THE FELLOWSHIP OF","SHARON","Oho, you little devil."
6130016,613,1,"THE RETURN OF THE FELLOWSHIP OF","RANDY","Youuu wanna go watch?"
6130017,613,2,"THE RETURN OF THE FELLOWSHIP OF","description","The neighborhood streets, night. The boys are well into their quest"
6130018,613,2,"THE RETURN OF THE FELLOWSHIP OF","STAN","How shall we journey to the house of Butters? Through the mines of Endor or over the mountains of Grog?"
6130019,613,2,"THE RETURN OF THE FELLOWSHIP OF","KYLE","Look out! Here comes the great dragon of Perengraph!"
6130020,613,2,"THE RETURN OF THE FELLOWSHIP OF","CARTMAN","Don't worry! I am the great wizard Motortart. I can shield us from the dragon's fire."
6130021,613,2,"THE RETURN OF THE FELLOWSHIP OF","STAN","Good job, wizard."
6130022,613,2,"THE RETURN OF THE FELLOWSHIP OF","CARTMAN","And so the party journeyed onward: the great Wizard, the skillful Ranger, and the covetous Jew."
6130023,613,2,"THE RETURN OF THE FELLOWSHIP OF","KYLE","I'm a Paladin, Cartman!"
6130024,613,2,"THE RETURN OF THE FELLOWSHIP OF","CARTMAN","Jews can't be Paladins."
6130025,613,3,"THE RETURN OF THE FELLOWSHIP OF","description","Stan's house, night. As the kid journey, Randy and Sharon are in their room getting ready for a night of porno. Sharon appears in a ruby lingerie, leans suggestively against the doorway of the master bathroom and runs her finger along the bedroom wall. Randy takes the porno to the TV"
