"id","ep_num","segment","title","role","text"
3030001,303,1,"THE SUCCUBUS","description","The optometrist's office. A penguin sits above the OPTOMETRIST sign. Liane and Cartman are waiting in the lobby. Liane reads a magazine. A poster off to one side reads ""Real eyes the beauty within."""
3030002,303,1,"THE SUCCUBUS","CARTMAN","Mom, please can we just leave?"
3030003,303,1,"THE SUCCUBUS","LIANE","You have to see the eye doctor, Eric."
3030004,303,1,"THE SUCCUBUS","CARTMAN","But I hate the eye doctor. He always makes fun of me for being fat."
3030005,303,1,"THE SUCCUBUS","LIANE","You're not fat, you're big-boned."
3030006,303,1,"THE SUCCUBUS","CARTMAN","That's what I told him, but he doesn't listen to reason."
3030007,303,1,"THE SUCCUBUS","DOCTOR'S ASSISTANT","Eric Cartman."
3030008,303,1,"THE SUCCUBUS","CARTMAN","Weak."
3030009,303,2,"THE SUCCUBUS","description","Inside, Cartman stops"
3030010,303,2,"THE SUCCUBUS","OPTOMETRIST","Hello, Eric."
3030011,303,2,"THE SUCCUBUS","CARTMAN","Hi, Dr. Lott"
3030012,303,2,"THE SUCCUBUS","DR. LOTT","How's my little piggy today?"
3030013,303,2,"THE SUCCUBUS","CARTMAN","Ey! Don't call me a little piggy!"
3030014,303,2,"THE SUCCUBUS","DR. LOTT","I just say that because you're my little buddy."
3030015,303,2,"THE SUCCUBUS","CARTMAN","I'm just here for an eye exam, all right?! Keep the fat jokes to yourself!"
3030016,303,2,"THE SUCCUBUS","DR. LOTT","Hop up on the chair.  Don't break it now!"
3030017,303,2,"THE SUCCUBUS","CARTMAN","God damn it!"
3030018,303,2,"THE SUCCUBUS","DR. LOTT","Just kidding. Let's see how your eyes are doing.  All you have to do is read the letters. Can you see the letters?"
3030019,303,2,"THE SUCCUBUS","CARTMAN","Yes."
3030020,303,2,"THE SUCCUBUS","DR. LOTT","All right, read them out for me."
3030021,303,2,"THE SUCCUBUS","CARTMAN","I am a little piggy."
3030022,303,2,"THE SUCCUBUS","Ey! [the optometrist laughs. Cartman stands up on the chair and ","pushes the refractor away.] That does it! Mom!"
