"id","ep_num","segment","title","role","text"
5030001,503,1,"THE SUPER BEST FRIENDS","description","South Park, day. People mill around, but a group of them has gathered around a magician, tall and slender, with a severe face"
5030002,503,1,"THE SUPER BEST FRIENDS","MAGICIAN","Okay, Carol, put the card you picked back into the deck so I can't see ittwah."
5030003,503,1,"THE SUPER BEST FRIENDS","STAN","What's going on?"
5030004,503,1,"THE SUPER BEST FRIENDS","BUTTERS","Uh this feller David Blaine. He's doin' magic tricks. Hey, where'd you get that ice cream?"
5030005,503,1,"THE SUPER BEST FRIENDS","BLAINE","Okay, now hold this card up to the crowd. Was that the card you picked?"
5030006,503,1,"THE SUPER BEST FRIENDS","CAROL","No, I'm sorry. I picked the four of hearts."
5030007,503,1,"THE SUPER BEST FRIENDS","BLAINE","Four of hearts? Really? Look again."
5030008,503,1,"THE SUPER BEST FRIENDS","CAROL","Daa-ah!"
5030009,503,1,"THE SUPER BEST FRIENDS","CROWD","Oooohhhh!"
5030010,503,1,"THE SUPER BEST FRIENDS","WOMAN","Whoa"
5030011,503,1,"THE SUPER BEST FRIENDS","KYLE","That's pretty cool, dude!"
5030012,503,1,"THE SUPER BEST FRIENDS","CARTMAN","Who's this asshole?"
5030013,503,1,"THE SUPER BEST FRIENDS","KYLE","He's a magician named David Blaine, dude. He kicks ass."
5030014,503,1,"THE SUPER BEST FRIENDS","CARTMAN","Hey, where'd you guys get that ice cream?"
5030015,503,1,"THE SUPER BEST FRIENDS","BLAINE","Sir, c- could you come over here?  Now, what I want you to do, Mr..."
5030016,503,1,"THE SUPER BEST FRIENDS","JIMBO","Kern."
5030017,503,1,"THE SUPER BEST FRIENDS","BLAINE","Mr. Kern, I want you to just... think about a card. Pick any card, and picture it in your mind."
5030018,503,1,"THE SUPER BEST FRIENDS","JIMBO","O-kay."
5030019,503,1,"THE SUPER BEST FRIENDS","BLAINE","Okay, jus... s think about your card. okay, look at me.  Look at me... Look at me... okay, now reach up your ass."
5030020,503,1,"THE SUPER BEST FRIENDS","JIMBO","Huh??"
5030021,503,1,"THE SUPER BEST FRIENDS","BLAINE","Go on, reach up your ass."
5030022,503,1,"THE SUPER BEST FRIENDS","JIMBO","Uh, I don't feel nothin'."
5030023,503,1,"THE SUPER BEST FRIENDS","BLAINE","Deeper."
5030024,503,1,"THE SUPER BEST FRIENDS","JIMBO","Hhud. I don't feel... hello... wait... wait..."
5030025,503,1,"THE SUPER BEST FRIENDS","BLAINE","Was that the card you picked?"
5030026,503,1,"THE SUPER BEST FRIENDS","JIMBO","Yes! Oh my God!"
5030027,503,1,"THE SUPER BEST FRIENDS","MAN","O-hoho!"
5030028,503,1,"THE SUPER BEST FRIENDS","KYLE","Wow, that's cool!"
5030029,503,1,"THE SUPER BEST FRIENDS","STAN","How'd he do that??"
5030030,503,1,"THE SUPER BEST FRIENDS","BLAINE","Thank you. I've been traveling from town to town for quite a while. I've started quite a following, mostly because of my levitation tricktwah. Watch. Watch."
5030031,503,1,"THE SUPER BEST FRIENDS","CROWD","Whoa!!!"
5030032,503,1,"THE SUPER BEST FRIENDS","STAN","No way!"
5030033,503,1,"THE SUPER BEST FRIENDS","KYLE","Damn. That guy is the coolest guy in the universe!"
5030034,503,1,"THE SUPER BEST FRIENDS","BLAINETOLOGIST","Pamphlet. Pamphlet. Here you go, kids, take a pamphlet."
5030035,503,1,"THE SUPER BEST FRIENDS","KYLE","""David Blaine Workshop. Learn all about David Blaine at the Center for Magic."" Dude, we gotta go."
5030036,503,1,"THE SUPER BEST FRIENDS","CARTMAN","Yeah, and they probably teach you how to do magic tricks!"
5030037,503,2,"THE SUPER BEST FRIENDS","description","The David Blaine Complex, in the middle of nowhere, day."
5030038,503,2,"THE SUPER BEST FRIENDS","SPEAKER","Hello, everyone. My name is Steven and I've been a Blainetologist for about three years. So, when David Blaine performed his miracles out on the street, what moved you the most?"
5030039,503,2,"THE SUPER BEST FRIENDS","STAN","His a-miracles?"
5030040,503,2,"THE SUPER BEST FRIENDS","STEVEN","Oh yes, you see, David Blaine is much more than a magician. He's a scholar, a visionary, a leader."
5030041,503,2,"THE SUPER BEST FRIENDS","CARTMAN","When are we gonna learn magic tricks?"
5030042,503,2,"THE SUPER BEST FRIENDS","STAN","Yeah!"
5030043,503,2,"THE SUPER BEST FRIENDS","STEVEN","Oh, I've got a trick for you to learn: I can show you how to make your true self appear. Let me ask you all something: Do you consider yourselves to be happy?"
5030044,503,2,"THE SUPER BEST FRIENDS","BUTTERS","I don't think I'm very happy. I always fall asleep to the sounds of my own screams."
5030045,503,2,"THE SUPER BEST FRIENDS","STEVEN","...Right, yeh. Eh, see, the reason that you are unha-"
5030046,503,2,"THE SUPER BEST FRIENDS","BUTTERS","And then I always get woken up in the morning by the sounds of my own screams. Do you think I'm unhappy?"
5030047,503,2,"THE SUPER BEST FRIENDS","STEVEN","Wait, the.. the point is... that you can be happy. You see, your friends and parents have programmed you in a way that makes you feel isolated and alone. How many times have you felt like nobody knows the real... you? You're not really happy."
5030048,503,2,"THE SUPER BEST FRIENDS","KYLE","I'm not really happy."
5030049,503,2,"THE SUPER BEST FRIENDS","STEVEN","Your potential hasn't even been reached."
5030050,503,2,"THE SUPER BEST FRIENDS","KYLE","My potential hasn't even been reached."
5030051,503,2,"THE SUPER BEST FRIENDS","STEVEN","If you look through David Blaine's incredible book, you'll find a lot of life's answers. Let's read some of the book together, shall we?"
5030052,503,2,"THE SUPER BEST FRIENDS","CARTMAN","Then we get to be in David Blaine's secret club?"
5030053,503,2,"THE SUPER BEST FRIENDS","STEVEN","That's right."
5030054,503,2,"THE SUPER BEST FRIENDS","CARTMAN","Cool."
5030055,503,3,"THE SUPER BEST FRIENDS","description","Kyle's house, day. In the dining room, Sheila is trying to feed Ike, who is in a baby chair."
5030056,503,3,"THE SUPER BEST FRIENDS","KYLE'S MOTHER","Ike, eat your gefilte fish."
5030057,503,3,"THE SUPER BEST FRIENDS","IKE","No-oo."
5030058,503,3,"THE SUPER BEST FRIENDS","KYLE","Mom. Mom. I found out all about this great new magician named David Blaine:"
5030059,503,3,"THE SUPER BEST FRIENDS","KYLE'S MOTHER","That's nice, Kyle. Ike, eat!"
5030060,503,3,"THE SUPER BEST FRIENDS","KYLE","We spent all afternoon learning about how we aren't actually happy. I had no idea how unhappy I was until today. They gave me this cool book to read, and I'm already on chapter four.."
5030061,503,3,"THE SUPER BEST FRIENDS","KYLE'S MOTHER","Well, it's nice to see you so interested in something, Kyle. Ike, for the love of Abraham, you are gonna eat this."
5030062,503,3,"THE SUPER BEST FRIENDS","KYLE","So can I go to the Magic Camp, to learn how to become a full member? All the other guys are doin' it, and it's only $69.95."
5030063,503,3,"THE SUPER BEST FRIENDS","KYLE'S MOTHER","Magic Camp? I don't know, bubbe, ask your father.  Ike, you will eat this!"
5030064,503,4,"THE SUPER BEST FRIENDS","description","The David Blaine Complex, in the middle of nowhere, day. The new recruits are having their hair shaved off their heads"
5030065,503,4,"THE SUPER BEST FRIENDS","BARBER","Prepare to be cleansed and release the magic inside you."
5030066,503,4,"THE SUPER BEST FRIENDS","BUTTERS","I am prepared.  Hoh, jeez, eh it sure got cold in here."
5030067,503,4,"THE SUPER BEST FRIENDS","BARBER","Next?"
5030068,503,5,"THE SUPER BEST FRIENDS","description","The David Blaine Complex, main room"
5030069,503,5,"THE SUPER BEST FRIENDS","STEVEN","Congratulations, young Blainetologists. From this day, you are clean.  Now, we have very important work to do! David Blaine is going to put on a big magic show in Denver tonorrow night, where he's going to eat his own head."
5030070,503,5,"THE SUPER BEST FRIENDS","RECRUITS","Wow!"
5030071,503,5,"THE SUPER BEST FRIENDS","STEVEN","So it's up to all you new Blainetologists to get as many people there as you can. Whoever gets the most people to come gets a prize!"
5030072,503,5,"THE SUPER BEST FRIENDS","STAN","Kyle, I'm starting to think that this is a really bad idea."
5030073,503,5,"THE SUPER BEST FRIENDS","BUTTERS","Ha-I'm not Kyle, I'm Butters. I thought you were Kyle."
5030074,503,5,"THE SUPER BEST FRIENDS","STAN","No, I'm Stan."
5030075,503,5,"THE SUPER BEST FRIENDS","KYLE","You're Stan? Where's Kenny?"
5030076,503,5,"THE SUPER BEST FRIENDS","STAN","Who are you?"
5030077,503,5,"THE SUPER BEST FRIENDS","KYLE","I'm Kyle."
5030078,503,5,"THE SUPER BEST FRIENDS","CARTMAN","Heheh, guess who I am, guys?"
5030079,503,5,"THE SUPER BEST FRIENDS","STAN","Kyle, I think we may have gotten into something bad here."
5030080,503,5,"THE SUPER BEST FRIENDS","KYLE","What do you mean? We're learning all kinds of cool stuff."
5030081,503,5,"THE SUPER BEST FRIENDS","STAN","Look at us, dude. These people are trying to change us somehow. I think it's time we went home."
5030082,503,5,"THE SUPER BEST FRIENDS","KYLE","But David Blaine is gonna do more miracles in Denver tomorrow.."
5030083,503,5,"THE SUPER BEST FRIENDS","STAN","I don't care! I'm leaving!  'Scuse me."
5030084,503,5,"THE SUPER BEST FRIENDS","AIDE","Where are you going?"
5030085,503,5,"THE SUPER BEST FRIENDS","STAN","I'm going home."
5030086,503,5,"THE SUPER BEST FRIENDS","AIDE","You don't want to go home."
5030087,503,5,"THE SUPER BEST FRIENDS","STAN","You said we're free to leave whenever we want"
5030088,503,5,"THE SUPER BEST FRIENDS","AIDE","You are."
5030089,503,5,"THE SUPER BEST FRIENDS","STAN","Move out of the way."
5030090,503,5,"THE SUPER BEST FRIENDS","AIDE","I'm not in the way. You are. Are you unhappy with the Church's teachings? Let's just talk about it"
5030091,503,5,"THE SUPER BEST FRIENDS","STAN","I don't wanna talk about it, I jus' wanna leave."
5030092,503,5,"THE SUPER BEST FRIENDS","AIDE","Why don't we go into the back room for a second, and talk? Then you can leave."
5030093,503,5,"THE SUPER BEST FRIENDS","STAN","That's okay, I... I changed my mind. I'm... gonna stay."
5030094,503,5,"THE SUPER BEST FRIENDS","AIDE","That's great news."
5030095,503,6,"THE SUPER BEST FRIENDS","description","The David Blaine Complex, dorm, night. Stan peers out from a door into a hall."
5030096,503,6,"THE SUPER BEST FRIENDS","STAN","Okay, it's all clear."
5030097,503,6,"THE SUPER BEST FRIENDS","KYLE","What are we doing?"
5030098,503,6,"THE SUPER BEST FRIENDS","STAN","We're getting out of here. This whole thing has gotten way out of hand."
5030099,503,6,"THE SUPER BEST FRIENDS","KYLE","Whoa whoa, I'm not going anywhere."
5030100,503,6,"THE SUPER BEST FRIENDS","STAN","Come on, Kyle, this is stupid!"
5030101,503,6,"THE SUPER BEST FRIENDS","KYLE","It's not stupid, Stan. For once in my life I feel like I'm part of something."
5030102,503,6,"THE SUPER BEST FRIENDS","STAN","A part of what?! Some gaywad magician's crazy life plan?!"
5030103,503,6,"THE SUPER BEST FRIENDS","KYLE","Don't call Mr. Blaine a gaywad! He's a brlliant man"
5030104,503,6,"THE SUPER BEST FRIENDS","STAN","No, they just convinced you that he's a brilliant man! Let's go!"
5030105,503,6,"THE SUPER BEST FRIENDS","KYLE","I'm not going anywhere!"
5030106,503,6,"THE SUPER BEST FRIENDS","STAN","Goddamnit, I'm not going with you! I wanna stay here!"
5030107,503,6,"THE SUPER BEST FRIENDS","KYLE","Huh? I thought you wanted to leave!"
5030108,503,6,"THE SUPER BEST FRIENDS","STAN","Oh wait, who am I again?"
5030109,503,6,"THE SUPER BEST FRIENDS","KYLE","You're Stan."
5030110,503,6,"THE SUPER BEST FRIENDS","STAN","Oh- oh yeah. God- Goddamnnit, hold on a second.  Okay. Now look, dude, I'm getting out of here, and you're a dumbass if you don't come back with me!"
5030111,503,6,"THE SUPER BEST FRIENDS","KYLE","Then I guess... I'm a dumbass."
5030112,503,6,"THE SUPER BEST FRIENDS","STAN","Kyle, please.You-  You're my best friend."
5030113,503,6,"THE SUPER BEST FRIENDS","KYLE","Well, this is what I believe in now, Stan. And if you can't respectr that,... then I guess we're not best friends anymore."
5030114,503,7,"THE SUPER BEST FRIENDS","description","South Park, next day. Cartman and Kyle walk down a sidewalk visiting houses. They approach a pink house."
5030115,503,7,"THE SUPER BEST FRIENDS","KYLE","Hello, ma'am. My name is Kyle. And this is Cartman. We'd like to share our interest in David Blaine with you."
5030116,503,7,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","Uh oh. My husband warned me about you Blainiacs. I'm sorry, but I'm a Catholic."
5030117,503,7,"THE SUPER BEST FRIENDS","CARTMAN","Uh it... doesn't matter, ma'am. Blainetology is for everyone. There are Blainetologists who are Catholics, Buddhists - why even Kyle here is a Goddamn Jew."
5030118,503,7,"THE SUPER BEST FRIENDS","KYLE","That's right."
5030119,503,7,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","So you're not a cult?"
5030120,503,7,"THE SUPER BEST FRIENDS","CARTMAN","Of course, no. David Blaine is a real person. You may have seen his television specials on ABC. He also wrote a book, and we'd like to share it with you."
5030121,503,7,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","Well, alright, come on in."
5030122,503,7,"THE SUPER BEST FRIENDS","CARTMAN","Cool."
5030123,503,8,"THE SUPER BEST FRIENDS","description","Elderly woman's house, living room, moments later. The woman and the two boys sit on the sofa. Kyle has his book open."
5030124,503,8,"THE SUPER BEST FRIENDS","KYLE","...And if you look here, you can see how David Blaine performed the miracle of being frozen in ice at Times Square."
5030125,503,8,"THE SUPER BEST FRIENDS","CARTMAN","Ma'am, have you ever wondered what David Blaine's plan is for you?"
5030126,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","No, not really."
5030127,503,8,"THE SUPER BEST FRIENDS","CARTMAN","Oh, you see, that, that's inteesting because... I'm so thankful for David Blaine's book, and, I'm so thankful that he showed me the way to true happiness but, I think about his plan often."
5030128,503,8,"THE SUPER BEST FRIENDS","KYLE","David Blaine is doing a big performance in Denver tomorrow night.  We're sure his magic will entertain and astound you!"
5030129,503,8,"THE SUPER BEST FRIENDS","CARTMAN","He's going to eat his own head."
5030130,503,8,"THE SUPER BEST FRIENDS","KYLE","How many tickets can we put you down for?"
5030131,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","Oh, I can't go."
5030132,503,8,"THE SUPER BEST FRIENDS","CARTMAN","Oh, come on, it'll make you a happy person."
5030133,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","I am happy."
5030134,503,8,"THE SUPER BEST FRIENDS","CARTMAN","No you're not."
5030135,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","Yes I am."
5030136,503,8,"THE SUPER BEST FRIENDS","CARTMAN","No you're not."
5030137,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","I really am."
5030138,503,8,"THE SUPER BEST FRIENDS","CARTMAN","No you're not."
5030139,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","But I am."
5030140,503,8,"THE SUPER BEST FRIENDS","CARTMAN","No you're not."
5030141,503,8,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","Alright, two tickets"
5030142,503,8,"THE SUPER BEST FRIENDS","KYLE","Great!"
5030143,503,9,"THE SUPER BEST FRIENDS","description","Sidewalk. Kyle and Cartman exit the elderly woman's house"
5030144,503,9,"THE SUPER BEST FRIENDS","KYLE","That's 15 people we got to agree to come see David Blaine perform in Denver."
5030145,503,9,"THE SUPER BEST FRIENDS","CARTMAN","Yes, Brother Kyle hmm, but our work is not over. We must still recruit ten more audience members in order to get the prize."
5030146,503,9,"THE SUPER BEST FRIENDS","KYLE","I think if we try Kenny's neighborhood, we might find a-"
5030147,503,9,"THE SUPER BEST FRIENDS","CARTMAN","Come, Brother Kyle, we have no time for him."
5030148,503,9,"THE SUPER BEST FRIENDS","STAN","HaaAAAA!"
5030149,503,9,"THE SUPER BEST FRIENDS","DRIVER","You'd better watch yourself next time, abandoner!"
5030150,503,10,"THE SUPER BEST FRIENDS","description","Jesus' house, next day. Stan walks up and rings the doorbell"
5030151,503,10,"THE SUPER BEST FRIENDS","STAN","Hi, Jesus. It's me,"
5030152,503,10,"THE SUPER BEST FRIENDS","STAN, JESUS","Stan Marsh."
5030153,503,10,"THE SUPER BEST FRIENDS","JESUS","Of course. I know you, my child. Come in."
5030154,503,11,"THE SUPER BEST FRIENDS","description","Jesus' house, living room. A pitcher of water sits on the coffee table"
5030155,503,11,"THE SUPER BEST FRIENDS","STAN","This guy is going around doing magic tricks and saying they're miracles! My friend Kyle thinks he's totally awesome!"
5030156,503,11,"THE SUPER BEST FRIENDS","JESUS","You're good to bring this to my attention, Stan. Cults are a very dangerous thing."
5030157,503,11,"THE SUPER BEST FRIENDS","STAN","I read in the Bible that you did miracles, too. If you could go in front of these people and do your miracles, then, they'll all see that David Blaine isn't so special."
5030158,503,11,"THE SUPER BEST FRIENDS","JESUS","The miracle I'm most famous for is turning water into wine."
5030159,503,11,"THE SUPER BEST FRIENDS","STAN","Can you do it agian?"
5030160,503,11,"THE SUPER BEST FRIENDS","JESUS","Very well. I shall perform the miracle. Behold. Here you can see ordinary water, clear, clean. Okay now, turn around. Er, nuh, tur- turn around.  Uh, okay now, turn back.  It is now wine!"
5030161,503,11,"THE SUPER BEST FRIENDS","STAN","That's it? That's how you did that trick?"
5030162,503,11,"THE SUPER BEST FRIENDS","JESUS","Wuh well, yeah."
5030163,503,11,"THE SUPER BEST FRIENDS","STAN","That trick sucks, Jesus."
5030164,503,11,"THE SUPER BEST FRIENDS","JESUS","Oh. Well, I guess it worked a little better on people 2000 years ago."
5030165,503,11,"THE SUPER BEST FRIENDS","STAN","Dude, we have to do something. This guy is performing more miracles in Denver tonight. He's gonna get more followers, and it'll be impossible for me to get Kyle out."
5030166,503,11,"THE SUPER BEST FRIENDS","JESUS","Then let's go."
5030167,503,11,"THE SUPER BEST FRIENDS","STAN","But dude, I'd I don't think you should do that lame water-to-wine trick."
5030168,503,11,"THE SUPER BEST FRIENDS","JESUS","Oh,don't worry  I have a few more miracles up my sleeve."
5030169,503,12,"THE SUPER BEST FRIENDS","description","Denver, night. An arena is shown, and the place is packed. Kyle and Cartman are seated in the third row, with around Blainetologists around them"
5030170,503,12,"THE SUPER BEST FRIENDS","TONIGHT",""
5030171,503,12,"THE SUPER BEST FRIENDS","MAGICIAN",""
5030172,503,12,"THE SUPER BEST FRIENDS","DAVID BLAINE",""
5030173,503,12,"THE SUPER BEST FRIENDS","KYLE","This is a really good turnout."
5030174,503,12,"THE SUPER BEST FRIENDS","ANNOUNCER","And now, ladies and gentlemen, David Blaine."
5030175,503,12,"THE SUPER BEST FRIENDS","BLAINE","Hello, my children."
5030176,503,12,"THE SUPER BEST FRIENDS","ANNOUNCER","Ladies and gentlemen, may we have silence, please, as magician David Blaine will now eat... his... own... head."
5030177,503,12,"THE SUPER BEST FRIENDS","KYLE","Dude, no way!"
5030178,503,12,"THE SUPER BEST FRIENDS","BLAINE","Thank you, everyone.  Our organization grows larger every day. Soon, the government will even have to give us tax-exempt status as a bona fide religion."
5030179,503,12,"THE SUPER BEST FRIENDS","JESUS","Hold!"
5030180,503,12,"THE SUPER BEST FRIENDS","MAN","It's Jesus!"
5030181,503,12,"THE SUPER BEST FRIENDS","CARTMAN","What's he doin' here?"
5030182,503,12,"THE SUPER BEST FRIENDS","JESUS","My children, it is time for you to go home and stop following this false prophet. You should be using your money and time for other things. These are simple magic tricks. His magic is interesting, but will it put food on your table? Feeding the hungry - now that is a miracle! Behold! I havd here fives loaves of bread and three fish. Certainly not enough to feed this entire crowd, but now - turn around  Ya need tuh- turn around.  Okay, now turn back."
5030183,503,12,"THE SUPER BEST FRIENDS","CARTMAN","Now how the hell did he do that?"
5030184,503,12,"THE SUPER BEST FRIENDS","CROWD","Wow!"
5030185,503,12,"THE SUPER BEST FRIENDS","BLAINE","Your magic is old and outdated, Jesus! twah. Just like you are."
5030186,503,12,"THE SUPER BEST FRIENDS","JESUS","Oh, really. Then what's this  Ace of Spades doing behind your ear?"
5030187,503,12,"THE SUPER BEST FRIENDS","CROWD","Whoa."
5030188,503,12,"THE SUPER BEST FRIENDS","JESUS","Jesus Christ!"
5030189,503,12,"THE SUPER BEST FRIENDS","ELDERLY WOMAN","He's incredible!"
5030190,503,12,"THE SUPER BEST FRIENDS","BLAINE","The old religions have failed you! twah. What have they offered except for war, poverty, and sadness? Blainetology offers you the key to living your life to the fullest! Will you join us?"
5030191,503,12,"THE SUPER BEST FRIENDS","CROWD","Yes!!"
5030192,503,13,"THE SUPER BEST FRIENDS","description","The arena, outside. Jesus and Stan exit the arena"
5030193,503,13,"THE SUPER BEST FRIENDS","JESUS","His magic is too powerful, Stanley. I've never seen anything like it."
5030194,503,13,"THE SUPER BEST FRIENDS","STAN","Then what are we going to do."
5030195,503,13,"THE SUPER BEST FRIENDS","JESUS","I cannot face him alone. We must get the help of all the super best friends. Buddha. Buddha, come in!"
5030196,503,13,"THE SUPER BEST FRIENDS","STAN","Super best friends?"
5030197,503,13,"THE SUPER BEST FRIENDS","BUDDHA","This is Buddha, Jesus. Go ahead."
5030198,503,14,"THE SUPER BEST FRIENDS","description","A futuristic headquarters, somewhere... Jesus appears on a giant screen as Buddha awaits Jesus' answer"
5030199,503,14,"THE SUPER BEST FRIENDS","JESUS","Buddha, we may have a problem. I've just encountered a magic I've never seen before."
5030200,503,14,"THE SUPER BEST FRIENDS","BUDDHA","I'll call everyone together. Come as fast as you can."
5030201,503,14,"THE SUPER BEST FRIENDS","JESUS","Come, Stanley. We must travel far and long."
5030202,503,14,"THE SUPER BEST FRIENDS","STAN","To where?"
5030203,503,14,"THE SUPER BEST FRIENDS","JESUS","Distances unfathomable to man. Yea, take hold of my robe, Stanley, and do not open your eyes."
5030204,503,14,"THE SUPER BEST FRIENDS","STAN","I am ready."
5030205,503,15,"THE SUPER BEST FRIENDS","description","Insde an airplane. Jesus and Stan have center seats, and Stan's eyes are still shut"
5030206,503,15,"THE SUPER BEST FRIENDS","JESUS","Are you still keeping your eyes clsoed?"
5030207,503,15,"THE SUPER BEST FRIENDS","STAN","Yeah."
5030208,503,15,"THE SUPER BEST FRIENDS","JESUS","Good. Want some peanuts?"
5030209,503,16,"THE SUPER BEST FRIENDS","description","The David Blaine Complex, night. Blainetologists gather in the main room, and a new member is having his hair shaved off"
5030210,503,16,"THE SUPER BEST FRIENDS","KYLE","Congratulations, sister. You have heard the noble truth and are now a Blainetologist."
5030211,503,16,"THE SUPER BEST FRIENDS","STEVEN","Everyone! Everyone, gather 'round! I have great news for all Blainetologists, and for our new members as well. We've just gotten word from Mr. Blaine himself: The government has denied our church's request for tax-exempt status!"
5030212,503,16,"THE SUPER BEST FRIENDS","MEMBER","But... we want tax-exempt status."
5030213,503,16,"THE SUPER BEST FRIENDS","KYLE","Yeah. Why is that good news?"
5030214,503,16,"THE SUPER BEST FRIENDS","STEVEN","Be-cause! Mr. Blaine has arranged for all Blainetologists members from every city and state to march into Washington and demand our right for tax-exepmt status by committing a mass suicide!"
5030215,503,16,"THE SUPER BEST FRIENDS","KYLE","Mass suicide?"
