"id","ep_num","segment","title","role","text"
4010001,401,1,"THE TOOTH FAIRY S TATS","description","The Cartman house. Liane is sipping her coffee on the sofa. She lowers it as Cartman screams"
4010002,401,1,"THE TOOTH FAIRY S TATS","CARTMAN","Mom! MOOOM! Mom!  Seriously! Something wonderful has happened!"
4010003,401,1,"THE TOOTH FAIRY S TATS","LIANE","What is it, snookums?"
4010004,401,1,"THE TOOTH FAIRY S TATS","CARTMAN","Mom, look! The tooth fairy! I put a tooth under my pillow, and she gave me two dollars!  She's only given me a lousy quarter before!"
4010005,401,1,"THE TOOTH FAIRY S TATS","LIANE","Oh my! She must think that you are a very special little muffin."
4010006,401,1,"THE TOOTH FAIRY S TATS","CARTMAN","Yeah! This is so tits!"
4010007,401,1,"THE TOOTH FAIRY S TATS","LIANE","Don't say ""tits,"" Eric."
4010008,401,1,"THE TOOTH FAIRY S TATS","CARTMAN","Oh, I mean, this is so cool!"
4010009,401,1,"THE TOOTH FAIRY S TATS","LIANE","Well, then, now you should take that money and open up a savings account that has compounded daily interest."
4010010,401,1,"THE TOOTH FAIRY S TATS","CARTMAN","Heh, you can compound daily my ass with interest, Mom; I'm goin' to the toy store and buy me a skateboard!"
4010011,401,1,"THE TOOTH FAIRY S TATS","LIANE","But Eric, I think maybe the tooth fairy wants you to use that money to learn about saving."
4010012,401,1,"THE TOOTH FAIRY S TATS","CARTMAN","Mom, you don't know what the tooth fairy wants me to do with this money, okay? You're not the tooth fairy! I'll see you later!  Aw, man, this is so tits!"
4010013,401,2,"THE TOOTH FAIRY S TATS","description","The bus stop. Stan, Kyle and Kenny stand around"
4010014,401,2,"THE TOOTH FAIRY S TATS","CARTMAN","Hey you guys! You're not gonna believe this!  Oh my God, you guys, seriously! Just wait until you hear this, you guys! I'm rich! I'm totally rich!  Aren't you stoked?!"
4010015,401,2,"THE TOOTH FAIRY S TATS","STAN","What the hell's wrong with Cartman?!"
4010016,401,2,"THE TOOTH FAIRY S TATS","KYLE","He's fat and he's stupid?"
