"id","ep_num","segment","title","role","text"
4160001,416,1,"THE WACKY MOLESTATION ADVENTURE","description","South Park, day, Kyle's house. Kyle is playing football with Ike on the front lawn. The football rests in front of Ike"
4160002,416,1,"THE WACKY MOLESTATION ADVENTURE","KYLE","Come on. Throw the football, Ike."
4160003,416,1,"THE WACKY MOLESTATION ADVENTURE","IKE","No on dahdo."
4160004,416,1,"THE WACKY MOLESTATION ADVENTURE","STAN","Dude!  You're not gonna believe what Cartman has!"
4160005,416,1,"THE WACKY MOLESTATION ADVENTURE","KYLE","Hepatitis B?"
4160006,416,1,"THE WACKY MOLESTATION ADVENTURE","CARTMAN","No, dickhole. Four tickets, 28th row, for the Raging Pussies!"
4160007,416,1,"THE WACKY MOLESTATION ADVENTURE","KYLE","...You got Raging Pussies tickets??"
4160008,416,1,"THE WACKY MOLESTATION ADVENTURE","STAN","We're going tomorrow night! Cartman's got the bus schedule all figured out!"
4160009,416,1,"THE WACKY MOLESTATION ADVENTURE","KYLE","Hold on. I'll be right back."
4160010,416,2,"THE WACKY MOLESTATION ADVENTURE","description","Kyle's house, living room. On the sofa Gerald reads a newspaper, Sheila reads a book. Kyle rushes up to them"
4160011,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE","Mom, Dad, can I go with the guys to see the Raging Pussies?"
4160012,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE'S MOTHER","No, Kyle."
4160013,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE","But all the guys are going!"
4160014,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE'S MOTHER","Kyle, you're not old enough, and those concerts are dangerous and vile."
4160015,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE","But Mom, I-"
4160016,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE'S FATHER","The answer is no, Kyle!"
4160017,416,2,"THE WACKY MOLESTATION ADVENTURE","KYLE","Ugh!"
4160018,416,3,"THE WACKY MOLESTATION ADVENTURE","description","Kyle's house, front lawn. Kyle rejoins the boys"
