"id","ep_num","segment","title","role","text"
2060001,206,1,"THE MEXICAN STARING FROG","with South Park's favorite hunters, ","Jimbo and Ned."
2060002,206,1,"THE MEXICAN STARING FROG","JIMBO","Hi, I'm Jimbo Kern, and this here is Ned. Say 'Hi', Ned."
2060003,206,1,"THE MEXICAN STARING FROG","NED","M-hi, Ned."
2060004,206,1,"THE MEXICAN STARING FROG","JIMBO","Now, idn't that great?  We have a terrific show for you today: we're gonna kill some elk, and we're gonna kill some mountain goats. Now, the new law passed by Colorado legislature, which Ned and I call 'Pussy Law #4', states that we can no longer kill animals in defense."
2060005,206,1,"THE MEXICAN STARING FROG","""PUSSY LAW #4""",""
2060006,206,1,"THE MEXICAN STARING FROG","NO ANIMAL SHALL BE HARMED,",""
2060007,206,1,"THE MEXICAN STARING FROG","EVEN IN SELF DEFENSE, UNLESS",""
2060008,206,1,"THE MEXICAN STARING FROG","SPECIFIC LICENSE AND SEASON IS",""
2060009,206,1,"THE MEXICAN STARING FROG","IN ORDER. SELF DEFENSE CAN ONLY",""
2060010,206,1,"THE MEXICAN STARING FROG","BE JUSTIFIED BY EXTREME, PROVABLE",""
2060011,206,1,"THE MEXICAN STARING FROG","PERIL AND OR DOCUMENTED VISIBLE",""
2060012,206,1,"THE MEXICAN STARING FROG","BODILY HARM.",""
2060013,206,1,"THE MEXICAN STARING FROG","In other words, our old line of 'It's comin' right for us'-",""
2060014,206,1,"THE MEXICAN STARING FROG","NED","It's comin' right for us."
2060015,206,1,"THE MEXICAN STARING FROG","JIMBO","-no longer works. So now, we only kill naimals to, quote, thin out their numbers. If we don't hunt, then these animals will grow too big in number and they won't have enough food. So you see, we have to kill animals, or else they'll DIE.  Uuh. So, roll the tape.  Here we are at Shafer's Crossing lookin' for some animals."
2060016,206,1,"THE MEXICAN STARING FROG","JIMBO","Looky, Ned, there are some deer!  Quick, Ned. Thin out their numbers!"
2060017,206,1,"THE MEXICAN STARING FROG","NED","Thin out their numbers!"
2060018,206,1,"THE MEXICAN STARING FROG","JIMBO","Good work, Ned. Now, they won't starve."
