"id","ep_num","segment","title","role","text"
4030001,403,1,"TIMMY","description","South Park Elementary, day. Mr. Garrison's classroom. The student stream in and take their seats"
4030002,403,1,"TIMMY","STAN","Dude, did you do all your homework last night?"
4030003,403,1,"TIMMY","KYLE","Yeah. But there was so much of it. I was up until two in the morning."
4030004,403,1,"TIMMY","STAN","I know!"
4030005,403,1,"TIMMY","MR. GARRISON","Okay, children, I hope you all did your homework last night, because we're goin' to talk about pages 42 through 612. First of all, who can tell me what year the Founding Fathers got together? Let's see, how about..."
4030006,403,1,"TIMMY","CARTMAN","Please don't call on me. Please, Jesus, don't let him call on me."
4030007,403,1,"TIMMY","MR. GARRISON","Wendy?"
4030008,403,1,"TIMMY","CARTMAN","Phew!"
4030009,403,1,"TIMMY","WENDY","1776."
4030010,403,1,"TIMMY","MR. GARRISON","Good job, Wendy. And what was that document called?"
4030011,403,1,"TIMMY","CARTMAN","Oh, please, God, don't let him call on me. Father in heaven, I beg of you-"
4030012,403,1,"TIMMY","MR. GARRISON","Kyle?"
4030013,403,1,"TIMMY","CARTMAN","Oh, thank you Low-ord! Praise Jesus!"
4030014,403,1,"TIMMY","KYLE","The Declaration of Independence?"
4030015,403,1,"TIMMY","MR. GARRISON","Very good, Kyle. Now, who can tell me what famous person wrote the Declaration of Independence?  Let's see. Oh, I know. How about the new student, Timmy?"
4030016,403,1,"TIMMY","TIMMY","Timmiihh!"
4030017,403,1,"TIMMY","MR. GARRISON","Nno, it wasn't you, Timmy. Try again."
4030018,403,1,"TIMMY","TIMMY","Heh-aaaaaah!"
4030019,403,1,"TIMMY","MR. GARRISON","Timmy, did you not do your homework?!"
4030020,403,1,"TIMMY","TIMMY","Erh Timmiihh!!"
4030021,403,1,"TIMMY","STAN","Uh, Mr. Garrison, haven't you figured it out? Timmys' retarded."
4030022,403,1,"TIMMY","MR. GARRISON","Don't call people names, Stanley!"
4030023,403,1,"TIMMY","STAN","But he is-"
4030024,403,1,"TIMMY","MR. GARRISON","Now, Timmy,"
4030025,403,1,"TIMMY","TIMMY","Haaaaah."
4030026,403,1,"TIMMY","MR. GARRISON","You need to work on your study skills!"
4030027,403,1,"TIMMY","TIMMY","Doo-uhh."
4030028,403,1,"TIMMY","MR. GARRISON","Are you mocking me?! Because if you are, I have no problem sending your butt to the principal's office!"
4030029,403,1,"TIMMY","TIMMY","G'oh livin' a lie, livin' a lie, Timmawh!"
4030030,403,1,"TIMMY","MR. GARRISON","THAT DOES IT!"
4030031,403,2,"TIMMY","description","The principal's office. Principal Victoria and Mr. Mackey talk to Timmy"
4030032,403,2,"TIMMY","PRINCIPAL VICTORIA","Well, Timmy. I just don't know what to do with you. You're getting very poor marks in school and the teachers are complaining that you aren't paying attention."
4030033,403,2,"TIMMY","TIMMY","Heh-aaaaaah!"
4030034,403,2,"TIMMY","COUNSELOR MACKEY","Uh young man, if you don't wanna be held back a grade, I suggest you start cooperating, m'kay?!"
4030035,403,2,"TIMMY","TIMMY","Timmiihh!"
4030036,403,2,"TIMMY","PRINCIPAL VICTORIA","Well, that does it! I'm suspending you, Timmy, until you can learn to respect your elders!"
4030037,403,2,"TIMMY","TIMMY","Ehhha-a-a-ah."
4030038,403,2,"TIMMY","COUNSELOR MACKEY","Huh- hold on just a second there, Principal Victoria.  I think I may know what the problem is."
4030039,403,2,"TIMMY","TIMMY","Timmiihh."
4030040,403,2,"TIMMY","COUNSELOR MACKEY","Yes, of course."
4030041,403,2,"TIMMY","PRINCIPAL VICTORIA","What??"
4030042,403,2,"TIMMY","COUNSELOR MACKEY","I think maybe Timmy is suffering from something called, ""Attention Deficit Disorder,"" or ADD. It's very common in kids his age."
4030043,403,2,"TIMMY","PRINCIPAL VICTORIA","Oh!"
4030044,403,2,"TIMMY","TIMMY","Timmiihh!"
4030045,403,2,"TIMMY","PRINCIPAL VICTORIA","Well, that certainly would explain it."
4030046,403,2,"TIMMY","COUNSELOR MACKEY","It should be easy enough to find out. They have tests for that kind of thing now, m'kay?"
4030047,403,2,"TIMMY","TIMMY","Oolih oo livn' a lie, Timmehuh!"
