"id","ep_num","segment","title","role","text"
7030001,703,1,"TOILET PAPER","description","South Park Elementary, day. A new classroom. As the camera follows a new teacher around, the following kids are seen working with clay. Clyde presses the pottery wheel pedal as Bebe molds a vase on the wheel. Wendy watches. Tweek, Red, and Pip work on clay on the table near the wall. In the foreground, Token presses the pottery wheel pedal as Jordan molds a vase. Butters, Kevin, and another kid work on their own projects. Kenny, Stan, Kyle and Cartman are laughing at their project, which didn't require the use of the pottery wheel."
7030002,703,1,"TOILET PAPER","TEACHER","Okay. Good, children, good. Remember to feel the clay. Be one with the clay. Nice. Uh huh."
7030003,703,1,"TOILET PAPER","CARTMAN","Put more clay on the balls."
7030004,703,1,"TOILET PAPER","TEACHER","Boys!  What is that?"
7030005,703,1,"TOILET PAPER","KYLE","A reindeer?"
7030006,703,1,"TOILET PAPER","TEACHER","You know, I've had it! You four boys never take art class seriously!"
7030007,703,1,"TOILET PAPER","CARTMAN","What a crime."
7030008,703,1,"TOILET PAPER","TEACHER","You think art is not important?"
7030009,703,1,"TOILET PAPER","STAN","Weelll, art is just kinda... for gaywads."
7030010,703,1,"TOILET PAPER","BUTTERS","I love our class!"
7030011,703,1,"TOILET PAPER","STAN","See?"
7030012,703,1,"TOILET PAPER","TEACHER","Do you think this is funny?!  Do you think this is funny, huh?!  Well, you four can just spend your afternoon after school here making new pottery!"
7030013,703,1,"TOILET PAPER","CARTMAN","You can't do that!"
7030014,703,1,"TOILET PAPER","TEACHER","I certainly can! I'm your teacher!"
7030015,703,1,"TOILET PAPER","CARTMAN","You're an art teacher!"
7030016,703,1,"TOILET PAPER","TEACHER","Make it two hours!"
7030017,703,2,"TOILET PAPER","description","Cut to after school. The art teacher sits at her desk watching the boys work on a proper vase on the pottery wheel. Kyle is pressing the pedal. The boys are angry at their teacher"
7030018,703,2,"TOILET PAPER","STAN","Mrs. Dreible thinks she's so cool!"
7030019,703,2,"TOILET PAPER","KYLE","How dare she talk to us like that?!"
7030020,703,2,"TOILET PAPER","KENNY","(Yeah, how the fuck is that?!)"
7030021,703,2,"TOILET PAPER","CARTMAN","We can't let her get away with this! I think tonight we need to do something drastic."
7030022,703,2,"TOILET PAPER","STAN","Like what?"
7030023,703,2,"TOILET PAPER","CARTMAN","Like find out where Mrs. Dreible lives, and go over there, and... TP her house."
7030024,703,2,"TOILET PAPER","KENNY","(Yeah!)"
7030025,703,2,"TOILET PAPER","KYLE","TP her house?"
7030026,703,2,"TOILET PAPER","CARTMAN","Toilet paper! Cover her house in toilet paper."
7030027,703,2,"TOILET PAPER","KYLE","Oh."
7030028,703,2,"TOILET PAPER","CARTMAN","What's the matter, Kyle? You chicken? Ugh!"
7030029,703,2,"TOILET PAPER","TEACHER","Quiet, boys. This isn't playtime, you're being punished!"
7030030,703,2,"TOILET PAPER","STAN","Fine! But we'll have the last laugh tonight, artwhore!"
7030031,703,2,"TOILET PAPER","CARTMAN","Yeah! Payback time, you ugly skank!"
7030032,703,3,"TOILET PAPER","description","Henry's Supermarket, day. A man watches his son ride in a coin-operated ride outside the store. Inside, the four boys approach checkout line 3 with two carts stacked high with packages of Kush Tush toilet paper."
7030033,703,3,"TOILET PAPER","STAN","D'you think that's enough?"
7030034,703,3,"TOILET PAPER","CARTMAN","Should be fine."
7030035,703,3,"TOILET PAPER","KYLE","Don't you guys think this is a little suspicious? We should buy something else so it doesn't look obvious."
7030036,703,3,"TOILET PAPER","CARTMAN","Okay.  Here we go, pack of chewing gum."
7030037,703,3,"TOILET PAPER","CASHIER","Hello boys. Find everything you need?"
7030038,703,3,"TOILET PAPER","CARTMAN","Yep. All set."
7030039,703,3,"TOILET PAPER","CASHIER","Mokay, let's see here. Toilet paper Toilet paper  Toilet paper  Toilet paper  Toilet paper  So, what are you kids up to tonight?"
7030040,703,3,"TOILET PAPER","CARTMAN","Oh, we're just gonna watch some TV, maybe play a board game."
7030041,703,3,"TOILET PAPER","CASHIER","Nice relaxing night at home, huh? Toilet paper  Toilet paper  Aaand toilet paper Eh, hey.  Now you kids be careful with this chewing gum.Don't go sticking it under tables."
7030042,703,3,"TOILET PAPER","STAN","Okay."
7030043,703,3,"TOILET PAPER","CASHIER","Okay. Toilet paper  Toilet paper  Tooilet paper  You know, son, I rmember you comin' in last week and buying this much toilet paper."
7030044,703,3,"TOILET PAPER","CARTMAN","Heh yeah, that that's right."
7030045,703,3,"TOILET PAPER","CASHIER","... Toilet paper  Toilet paper"
7030046,703,3,"TOILET PAPER","KYLE","You TP'ed a house last week, Cartman?"
7030047,703,3,"TOILET PAPER","CARTMAN","No. Last Thursday night was fajitas night."
7030048,703,3,"TOILET PAPER","KYLE","Oh.  Uuugh."
7030049,703,4,"TOILET PAPER","description","Mrs. Dreible's house, later, that night. The boys walk up to the house carrying black trash bags of toilet paper"
7030050,703,4,"TOILET PAPER","STAN","Is this the right house?"
7030051,703,4,"TOILET PAPER","CARTMAN","It's the right address-wait! Look there! There's Mrs. Dreible! This is the place."
7030052,703,4,"TOILET PAPER","KYLE","Oh wait, wait, there's kids inside."
7030053,703,4,"TOILET PAPER","CARTMAN","So?"
7030054,703,4,"TOILET PAPER","KYLE","So we're not TP'ing a house with kids inside it!"
7030055,703,4,"TOILET PAPER","STAN","Kyle, we all agreed to do this!"
7030056,703,4,"TOILET PAPER","KYLE","We didn't say nothin' about no kids, man!"
7030057,703,4,"TOILET PAPER","CARTMAN","Kyle, you're bein' an asshole! Now let's do this thing and get out of m'yeah. Here's what I think of your art class, you God-damned bitch!"
7030058,703,4,"TOILET PAPER","KENNY","(Yeah! Fuck you!)"
7030059,703,5,"TOILET PAPER","description","Majestic music plays as Kenny unleashes his roll. Stan unleashes a roll. Cartman tosses off another one and grins. More rolls of paper fly onto the roof. Kyle tosses up a roll, unsure of doing so. Stan unleashes another one, and his glee is unabashed. Kenny tosses off another one. More and more rolls fly over the roof. Kyle freezes in awe of their vandalism. Toilet paper covers the house, the garage, and the trees around the house. The boys head for the sidewalk"
7030060,703,5,"TOILET PAPER","CARTMAN","Come on, let's go!"
7030061,703,5,"TOILET PAPER","KYLE","What have we done?"
7030062,703,5,"TOILET PAPER","STAN","Let's go, Kyle!"
