"id","ep_num","segment","title","role","text"
1110001,111,1,"Tom s Rhinoplasty","day...",""
1110002,111,1,"Tom s Rhinoplasty","STAN","I know."
1110003,111,1,"Tom s Rhinoplasty","WENDY","Maybe we should go on a cruise or something."
1110004,111,1,"Tom s Rhinoplasty","STAN","I can't afford a cruise, dude!"
1110005,111,1,"Tom s Rhinoplasty","WENDY","(Sweet) I know, but we could make a little boat out of cardboard, and pretend it's a cruise!"
1110006,111,1,"Tom s Rhinoplasty","Cartman hears this and just starts laughing his ass off.",""
1110007,111,1,"Tom s Rhinoplasty","STAN","Shut up Cartman!"
1110008,111,1,"Tom s Rhinoplasty","CARTMAN","HOO, HOO! OHH THAT IS SO LAME HA HA HOO HOO!"
1110009,111,1,"Tom s Rhinoplasty","WENDY","And then we could dress up in little costumes and pretend like we're getting married."
1110010,111,1,"Tom s Rhinoplasty","Cartman hears this and just starts laughing his ass off again.",""
1110011,111,1,"Tom s Rhinoplasty","CARTMAN","Stop, seriously. You're killing me over here."
1110012,111,1,"Tom s Rhinoplasty","Principal Victoria steps in front of the class.",""
1110013,111,1,"Tom s Rhinoplasty","PRINCIPAL VICTORIA","Children, I have some difficult news for you... Mr. Garrison won't be teaching for a while. He has to have surgery."
1110014,111,1,"Tom s Rhinoplasty","The kids all cheer.",""
1110015,111,1,"Tom s Rhinoplasty","PRINCIPAL VICTORIA","So you're going to have a substitute teacher. And I want you to show the substitute the SAME respect you show for Mr. Garrison... Yes, little boy?"
1110016,111,1,"Tom s Rhinoplasty","KYLE","(Flatly) We don't have respect for Mr. Garrison."
1110017,111,1,"Tom s Rhinoplasty","PRINCIPAL VICTORIA","Oh."
1110018,111,1,"Tom s Rhinoplasty","The kids just sit there.",""
1110019,111,1,"Tom s Rhinoplasty","PRINCIPAL VICTORIA","Anyhoo, I want you all to meet your new substitute... Ms. Ellen."
1110020,111,1,"Tom s Rhinoplasty","MS. ELLEN walks in, she is beautiful and classy.",""
1110021,111,1,"Tom s Rhinoplasty","MS. ELLEN","Hello, children."
1110022,111,1,"Tom s Rhinoplasty","STAN AND KYLE","Woa..."
1110023,111,1,"Tom s Rhinoplasty","CARTMAN","Wow, she's PRETTY!!"
1110024,111,1,"Tom s Rhinoplasty","KENNY","Mph rmph rm rmph!!"
1110025,111,1,"Tom s Rhinoplasty","STAN","You can say that again!"
1110026,111,1,"Tom s Rhinoplasty","KENNY","Mph rmph rm rmph!!"
1110027,111,1,"Tom s Rhinoplasty","PRINCIPAL VICTORIA","Good Luck, Ms. Ellen. If they get out of control just use this tear gas, okay?"
1110028,111,1,"Tom s Rhinoplasty","Principal Victoria drops a can of tear gas on the desk and ","walks out."
1110029,111,1,"Tom s Rhinoplasty","MS. ELLEN","Thank you, I'm sure I'll be fine."
1110030,111,1,"Tom s Rhinoplasty","The boys stare, enthralled with the beautiful teacher.",""
1110031,111,1,"Tom s Rhinoplasty","MS. ELLEN","Now, children, I know that you must be very upset about your teacher having surgery... But I promise I'll try to make things as easy as possible for all of us."
1110032,111,1,"Tom s Rhinoplasty","Stan, Cartman, Kyle and Kenny all have little hearts above ","their heads and big smiles on their faces."
1110033,111,1,"Tom s Rhinoplasty","Wendy notices Stan's expression, and starts to get worried.",""
1110034,111,1,"Tom s Rhinoplasty","WENDY","Stan? Stan?"
1110035,111,1,"Tom s Rhinoplasty","Stan is just focused on the teacher.",""
1110036,111,1,"Tom s Rhinoplasty","MS. ELLEN","Now, let me try and learn your names by your seating assignments. (Reading off of paper) You are... Eric Cartman?"
1110037,111,1,"Tom s Rhinoplasty","CARTMAN","Yes ma'am!"
1110038,111,1,"Tom s Rhinoplasty","MS. ELLEN","Okay... And (Turning to Stan) YOU must be Stan Marsh!"
1110039,111,1,"Tom s Rhinoplasty","Stan vomits all over his desk.",""
1110040,111,1,"Tom s Rhinoplasty","Wendy's eyes grow huge, she can't believe it.",""
1110041,111,1,"Tom s Rhinoplasty","MS. ELLEN","Do you need to go to the nurse's office, Stanly?"
1110042,111,1,"Tom s Rhinoplasty","CARTMAN","No, he always pukes when he's in love."
1110043,111,1,"Tom s Rhinoplasty","STAN","I'll kick your ass, Cartman!!"
1110044,111,1,"Tom s Rhinoplasty","MS. ELLEN","So you're alright?"
1110045,111,1,"Tom s Rhinoplasty","Stan pukes.",""
1110046,111,1,"Tom s Rhinoplasty","KYLE","(Pointing) Dude, you had waffles for breakfast, huh!!"
1110047,111,1,"Tom s Rhinoplasty","Wendy looks really sad.",""
1110048,111,1,"Tom s Rhinoplasty","INT. TOM'S RHINOPLASTY - DAY",""
1110049,111,1,"Tom s Rhinoplasty","Tom the Rhinoplast and Mr. Garrison sit in front of a large ","computer screen."
1110050,111,1,"Tom s Rhinoplasty","MR. GARRISON","I have to admit I'm still embarrassed about getting a nose job, Tom. I didn't want people at school to know, so I told them I had herpes."
1110051,111,1,"Tom s Rhinoplasty","TOM","You shouldn't be embarrassed, Mr. Garrison. People have cosmetic surgery all the time."
1110052,111,1,"Tom s Rhinoplasty","Tom turns on the computer.",""
1110053,111,1,"Tom s Rhinoplasty","TOM","Before we start the surgery, this computer can help you pick what kind of nose you want."
1110054,111,1,"Tom s Rhinoplasty","MR. GARRISON","Wow, isn't that amazing, Mr. Hat?"
1110055,111,1,"Tom s Rhinoplasty","MR. HAT","It sure is, Mr. Garrison."
1110056,111,1,"Tom s Rhinoplasty","Tom hits a few keys on the keyboard. An image of Mr. Garrison ","comes up on the screen."
1110057,111,1,"Tom s Rhinoplasty","TOM","Now, we could go with something a little smaller, which would make you look like... This."
1110058,111,1,"Tom s Rhinoplasty","The computer image morphs, the little line of Garrison's ","nose gets a little smaller."
1110059,111,1,"Tom s Rhinoplasty","MR. GARRISON","Hmm..."
1110060,111,1,"Tom s Rhinoplasty","TOM","Or, we could straighten out the bridge, which would make you look like this..."
1110061,111,1,"Tom s Rhinoplasty","Again the image changes slightly.",""
1110062,111,1,"Tom s Rhinoplasty","MR. GARRISON","Oh, that's not bad..."
1110063,111,1,"Tom s Rhinoplasty","TOM","Of course we could narrow the bridge, which would make you look more like -- This..."
1110064,111,1,"Tom s Rhinoplasty","The image of Mr. Garrison morphs into a full color head shot ","of David Hasslehoff."
1110065,111,1,"Tom s Rhinoplasty","MR. GARRISON","WOW!!! THAT'S IT!! THAT'S THE NOSE I WANT!!"
1110066,111,1,"Tom s Rhinoplasty","TOM","Alrighty then."
1110067,111,1,"Tom s Rhinoplasty","Tom turns off the computer and takes a few notes.",""
1110068,111,1,"Tom s Rhinoplasty","TOM","Now I must warn you, Mr. Garrison, that there ARE risks..."
1110069,111,1,"Tom s Rhinoplasty","Ominous MUSIC swells up.",""
1110070,111,1,"Tom s Rhinoplasty","TOM","You could wind up a hideous, foul, shadow of a creature, so terrifyingly ugly that you are forced to live in the sewers, only emerging at night to hunt for scraps of food."
1110071,111,1,"Tom s Rhinoplasty","Garrison thinks.",""
1110072,111,1,"Tom s Rhinoplasty","MR. GARRISON","I can live with that."
1110073,111,1,"Tom s Rhinoplasty","TOM","Alrighty then, let's get started!"
1110074,111,1,"Tom s Rhinoplasty","EXT. PLAYGROUND - DAY",""
1110075,111,1,"Tom s Rhinoplasty","The boys are all gathered on the playground.",""
1110076,111,1,"Tom s Rhinoplasty","CARTMAN","She wasn't looking at you, buttLord! She was looking at ME."
1110077,111,1,"Tom s Rhinoplasty","KYLE","Well that goes without saying, Fat ass -- How could she HELP but look at you!!"
1110078,111,1,"Tom s Rhinoplasty","STAN","You guys can stop fighting, it was ME she was checking out."
1110079,111,1,"Tom s Rhinoplasty","CARTMAN","Until you puked on her."
1110080,111,1,"Tom s Rhinoplasty","Chef walks up.",""
1110081,111,1,"Tom s Rhinoplasty","CHEF","Hello there, children. What's all this I'm hearing about a new teacher?"
1110082,111,1,"Tom s Rhinoplasty","KYLE","Ms. Ellen, dude! She's BEAUTIFUL!"
1110083,111,1,"Tom s Rhinoplasty","Wendy is sitting on the swingset next to her friend Bebe. ","Bebe looks at Wendy who is hearing all of this and looking pitiful."
1110084,111,1,"Tom s Rhinoplasty","CHEF","Is she like, Vanessa Williams beautiful or Toni Braxton Beautiful?"
1110085,111,1,"Tom s Rhinoplasty","The boys think.",""
1110086,111,1,"Tom s Rhinoplasty","CHEF","Or Pamela Anderson beautiful?"
1110087,111,1,"Tom s Rhinoplasty","The boys don't know.",""
1110088,111,1,"Tom s Rhinoplasty","CHEF","Or is she Erin Grey in the second season of Buck Rodgers beautiful?"
1110089,111,1,"Tom s Rhinoplasty","STAN","Yeah, that one!"
1110090,111,1,"Tom s Rhinoplasty","CHEF","WWOOH!!! I gotta meet this woman!!"
