"id","ep_num","segment","title","role","text"
5080001,508,1,"TOWELIE","description","Stan's house, day. Stan, Kyle, and Kenny are in the living room playing video games."
5080002,508,1,"TOWELIE","KYLE","HA! I killed you!"
5080003,508,1,"TOWELIE","STAN","HA, I blew your head off!"
5080004,508,1,"TOWELIE","KENNY","(Aw, Goddamnit!)"
5080005,508,1,"TOWELIE","STAN","Jesus, is Cartman still in the bathroom?"
5080006,508,1,"TOWELIE","KYLE","Hey Cartman! We're almost to level 20! You giving birth in there, or what?"
5080007,508,1,"TOWELIE","CARTMAN","Let a man take a crap!"
5080008,508,1,"TOWELIE","STAN","Dude, he's in there punishing my toilet."
5080009,508,1,"TOWELIE","KYLE","Hyeah, that poor, poor thing"
5080010,508,1,"TOWELIE","STAN","Come on, Cartman! You're missing the game!"
5080011,508,1,"TOWELIE","CARTMAN","I'm almost done, you smartasses! I'm just wipin' mah- whoa, what the hell is that?  You guys, look what I found in the trashcan in Stan's bathroom. It's like a bloody cotton thing wrapped in toilet paper."
5080012,508,1,"TOWELIE","KYLE","Well, why did you pull it out of the trash?"
5080013,508,1,"TOWELIE","CARTMAN","Because I thought it was a jelly doughnut, but look, check it out, it's all bloody."
5080014,508,1,"TOWELIE","SHARON","Are you guys still playing that video game?"
5080015,508,1,"TOWELIE","STAN","Yeah. Hay Mom, Cartman found a bloody cotton thing in the bathroom."
5080016,508,1,"TOWELIE","CARTMAN","Look.  But I don't think it's for usin', I think it's just for lookin' through."
5080017,508,1,"TOWELIE","SHARON","Eric, put that down!"
5080018,508,1,"TOWELIE","CARTMAN","Why?"
5080019,508,1,"TOWELIE","SHARON","Just go put it back in the trashcan!"
5080020,508,1,"TOWELIE","CARTMAN","Hey, it's like all bloody. It might be alive."
5080021,508,1,"TOWELIE","SHARON","No that... that came from me; just put it away."
5080022,508,1,"TOWELIE","CARTMAN","This came out of you?? You just left it in the trashcan?!  You shouldn'ta done that. He's just a boih. Poor little feller."
5080023,508,1,"TOWELIE","STAN","What is it, Mom?"
5080024,508,1,"TOWELIE","KYLE","Yeah, what it is, Mrs. Marsh?"
5080025,508,1,"TOWELIE","SHARON","Boys, that a... feminine thing. Alright, it's a personal, woman thing.  I tell you what: If you'll just drop the whole thing right now, I'll buy you that new video game console you've been wanting."
5080026,508,1,"TOWELIE","STAN","The 2001 Okama GameSphere?"
5080027,508,1,"TOWELIE","SHARON","Sure."
5080028,508,1,"TOWELIE","KYLE","Cool!"
5080029,508,1,"TOWELIE","CARTMAN","Wow, this is like finding trashcan gold, you guiys!"
5080030,508,2,"TOWELIE","description","Luau's Toys, day, later. A banner reading ""WE HAVE GAMESPHERE"" hangs over the window, and the console itself is in the window display."
5080031,508,2,"TOWELIE","STAN","There it is. The Okama GameSphere."
5080032,508,2,"TOWELIE","KYLE","Dude, it's got a hundred twenty eight gigahertz DRAM"
5080033,508,2,"TOWELIE","STAN","What's that?"
5080034,508,2,"TOWELIE","KYLE","I don't know, but it kicks ass.  Wow, dude, you're the luckiest kid in South Park."
5080035,508,2,"TOWELIE","CARTMAN","Hey, this is all of ours. I'm the one who found Stan's aborted brother in the trashcan and blackmailed his mom into getting the GameSphere."
5080036,508,2,"TOWELIE","STAN","Alright, alright, but you guys gotta see if you can sleep over for the rest of the weekend.  It's Saturday at 2:30 - that means we have... 39 hours to play GameSphere until school on Monday!"
5080037,508,2,"TOWELIE","KENNY","(Woohoo!)"
5080038,508,2,"TOWELIE","KYLE","Awesome!  Oh, crap."
5080039,508,2,"TOWELIE","STAN","What?"
5080040,508,2,"TOWELIE","KYLE","I'm supposed to go to the lake with my family tomorrow and swim and play in the stupid sun."
5080041,508,2,"TOWELIE","STAN","Dude, we got GameSphere."
5080042,508,2,"TOWELIE","KYLE","I know, I know. Well, look: I'll stay over anyway so I can play for... eighteen hours, and then I'll go to the lake."
5080043,508,2,"TOWELIE","TOWELIE","Don't forget to bring a towel."
5080044,508,2,"TOWELIE","STAN","What?"
