"id","ep_num","segment","title","role","text"
4120001,412,1,"TRAPPER KEEPER","description","South Park, the bus stup, day. Stan and Kenny wait at the bus stop. Kyle and Ike walk up. Ike is dressed in a little business suit and his hair is combed"
4120002,412,1,"TRAPPER KEEPER","STAN","Dude! What's your little brother doing here?"
4120003,412,1,"TRAPPER KEEPER","KYLE","Ike is starting his first day of kindergarten"
4120004,412,1,"TRAPPER KEEPER","STAN","But isn't he only three years old?"
4120005,412,1,"TRAPPER KEEPER","KYLE","Yeah, but he's some kind of genius, so he's getting advanced placement in kindergarten."
4120006,412,1,"TRAPPER KEEPER","IKE","Ah poobed my pants."
4120007,412,1,"TRAPPER KEEPER","KYLE","But dude, check out my new Trapper Keeper!  It has five different compartments for each subject in school.  And it's all covered with pictures from Dawson's Creek."
4120008,412,1,"TRAPPER KEEPER","STAN","Cool!"
4120009,412,1,"TRAPPER KEEPER","CARTMAN","Hey, dudes, check out my sweet Dawson's Creek Trapper Keeper Ultrakeeper Futura 2000!  Yeah, well , it's got ten different compartments for every subject in school, an electronic pencil sharpener, four plastic bags with electronic zippers, copy machine, fax, a better picture of Dawson's Creek on the back than Kyle's, flat-screen TV, and of course, On-Star."
4120010,412,1,"TRAPPER KEEPER","STAN","Wow, cool!"
4120011,412,1,"TRAPPER KEEPER","KYLE","God-damnit, you only got that because you knew my mom would buy it for me!"
4120012,412,1,"TRAPPER KEEPER","CARTMAN","Oh, but you have a Trapper Keepeh- Oh, you got the little Crapper Keeper, didn't you? Well, at least your stupid brother got a briefcase."
4120013,412,1,"TRAPPER KEEPER","KYLE","He's going to kindergarten because he's a genius!"
4120014,412,1,"TRAPPER KEEPER","CARTMAN","He's not a genius, he's a little douche bag."
4120015,412,1,"TRAPPER KEEPER","IKE","Ah pooped my pants!!!"
4120016,412,1,"TRAPPER KEEPER","KYLE","He's smarter than you, fatboy!! I don't even know how you made it into fourth grade! I thought-"
