"id","ep_num","segment","title","role","text"
3050001,305,1,"TWEEK VS CRAIG","description","South Park Elementary. The school bell rings. Most of the third-grade boys are in a shop room."
3050002,305,1,"TWEEK VS CRAIG","VOICE","This is shop class.  My name is Mr. Adler. For the next week, rather than your normal schoolwork, you'll be learning how to make things. Now, does anybody know WHY you're in shop class?  Yes?"
3050003,305,1,"TWEEK VS CRAIG","STAN","Because we had to choose between this and home ec, and we didn't wanna be sissies?"
3050004,305,1,"TWEEK VS CRAIG","MR. ADLER","Wrong! You are here because you are America's future!  You may someday be doctors, or lawyers, or scientists. Most of you, however, will be pumping gas, or cutting sheet metal, and that's why we have...  shop class."
3050005,305,1,"TWEEK VS CRAIG","CARTMAN","Ooooohh."
3050006,305,1,"TWEEK VS CRAIG","MR. ADLER","Now, let me make one thing crystal clear: I don't like kids that screw around! You screw around in shop class, you can lose a hand or an eye. I have a- I have... uh, I have a..."
3050007,305,1,"TWEEK VS CRAIG","KYLE","Mr. Adler?"
3050008,305,1,"TWEEK VS CRAIG","MR. ADLER","Huh? Oh, uh, I was just saying that I want to know who is the biggest troublemaker in your class?"
3050009,305,1,"TWEEK VS CRAIG","STAN","Tweek is!"
3050010,305,1,"TWEEK VS CRAIG","TWEEK","Arrh! No, I'm not!"
3050011,305,1,"TWEEK VS CRAIG","KYLE","Stan:	Yeah, you are! You always get in trouble"
3050012,305,1,"TWEEK VS CRAIG","TWEEK","Arrrrh!"
3050013,305,1,"TWEEK VS CRAIG","CARTMAN","Oh, hello, excuse me, but Craig is the biggest troublemaker in our class."
3050014,305,1,"TWEEK VS CRAIG","MR. ADLER","That true, Craig? You a troublemaker?"
3050015,305,1,"TWEEK VS CRAIG","CRAIG","No."
3050016,305,1,"TWEEK VS CRAIG","MR. ADLER","Well, you'd better not be, because in shop class we-  Hey! Did you just flip me off?!"
3050017,305,1,"TWEEK VS CRAIG","CRAIG","No."
3050018,305,1,"TWEEK VS CRAIG","MR. ADLER","Yes, you did!"
3050019,305,1,"TWEEK VS CRAIG","CARTMAN","Told ya!"
3050020,305,1,"TWEEK VS CRAIG","KYLE","Dude, shop class sucks. Maybe we should have taken home ec."
3050021,305,1,"TWEEK VS CRAIG","STAN","Now way, dude. Home ec is for girls."
3050022,305,2,"TWEEK VS CRAIG","description","The Home Economics room. All the girls are here"
3050023,305,2,"TWEEK VS CRAIG","VOICE","Welcome to home ec.  For the next week, you will be learning how to bake, sew, clean, and make things that are lacy and pretty."
3050024,305,2,"TWEEK VS CRAIG","KENNY","(Woohooo!)"
3050025,305,2,"TWEEK VS CRAIG","WENDY","I requested to be in shop class, but they sent me here."
3050026,305,2,"TWEEK VS CRAIG","WOMAN","That's right, Wendy. You see, some of you girls will go on to have interesting jobs and careers.  But all of you pretty ones... won't have to worry about that, because you can marry a nice man. And that's why we have... home ec."
3050027,305,2,"TWEEK VS CRAIG","KENNY","(Woohooo!)"
3050028,305,3,"TWEEK VS CRAIG","description","The Shop room. Stan, Kyle, and Cartman sit before a power miter box. Cartman is feeding it wood"
