"id","ep_num","segment","title","role","text"
3080001,308,1,"TWO GUYS NAKED IN A HOTTUB","description","The Marsh car, night, Randy's driving. He and Sheila take Stan along with them. It seems Shelley has already been dropped off at Cartman's house to babysit him."
3080002,308,1,"TWO GUYS NAKED IN A HOTTUB","STAN","I don't want to go to this stupid party!"
3080003,308,1,"TWO GUYS NAKED IN A HOTTUB","RANDY","Come on, Stan, you're gonna have a great time."
3080004,308,1,"TWO GUYS NAKED IN A HOTTUB","STAN","No, you guys are gonna have a great time! Whenever there's a party, the adults get to hang out and have fun while the kids spend the night locked in the basement eating stale pretzels."
3080005,308,1,"TWO GUYS NAKED IN A HOTTUB","RANDY","Well, your mom and I don't get out much, so you'll just have to bear through it."
3080006,308,2,"TWO GUYS NAKED IN A HOTTUB","description","The Mackey house. The Marshes arrive. Four other cars are there, one of them double-parked. The house is festooned with stars of various sizes, with two shooting stars among them. A banner reads, ""METEOR SHOWER PARTY"" while a sign on the door reads ""WELCOME SKYWATCHERS."" The Marshes reach the door and Randy rings the bell. Mr. Mackey answers."
3080007,308,2,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","Hello! Welcome, hmkay? This is already a wild party, hm."
3080008,308,2,"TWO GUYS NAKED IN A HOTTUB","RANDY","Yeah, well uh, sorry we had to bring the kid along. We had nowhere else to put him."
3080009,308,2,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","Oh, that's okay. I've got a special kids' room down in the basement."
3080010,308,2,"TWO GUYS NAKED IN A HOTTUB","STAN","Awww!"
3080011,308,2,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","Be sure to help yourselves to the crab soufflé, and uh, eh, Juanita?  Juanita? We need some more finger sandwiches?"
3080012,308,3,"TWO GUYS NAKED IN A HOTTUB","description","The basement. Mr. Mackey leads the family down the steps"
3080013,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","I don't wanna hang out in the kids' room. I won't know anybody"
3080014,308,3,"TWO GUYS NAKED IN A HOTTUB","RANDY","Well, it would be good for you to make new friends. You can't just hang out with your buddy Kyle all the time. People will think you guys are, you know, funny. Now I bet you'll have a great time."
3080015,308,3,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","Here you go, it's right in here."
3080016,308,3,"TWO GUYS NAKED IN A HOTTUB","RANDY","We'll be upstairs if you need anything, Stan."
3080017,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","Dad! You can't leave me here! These guys are total Melvins!"
3080018,308,3,"TWO GUYS NAKED IN A HOTTUB","SHARON","You have fun, Stanley."
3080019,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","No! Mom, please! They're the geekiest kids at our school!"
3080020,308,3,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","We'll come get you kids when the meteor shower starts."
3080021,308,3,"TWO GUYS NAKED IN A HOTTUB","PIP","Cheerio, Stahan. I do say it's quite a nice surprise seeing you here."
3080022,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","Shut up, Pip."
3080023,308,3,"TWO GUYS NAKED IN A HOTTUB","SWANSON","Hey, Stan. Why I-I-I sure am glad you're here, 'cause then we'll have even more fun than we, why, than we was havin' before. Why, we wuh, we were havin' an awfully good time before you showed up, too, however."
3080024,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","Butters, is there any way out of here?"
3080025,308,3,"TWO GUYS NAKED IN A HOTTUB","BUTTERS","Nope. No way out. Buh, but there ain't nothin' upstairs but an old, stupid party anyways. It's better down here in the kids' room.  Uh, this here is Dougie. He's not too old, but he sure is a hoot to hang with. Uhuh, he's in first grade, I think."
3080026,308,3,"TWO GUYS NAKED IN A HOTTUB","DOUGIE","I like math."
3080027,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","Oh my God."
3080028,308,3,"TWO GUYS NAKED IN A HOTTUB","PIP","We were just playing a game called Wickershams and Ducklers. Do you want to play?"
3080029,308,3,"TWO GUYS NAKED IN A HOTTUB","STAN","No."
3080030,308,3,"TWO GUYS NAKED IN A HOTTUB","PIP","I'm the head Wickerknicker. And you are all little Wickershams  We all sing the merry tune of Stratford until I yell, ""Turrah!"" and then you all fall down laughing, and I join you, as I find it funny too. Stan, would you be the Wickersham of Brumble Briar?  And all right, here we go. Whippy-tippy tootoo, tralala-la."
3080031,308,3,"TWO GUYS NAKED IN A HOTTUB","ALL THREE","Whippy-tippy tootoo, tralala-la. Whippy-tippy tootoo, tralala-la."
3080032,308,4,"TWO GUYS NAKED IN A HOTTUB","description","Upstairs. The party is well under way. Mr. Garrison walks up to Mr. Mackey"
3080033,308,4,"TWO GUYS NAKED IN A HOTTUB","GARRISON","Great party, Mr. Mackey. Mr. Hat just grabbed Principal Victoria's ass.  No! Mr. Hat, you get back here!"
3080034,308,4,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","Anyone for some meteor mai tai punch? It packs quite a whallop."
3080035,308,4,"TWO GUYS NAKED IN A HOTTUB","SHARON","Oh, I'll pass. I don't drink hard alcohol."
3080036,308,4,"TWO GUYS NAKED IN A HOTTUB","COUNSELOR MACKEY","Come on! Loosen up! Meteor showers only come once in a great while."
