"id","ep_num","segment","title","role","text"
8020001,802,1,"UP THE DOWN STEROIDS","description","Stan's backyard, day. The boys are playing the ""Investigative Reports with Bill Curtis"" game when Timmy and Jimmy arrive"
8020002,802,1,"UP THE DOWN STEROIDS","JIMMY","Hey fellas."
8020003,802,1,"UP THE DOWN STEROIDS","STAN","Oh hey Jimmy, hey Timmy."
8020004,802,1,"UP THE DOWN STEROIDS","TIMMY","Timmy!!!"
8020005,802,1,"UP THE DOWN STEROIDS","JIMMY","Say fellas, JImmy and I were wondering if maybe you would come and cheer for us next Sssaturday. We're both competing in the Special Olympics down in Denver."
8020006,802,1,"UP THE DOWN STEROIDS","CARTMAN","The Special Olympics? What's so special about them?"
8020007,802,1,"UP THE DOWN STEROIDS","KYLE","They're Olympic games for handicapped people."
8020008,802,1,"UP THE DOWN STEROIDS","CARTMAN","Dude, what?"
8020009,802,1,"UP THE DOWN STEROIDS","JIMMY","Timmy and I are competing in a variety of events."
8020010,802,1,"UP THE DOWN STEROIDS","STAN","Yeah sure, we'll come cheer you and Timmy on."
8020011,802,1,"UP THE DOWN STEROIDS","KYLE","Yeah, that'd be cool."
8020012,802,1,"UP THE DOWN STEROIDS","JIMMY","Thanks a lot, fellas. Well, we gotta get down to the training center and start working out. Word is we have a lot of ssstiff competition this year."
8020013,802,1,"UP THE DOWN STEROIDS","KYLE","Well all right, we'll see you on Saturday, guys."
8020014,802,1,"UP THE DOWN STEROIDS","TIMMY","Timmy!!!"
8020015,802,1,"UP THE DOWN STEROIDS","CARTMAN","Dude. I can't believe they exploit handicapped people like this. I mean, making them compete against each other just for our amusement."
8020016,802,1,"UP THE DOWN STEROIDS","KYLE","...You're an asshole, Cartman."
8020017,802,1,"UP THE DOWN STEROIDS","CARTMAN","What? What did I do?"
8020018,802,2,"UP THE DOWN STEROIDS","description","Denver Athletic Club, Denver, day."
8020019,802,2,"UP THE DOWN STEROIDS","WELCOME",""
8020020,802,2,"UP THE DOWN STEROIDS","SPECIAL OLYMPICS",""
8020021,802,2,"UP THE DOWN STEROIDS","ATHLETES !",""
8020022,802,3,"UP THE DOWN STEROIDS","description","Inside, the athletes are working out on a variety of equipment. Jimmy and Timmy are at a bench press. Jimmy presses weights as Timmy spots him."
8020023,802,3,"UP THE DOWN STEROIDS","JIMMY","...six!..."
8020024,802,3,"UP THE DOWN STEROIDS","TIMMY","Timmih."
8020025,802,3,"UP THE DOWN STEROIDS","JIMMY","Usss-usss-seven!"
8020026,802,3,"UP THE DOWN STEROIDS","TIMMY","Timmih. Timmih!"
8020027,802,3,"UP THE DOWN STEROIDS","JIMMY","Usss-usss-seven!"
8020028,802,3,"UP THE DOWN STEROIDS","TIMMY","Timmih! Timmiiih!"
8020029,802,3,"UP THE DOWN STEROIDS","JIMMY","Ni-I can'-I can't!  Huff. Oh man. Gee whiz, Timmy. It looks like we have some ppppretty stiff competition this year.  All of the special athletes seem to be in tip-top condition, and I can't even get past seven ru-reps. Huhh oh well, that's it for me, Timmy. I'm p-p--p-pooped. I'll see you in the locker room."
8020030,802,3,"UP THE DOWN STEROIDS","TIMMY","Otimmih."
8020031,802,3,"UP THE DOWN STEROIDS","FRANCIS","Hey Jimmy, g-good luck on Saturday."
8020032,802,3,"UP THE DOWN STEROIDS","JIMMY","You too, Francis."
8020033,802,3,"UP THE DOWN STEROIDS","BIG ATHLETE","Hey Jimmy."
8020034,802,3,"UP THE DOWN STEROIDS","JIMMY","Oh hey hey, n-Nathan."
8020035,802,3,"UP THE DOWN STEROIDS","NATHAN","So uh, I see you train pretty hard."
8020036,802,3,"UP THE DOWN STEROIDS","JIMMY","Yeah, it sure is tough. I'm training really hard, but I'm not improving fast enough, and the Special Olympics are a... week away."
8020037,802,3,"UP THE DOWN STEROIDS","NATHAN","Wellll, maybe I can- help you out. You know, there are shortcuts."
8020038,802,3,"UP THE DOWN STEROIDS","JIMMY","What kind of shortcuts?"
8020039,802,3,"UP THE DOWN STEROIDS","NATHAN","You know. Steroids."
8020040,802,3,"UP THE DOWN STEROIDS","JIMMY","S-s--ss-s-s-steroids?  ...But aren't those illegal?"
8020041,802,3,"UP THE DOWN STEROIDS","NATHAN","Yeah, sure, but these are new. They don't show up in our urine tests."
