"id","ep_num","segment","title","role","text"
1020001,102,1,"WEIGHT GAIN","KYLE","Hey Stan, did you see that rainbow this morning?"
1020002,102,1,"WEIGHT GAIN","STAN","Yeah, it was huge!"
1020003,102,1,"WEIGHT GAIN","CARTMAN","Oh, I hate those things."
1020004,102,1,"WEIGHT GAIN","The kids all look at Cartman puzzlingly.",""
1020005,102,1,"WEIGHT GAIN","KYLE","Nobody HATES rainbows."
1020006,102,1,"WEIGHT GAIN","STAN","Yeah, what's there to HATE about rainbows?!"
1020007,102,1,"WEIGHT GAIN","CARTMAN","Well, you know... You'll just be sitting there minding your own business, and they'll come marching in and crawl up your leg and start biting the inside of your ass -"
1020008,102,1,"WEIGHT GAIN","Cartman makes gnashing sounds with his teeth.",""
1020009,102,1,"WEIGHT GAIN","CARTMAN","And you'll be all like 'Hey get out of my ASS YOU STUPID RAINBOWS!!!"
1020010,102,1,"WEIGHT GAIN","The boys sit in silence for several seconds... Nobody knows ","what to say... Finally Stan speaks."
1020011,102,1,"WEIGHT GAIN","STAN","Cartman, what the HELL are you talking about?!?!"
1020012,102,1,"WEIGHT GAIN","CARTMAN","I'm talking about rainbows! I hate those friggin' things."
1020013,102,1,"WEIGHT GAIN","KYLE","Rainbows are little arches of color that show up during a rainstorm!"
1020014,102,1,"WEIGHT GAIN","Cartman thinks long and hard.",""
1020015,102,1,"WEIGHT GAIN","CARTMAN","Ohhhhhh.... RAINBOWS. Oh yeah, I like those, those are cool."
1020016,102,1,"WEIGHT GAIN","Stan, Kyle and Kenny stare at Cartman in disbelief.",""
1020017,102,1,"WEIGHT GAIN","STAN","What were YOU talking about?!"
1020018,102,1,"WEIGHT GAIN","CARTMAN","Huh? Oh, nothing, forget it."
1020019,102,1,"WEIGHT GAIN","KYLE","No! What marches in, crawls up your leg and bites the inside of your ass?!"
1020020,102,1,"WEIGHT GAIN","CARTMAN","Nothing...."
1020021,102,1,"WEIGHT GAIN","Just then, Mr. Garrison steps in front of the class.",""
1020022,102,1,"WEIGHT GAIN","MR. GARRISON","Children! Children! remember the 'Save Our Fragile Planet' essay contest that you children worked so hard on last month?"
1020023,102,1,"WEIGHT GAIN","The kids don't seem to remember.",""
1020024,102,1,"WEIGHT GAIN","MR. GARRISON","One of our VERY OWN South Park students has won the national prize!!"
1020025,102,1,"WEIGHT GAIN","The kids all gasp. Stan's face lights up.",""
1020026,102,1,"WEIGHT GAIN","WENDY","WOW! I knew I would win!"
1020027,102,1,"WEIGHT GAIN","Garrison pulls an envelope out of his pocket.",""
