"id","ep_num","segment","title","role","text"
9030001,903,1,"WING","description","South Park Elementary, day. Class is in session. The kids are chattering when Mrs. Garrison gets their attention"
9030002,903,1,"WING","MRS. GARRISON","Children, children, we have a very special announcement.  Your classmate, Token, has just returned from winning the Colorado Child Star Contest with his incredible singing! Well let's give him a hand!"
9030003,903,1,"WING","STAN","Token sings?"
9030004,903,1,"WING","CARTMAN","Of course he sings. He's black."
9030005,903,1,"WING","MRS. GARRISON","Token is going to sing in front of a huge audience at the Miss Colorado Pageant in Denver. And for doing it he's gonna be paid two hundred dollars."
9030006,903,1,"WING","CLASS","Whoa!"
9030007,903,1,"WING","STAN","Two hundred dollars."
9030008,903,1,"WING","MRS. GARRISON","Now of course, as a woman, I'm a bit against those chauvinistic pageants, but I hope that you children take a moment today to congratulate Token for being so special."
9030009,903,2,"WING","description","South Park Elementary, lunchtime. Stan and friends sit at a table just outside the school kitchen. They're deep in thought"
9030010,903,2,"WING","STAN","Wow, two hundred dollars. Can you imagine?"
9030011,903,2,"WING","KYLE","How come we never get opportunities like that?"
9030012,903,2,"WING","CARTMAN","You wanna know what it is, guys?"
9030013,903,2,"WING","KYLE","We're not talented?"
9030014,903,2,"WING","CARTMAN","That's right. We're not talented. See, we're not the artistic side, we're the thinking side."
9030015,903,2,"WING","STAN","Yeah. We're too smart to be talented."
9030016,903,2,"WING","CARTMAN","Wait, you guys! I just had an amazing idea. Token is going right to the top, right. I mean, he's gonna be a huge star."
9030017,903,2,"WING","KYLE","Probably."
9030018,903,2,"WING","CARTMAN","So, why shouldn't we get some of that money? We can be Token's agents. That way, we get ten percent of whatever he makes!"
9030019,903,2,"WING","STAN","Hey yeah! We deserve that money just as much as he does."
9030020,903,2,"WING","CARTMAN","We just need a really kickass office and some nice suits. A and a fountain in our lobby. All top agencies have fountains in their lobbies. We gotta make Token think he needs us, when actually he doesn't need us at all."
9030021,903,3,"WING","description","MONTAGE Cartman tries out his suit in front of a full-length mirror in his room. Stan and Kyle try out suits in Kyle's room. Next, the boys are in a department store purchasing cell phones at Bull's Eye. Next, Stan and Kyle carry an executive desk into the new office. Next, Cartman and Kenny steal a fountain from somebody's backyard. Next, flyers for the new agency, Super Awesome Talent Agency, are printed out. Next, the boys are at a copy center to get some business cards. Next, Cartman and Kyle set up signs around town. Next, the finished office is shown... in Cartman's basement. The four boys congratulate each other for a job well donw."
9030022,903,4,"WING","description","South Park, day. Token walks by one of the signs the boys drew up. He notices it and stops to read it. The boys hide around the corner. Stan peaks around the corner."
9030023,903,4,"WING","STAN","He's looking at the sign."
9030024,903,4,"WING","CARTMAN","Perfect! All right, you guys get back to the office, I'll bring Token there."
9030025,903,4,"WING","STAN","All right."
