"id","ep_num","segment","title","role","text"
8140001,814,1,"WOODLAND CRITTER CHRISTMAS","description","A panoramic view of South Park, day. Holiday music is heard in the background, and the scenes are played out as the narrator mentions them"
8140002,814,1,"WOODLAND CRITTER CHRISTMAS","NARRATOR","Way up in the mountains in a small little town,"
8140003,814,1,"WOODLAND CRITTER CHRISTMAS","The Main Street was being decorated all up and down.",""
8140004,814,1,"WOODLAND CRITTER CHRISTMAS","People stood in long lines, sometimes waiting hours or more,",""
8140005,814,1,"WOODLAND CRITTER CHRISTMAS","Because Christmas need to be bought in a store.",""
8140006,814,1,"WOODLAND CRITTER CHRISTMAS","But out in the forest, not too far away...",""
8140007,814,2,"WOODLAND CRITTER CHRISTMAS","description","A nearby forest. The camera pans down from the sky and rest upon a Christmas tree. Forest animals gather round and decorate it."
8140008,814,2,"WOODLAND CRITTER CHRISTMAS","NARRATOR","...The little woodland critters were also preparing for their Christmas day."
8140009,814,2,"WOODLAND CRITTER CHRISTMAS","WOODLAND CRITTERS","It's almost time when the time is here,"
8140010,814,2,"WOODLAND CRITTER CHRISTMAS","The time that's only once a year.",""
8140011,814,2,"WOODLAND CRITTER CHRISTMAS","We can hardly wait, 'cause it's so near.",""
8140012,814,2,"WOODLAND CRITTER CHRISTMAS","A Woodland Critter Christmas!",""
8140013,814,2,"WOODLAND CRITTER CHRISTMAS","NARRATOR","The little critters worked hard as they happily sang"
8140014,814,2,"WOODLAND CRITTER CHRISTMAS","And each one of them had a quite interesting name",""
8140015,814,2,"WOODLAND CRITTER CHRISTMAS","There was Squirrely the squirrel, Rabbity the rabbit,",""
8140016,814,2,"WOODLAND CRITTER CHRISTMAS","Beavery the beaver, and Beary the bear",""
8140017,814,2,"WOODLAND CRITTER CHRISTMAS","Porcupiney the porcupine, Skunky the skunk,",""
8140018,814,2,"WOODLAND CRITTER CHRISTMAS","Foxy the fox, and Deery the deer",""
8140019,814,2,"WOODLAND CRITTER CHRISTMAS","Woodpeckery the woodpecker, Mousey the mouse,",""
8140020,814,2,"WOODLAND CRITTER CHRISTMAS","and Chickadee-y the chickadee, all made the forest their house.",""
