"id","ep_num","segment","title","role","text"
3170001,317,1,"WORLDWIDE RECORDER CONCERT","description","A promo is the first thing shown. Live-action shots throughout"
3170002,317,1,"WORLDWIDE RECORDER CONCERT","ANNOUNCER","This Saturday"
3170003,317,1,"WORLDWIDE RECORDER CONCERT","POX PRESENTS",""
3170004,317,1,"WORLDWIDE RECORDER CONCERT","Pox presents the musical event of the new millennium!",""
3170005,317,1,"WORLDWIDE RECORDER CONCERT","THE MUSICAL EVENT",""
3170006,317,1,"WORLDWIDE RECORDER CONCERT","OF THE",""
3170007,317,1,"WORLDWIDE RECORDER CONCERT","MILLENNIUM",""
3170008,317,1,"WORLDWIDE RECORDER CONCERT","You all remember playing the recorder in elementary school! [a ","recorder resting on a book of sheet music is shown] Well, this Saturday in Oklahoma City [its skyline is shwn], over 4 million third-grade students [a crowd of them is shown] from all over the country [a school bus full of students is shown] will gather in one place, and at the same time, play ""My Country 'Tis Of Thee"""
3170009,317,1,"WORLDWIDE RECORDER CONCERT","MY COUNTRY 'TIS OF THEE",""
3170010,317,1,"WORLDWIDE RECORDER CONCERT","on their recorders. [a girl is shown playing a white one] It's ","the largest third-grade recorder concert ever! [An elderly man instructs three students, one of them in a wheelchair] Special guest conductor Yoko Ono [pictured] and woodwind virtuoso Kenny G [pictured] will lead this fantastic event!"
3170011,317,1,"WORLDWIDE RECORDER CONCERT","THIS SATURDAY ON",""
3170012,317,1,"WORLDWIDE RECORDER CONCERT","POX",""
3170013,317,1,"WORLDWIDE RECORDER CONCERT","11","00/10:00 C"
3170014,317,1,"WORLDWIDE RECORDER CONCERT","This Saturday, at 11 Eastern / 10 Central, the world will be ","watching! [close-up of a small boy playing his recorder]"
3170015,317,2,"WORLDWIDE RECORDER CONCERT","description","South Park Elementary, day, Mr. Garrison's classroom. He rushes to the front of the class and stands next to a pull-down screen on which is projected ""My Country 'Tis Of Thee"""
3170016,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Okay children, we've still got some time to practice the song before we load up the bus and head out for Oklahoma."
3170017,317,2,"WORLDWIDE RECORDER CONCERT","CLASS",":	 Awww."
3170018,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Now, come on, there's gonna be over 4 million third-graders from all over the country there, and I wanna make sure South Park is the best! Okay?! Recorders up.  And a-1 and a-2 and a-  ""...of liberty."" You're late!  ""...my father-"" What the hell was that?!  God-damnit, I don't think you children have been working on your fingering!"
3170019,317,2,"WORLDWIDE RECORDER CONCERT","CARTMAN","That's not true, Mr. Garrison: Kyle was working on his fingering with his mom all night long."
3170020,317,2,"WORLDWIDE RECORDER CONCERT","KYLE","Shut up, fatass!"
3170021,317,2,"WORLDWIDE RECORDER CONCERT","CARTMAN","Heh, heh. No, seriously. Kyle's mom says Kyle's getting really good at fingering, heh."
3170022,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Shut up, Eric! There's gonna be 4 million children playing this song at the same time on their recorders, and, so help me God, South Park Elementary is not gonna be the only ones that don't know the song! Try again! Recorders up. And a-1 and a-2 and a-"
3170023,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay, that sounded great, kids."
3170024,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Sure, if you like the sound of a peacock getting its neck broken."
3170025,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay, kids. Uh, we have some news. Uh, there's been a terrible flood in Oklahoma, m'kay? So the 4-million-recorder-children's event is being moved to Arkansas."
3170026,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Arkansas?"
3170027,317,2,"WORLDWIDE RECORDER CONCERT","STAN","What's Arkansasis that a state?"
3170028,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Eh, the trip shouldn't take any longer, but I'll hand out these updated contact sheets so that your parents will know where you are, m'kay?"
3170029,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Mr. Mackey, can I talk to you for a second?"
3170030,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay."
3170031,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Mr. Mackey, um... I can't go to Arkansas. Somebody's gonna have to fill in for me."
3170032,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","What? We can't find anybody to fill in for you. Why can't you go to Arkansas?"
3170033,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Arkansas is where I grew up. My parents live theremy  ...father still lives there."
3170034,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Well, don't you want to see them?"
3170035,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","I haven't seen my father for 23 years."
3170036,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Uh, perhaps you should sit down, Mr. Garrison, m'kay?  Mr. Garrison, I know this is very difficult, m'kay, but I must ask: is there a history of sexual abuse in your family?"
3170037,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","...Some, yes. There was my uncle, Richard. He... he molested me."
3170038,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","When was that?"
3170039,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Saturday. Last, last Saturday. He's a paraplegic, but it didn't"
3170040,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay, eh, and your father? He molested you when you were a boy?  Mr. Garrison, I think, when we get to Arkansas, you need to see your father. You need to face this demon in your closet, m'kay?"
3170041,317,2,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Don't look at me! Uh, y'all go on your bastard trip and just- don't look at me!"
3170042,317,2,"WORLDWIDE RECORDER CONCERT","CARTMAN","That was pretty cool."
3170043,317,2,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay."
3170044,317,3,"WORLDWIDE RECORDER CONCERT","description","The trip begins. The school bus and a moving van go east. They pass the following signs"
3170045,317,3,"WORLDWIDE RECORDER CONCERT","YOU ARE NOW",""
3170046,317,3,"WORLDWIDE RECORDER CONCERT","LEAVING",""
3170047,317,3,"WORLDWIDE RECORDER CONCERT","COLORADO",""
3170048,317,3,"WORLDWIDE RECORDER CONCERT","YOU ARE NOW",""
3170049,317,3,"WORLDWIDE RECORDER CONCERT","ENTERING",""
3170050,317,3,"WORLDWIDE RECORDER CONCERT","KANSAS",""
3170051,317,4,"WORLDWIDE RECORDER CONCERT","description","Inside the bus, Mr. Mackey is up front reading a book, Mr. Garrison is in the very back opposite Terrence and the redhead"
3170052,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","Okay, how about this one, Kenny?"
3170053,317,4,"WORLDWIDE RECORDER CONCERT","KENNY","(Uh-uh.)"
3170054,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","No? How about this?"
3170055,317,4,"WORLDWIDE RECORDER CONCERT","KENNY","(Nope.)"
3170056,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","Hm, interesting. Let's see: how about this?"
3170057,317,4,"WORLDWIDE RECORDER CONCERT","KYLE","Cartman, what the hell are you doing?"
3170058,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","We're trying to find the brown noiseit's this one pitch, this certain frequency that makes people lose bowel control."
3170059,317,4,"WORLDWIDE RECORDER CONCERT","STAN","What's ""lose bowel control?"""
3170060,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","That's a scientific term for crapping your pants."
3170061,317,4,"WORLDWIDE RECORDER CONCERT","KYLE","Oh, brother, here we go again. Cartman, there is not a sound frequency that makes people crap their pants!"
3170062,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","Yes there is! The French experimented with it in World War II!"
3170063,317,4,"WORLDWIDE RECORDER CONCERT","KYLE","Nuh-uh!"
3170064,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","How about this one, Kenny?"
3170065,317,4,"WORLDWIDE RECORDER CONCERT","KENNY","(Nuh-uh.)"
3170066,317,4,"WORLDWIDE RECORDER CONCERT","KYLE","There is no brown noise, fat boy!"
3170067,317,4,"WORLDWIDE RECORDER CONCERT","CARTMAN","That's nice. When I find it I'll just make you crap yourself so you look like Karen Carpenter."
3170068,317,4,"WORLDWIDE RECORDER CONCERT","STAN","Who's Karen Carpenter?"
3170069,317,4,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Aaaaaah!  Huhh, ohh,"
3170070,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Mr. Garrison, are you alright?"
3170071,317,4,"WORLDWIDE RECORDER CONCERT","MR. HAT","Mr. Garrison isn't here right now."
3170072,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay-Mr. Garrison, you're just having a hard time dealing with the memories of your father's sexual abuse, so you switch personalities to Mr. Hat, m'kay?"
3170073,317,4,"WORLDWIDE RECORDER CONCERT","MR. HAT","Oh, good one, Sherlock! You figure that out all by yourself?!"
3170074,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay-I think the best thing for Mr. Garrison to do is to go see his father"
3170075,317,4,"WORLDWIDE RECORDER CONCERT","MR. HAT","No! No, you moron!  Mr. Garrison can't let the memories end! Just leave us alone!"
3170076,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay! Mr. Hat, you need to let me talk to Mr. Garrison, m'kay?!"
3170077,317,4,"WORLDWIDE RECORDER CONCERT","MR. HAT","Why would he want to talk to a second-rate dopey-ass elementary-school psychologist?!"
3170078,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","What did you say?!"
3170079,317,4,"WORLDWIDE RECORDER CONCERT","MR. HAT","You heard me, jackass! There's monkeys that make better counselors than you!"
3170080,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Why, you son of a bitch!"
3170081,317,4,"WORLDWIDE RECORDER CONCERT","STAN","Whoa! Mr. Mackey and Mr. Hat are fighting."
3170082,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","I'm gonna kick your ass, m'kay?!"
3170083,317,4,"WORLDWIDE RECORDER CONCERT","STUDENTS","Yeah! Yeah! Yeah!"
3170084,317,4,"WORLDWIDE RECORDER CONCERT","MS. CRABTREE","BE QUIET BACK THERE!"
3170085,317,4,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Yuh-NO!  You may have won this time, Mr. Hat."
3170086,317,5,"WORLDWIDE RECORDER CONCERT","description","The journey continues. The school bus goes east. It passes the following signs"
3170087,317,5,"WORLDWIDE RECORDER CONCERT","Welcome to",""
3170088,317,5,"WORLDWIDE RECORDER CONCERT","MISSOURI",""
3170089,317,5,"WORLDWIDE RECORDER CONCERT","Welcome to",""
3170090,317,5,"WORLDWIDE RECORDER CONCERT","ARKANSAS",""
3170091,317,5,"WORLDWIDE RECORDER CONCERT","Yes! We are a state",""
3170092,317,6,"WORLDWIDE RECORDER CONCERT","description","The school bus and its passengers finally reach their destination - a large lot filled with buses and tents, and children"
3170093,317,6,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","M'kay, I want everyone to stay together, m'kay? Nobody move!"
3170094,317,6,"WORLDWIDE RECORDER CONCERT","COORDINATOR","School?"
3170095,317,6,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Excuse me?"
3170096,317,6,"WORLDWIDE RECORDER CONCERT","COORDINATOR","What school are you from?"
3170097,317,6,"WORLDWIDE RECORDER CONCERT","COUNSELOR MACKEY","Oh, uh we're from South Park, Colorado?"
3170098,317,6,"WORLDWIDE RECORDER CONCERT","COORDINATOR","Ssss, alright. South Park school, you go over there next to the kids from New York.  Nono, don't put the Florida kids in the building!"
3170099,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","Ey! Look at the little eskimos in their freakin' hats and gloves."
3170100,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 2","Yeah, huh?"
3170101,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","Whoa, look at this kid's coat.  Ey, kid. What's the matteryou a freakin' burn victim or somethin'? What?"
3170102,317,6,"WORLDWIDE RECORDER CONCERT","KYLE","Who the hell are these guys?"
3170103,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","I didn't know they was invitin' rednecks to this event!"
3170104,317,6,"WORLDWIDE RECORDER CONCERT","STAN","We're not rednecks!"
3170105,317,6,"WORLDWIDE RECORDER CONCERT","KYLE","Yeah! That's Texas, butthole!"
3170106,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","Oh yeah? Well, you look like a bunch of queefs to me, huh?!"
3170107,317,6,"WORLDWIDE RECORDER CONCERT","CARTMAN","Stan, what's a queef?"
3170108,317,6,"WORLDWIDE RECORDER CONCERT","KYLE","Kenny?"
3170109,317,6,"WORLDWIDE RECORDER CONCERT","KENNY","(I don't know!)"
3170110,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","Oh, brother! You guys don't even know what a queef is, huh?!"
3170111,317,6,"WORLDWIDE RECORDER CONCERT","CARTMAN","Of course we know what a queef is, you queef!"
3170112,317,6,"WORLDWIDE RECORDER CONCERT","BLACK KID","Oh yeah? Well, what is it, then?!"
3170113,317,6,"WORLDWIDE RECORDER CONCERT","CARTMAN","Aaaa-"
3170114,317,6,"WORLDWIDE RECORDER CONCERT","STAN","Why?! Don't you know?!"
3170115,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","Are all redneck queefs from Colorado as stupid as youse?!"
3170116,317,6,"WORLDWIDE RECORDER CONCERT","KYLE","Alright, dickhole!"
3170117,317,6,"WORLDWIDE RECORDER CONCERT","COORDINATOR","I need everyone's attention, please! We will now all be moving in an orderly fashion to our assigned hotels. Please follow your group leader to check in."
3170118,317,6,"WORLDWIDE RECORDER CONCERT","TOUGH GUY 1","Yeah see ya later, queefs!"
3170119,317,7,"WORLDWIDE RECORDER CONCERT","description","Roman Holiday Inn, night. The four boys share a room with two beds. They sit amid stacks of books looking for information"
3170120,317,7,"WORLDWIDE RECORDER CONCERT","KYLE","Ungh, I can't find the word ""queef"" anywhere!"
3170121,317,7,"WORLDWIDE RECORDER CONCERT","STAN","Well keep looking! We gotta find out what it means before we see those New Yorker kids again!"
3170122,317,7,"WORLDWIDE RECORDER CONCERT","KYLE","Well, let's try the dictionary.  queasy, Quebec, queen quelch. No queef."
3170123,317,7,"WORLDWIDE RECORDER CONCERT","STAN","Damnit!"
3170124,317,7,"WORLDWIDE RECORDER CONCERT","CARTMAN","Hey, I found it, you guys! I found it!"
3170125,317,7,"WORLDWIDE RECORDER CONCERT","STAN","You did?"
3170126,317,7,"WORLDWIDE RECORDER CONCERT","KYLE","What's it mean?! What's it mean?!"
3170127,317,7,"WORLDWIDE RECORDER CONCERT","CARTMAN","I told you guys! Here it is, right here. ""The brown noise."""
3170128,317,7,"WORLDWIDE RECORDER CONCERT","KYLE","Awwgh!"
3170129,317,7,"WORLDWIDE RECORDER CONCERT","STAN","Damnit Cartman, wha-?!"
3170130,317,7,"WORLDWIDE RECORDER CONCERT","CARTMAN","""An oscillation of sound that causes the bowels to loosen."" See? That means crap your pants. ""The brown noise is believed to be 92 cents below the lowest octave of Eb."" What does that mean?"
3170131,317,7,"WORLDWIDE RECORDER CONCERT","STAN","Who cares? We have to find out what queef means! Keep reading!"
3170132,317,8,"WORLDWIDE RECORDER CONCERT","description","Garrison's home town, night. He walks to his former home, his parents' house, in the rain"
3170133,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","I can do this. I have to do this. Hello. Dad."
3170134,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","Oh, hello, son."
3170135,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Can I ...come in?"
3170136,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","Ub. Sure, of course.  Your mom's out at Bridge Night. You want a beer or somethin'?"
3170137,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","No. I don't think that will solve any of our problems, though you seem to think it did."
3170138,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","Uh, what?"
3170139,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","I have a lot of demons that I need to face, father. I need to know some things."
3170140,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","Uh, okay, like what?"
3170141,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Alright, alright, let's just cut right to it!  I've come to ask you about the sexual abuse, dad!"
3170142,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","What??"
3170143,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","I have to know why! Right here and nowwe're gonna talk about this!"
3170144,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","What the hell are you talking about?! I never sexually abused you!"
3170145,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","I know! I wanna know why not?!"
3170146,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","WHAT??"
3170147,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Was it that I was ugly?!"
3170148,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","Oh, my God!"
3170149,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","I wasn't good enough for you! Was that it, dad?!"
3170150,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON SR.","Well, NO!!"
3170151,317,8,"WORLDWIDE RECORDER CONCERT","MR. GARRISON","Sure, you can go off and screw any whore on Wyland Street, but when it came to your own son you were just too busy!"
3170152,317,9,"WORLDWIDE RECORDER CONCERT","description","The 4 Million Child Blow 2000 lot, next day. Looks like the 4 million kids are assembled"
3170153,317,9,"WORLDWIDE RECORDER CONCERT","COORDINATOR","Alright, everyone, quiet please! There are over 4 million of you, so we must have quiet! At this time I would like to introduce the woman who is making this all possible, Yoko Ono!"
3170154,317,9,"WORLDWIDE RECORDER CONCERT","YOKO ONO","Please ... ""My Country 'Tis of Thee."""
3170155,317,9,"WORLDWIDE RECORDER CONCERT","COORDINATOR","You heard her, We'll start the rehearsal in a few minutes."
3170156,317,9,"WORLDWIDE RECORDER CONCERT","STAN","Those New Yorker kids are gonna be here any second, and we still don't know what queef means."
3170157,317,9,"WORLDWIDE RECORDER CONCERT","KYLE","Well, we can still pre-tend like we know what it means."
3170158,317,9,"WORLDWIDE RECORDER CONCERT","STAN","No, they'll catch on. Hey, wait a minute. I've got a great idea. Let's make up our own word. We can make up a word, and then use it, ...and then they'll act like they know it, and then we'll bust 'em."
3170159,317,9,"WORLDWIDE RECORDER CONCERT","KYLE","Yeah. That'll make 'em look stupid!"
3170160,317,9,"WORLDWIDE RECORDER CONCERT","STAN","What word could we make up?"
3170161,317,9,"WORLDWIDE RECORDER CONCERT","KYLE","How about... finkleroy?"
3170162,317,9,"WORLDWIDE RECORDER CONCERT","STAN","No, uhno, not finkleroy."
3170163,317,9,"WORLDWIDE RECORDER CONCERT","CARTMAN","How about geebo, or, or mung?"
3170164,317,9,"WORLDWIDE RECORDER CONCERT","STAN","Yeah, mung."
3170165,317,9,"WORLDWIDE RECORDER CONCERT","KYLE","Mung's good."
