"id","ep_num","segment","title","role","text"
8040001,804,1,"YOU GOT F D IN THE A","description","A parking lot somewhere in South Park, day. The boys are playing with motorized toy cars"
8040002,804,1,"YOU GOT F D IN THE A","CARTMAN","Dude, these little remote-controlled cars are kickass."
8040003,804,1,"YOU GOT F D IN THE A","KYLE","Sweet. I made mine go off the jump."
8040004,804,1,"YOU GOT F D IN THE A","STAN","Dude, my car sucks. I gotta get a new one."
8040005,804,1,"YOU GOT F D IN THE A","KYLE","Hey, who are those kids?"
8040006,804,1,"YOU GOT F D IN THE A","BOOMBOX","Let's see you daaance, sucka! You've got nothin' on me!"
8040007,804,1,"YOU GOT F D IN THE A","Let's see you daaance, sucka! You've got nothin' on me!",""
8040008,804,1,"YOU GOT F D IN THE A","Let's see you...! Let's see you...!",""
8040009,804,1,"YOU GOT F D IN THE A","Let's see you...! Let's see you...!",""
8040010,804,1,"YOU GOT F D IN THE A","Daaance, sucka!",""
8040011,804,2,"YOU GOT F D IN THE A","description","brief instrumental"
8040012,804,2,"YOU GOT F D IN THE A","Let's see you daaance, sucka! You've got nothin' on me!",""
8040013,804,2,"YOU GOT F D IN THE A","Let's see you daaance, sucka! You've got nothin' on me!",""
8040014,804,2,"YOU GOT F D IN THE A","Let's see you daaance-",""
8040015,804,2,"YOU GOT F D IN THE A","OC LEADER","Yeah, how you like that y'all!"
8040016,804,2,"YOU GOT F D IN THE A","OC MEMBER 1","Let's bring it to these losers."
8040017,804,2,"YOU GOT F D IN THE A","OC GIRL","Aww yeah!"
8040018,804,2,"YOU GOT F D IN THE A","OC LEADER","Whatchoo got, huh?! You got nothin'! Damn! You just got served!  Aww man!"
8040019,804,2,"YOU GOT F D IN THE A","OC GIRL","He got you, dude."
8040020,804,2,"YOU GOT F D IN THE A","OC LEADER","Now that kid is gettin' served!"
8040021,804,2,"YOU GOT F D IN THE A","OC GIRL","Uh huh."
8040022,804,2,"YOU GOT F D IN THE A","OC","Whoa!"
8040023,804,2,"YOU GOT F D IN THE A","OC LEADER","Aww man, look at them! They know they can't trip to that!  Yeah! We're outta here!"
8040024,804,2,"YOU GOT F D IN THE A","OC MEMBER 2","That was smokin'!"
8040025,804,2,"YOU GOT F D IN THE A","OC MEMBER 1","They didn't do nothin'!"
8040026,804,2,"YOU GOT F D IN THE A","OC MEMBER 3","Sorry y'all, but tru not to let it sting too bad!"
8040027,804,2,"YOU GOT F D IN THE A","OC LEADER","You got served!  Come on! They had nothin'! Let's go y'all!"
8040028,804,2,"YOU GOT F D IN THE A","OC MEMBER","Come on y'all!"
8040029,804,2,"YOU GOT F D IN THE A","KYLE","...What the hell just happened?"
8040030,804,3,"YOU GOT F D IN THE A","description","Chef's house, later. Stan rings the doorbell"
8040031,804,3,"YOU GOT F D IN THE A","CHEF","Oh. Hello there, children!"
8040032,804,3,"YOU GOT F D IN THE A","STAN","Chef, we just got served."
8040033,804,3,"YOU GOT F D IN THE A","CHEF","Oh boy... Well come on inside, children. I'll make you some cocoa."
8040034,804,4,"YOU GOT F D IN THE A","description","Chef's house, living room. Chef shows the children to the couch"
8040035,804,4,"YOU GOT F D IN THE A","CHEF","Have a seat, children. Just try to relax and breathe.  Are you all okay?"
8040036,804,4,"YOU GOT F D IN THE A","KYLE","Yeah."
8040037,804,4,"YOU GOT F D IN THE A","CHEF","All right. Now, where did you get served?"
8040038,804,4,"YOU GOT F D IN THE A","STAN","Over at the True Value parking lot. There were just these kids we never saw before showed up and they were like, really good dancers and, we don't really understand what it means, but I guess-"
8040039,804,4,"YOU GOT F D IN THE A","CHEF","Okay okay, relax children. Relax. It's all over now. Just try to calm down and sit tight.  I'm gonna call your parents and let them know you're okay. Mrs. Marsh? Hi, it's Chef. Yeah, I'm good. Listen: Stan and his friends just got served. Yeah. Yeah, over at the True Value. No no, he's fine. They're all fine. Yeah, it was some kids from out of town. Apparently they were pretty good dancers. They really let 'em have it."
8040040,804,5,"YOU GOT F D IN THE A","description","Stan's house, that night. The family is at the dining table. Sharon brings a large dish over to Stan"
8040041,804,5,"YOU GOT F D IN THE A","SHARON","Here, Stanley, I made your favorite potato dish. I want you to feel better, okay."
8040042,804,5,"YOU GOT F D IN THE A","RANDY","What's the matter with him?"
8040043,804,5,"YOU GOT F D IN THE A","SHARON","Oh. Stan got served at school today."
8040044,804,5,"YOU GOT F D IN THE A","RANDY","You got served? By who?"
8040045,804,5,"YOU GOT F D IN THE A","STAN","Some, kids from Orange County."
8040046,804,5,"YOU GOT F D IN THE A","SHARON","Let's not make a big deal out of it."
8040047,804,5,"YOU GOT F D IN THE A","RANDY","So wha- so what'd you do? D'you dance back?"
8040048,804,5,"YOU GOT F D IN THE A","STAN","No."
8040049,804,5,"YOU GOT F D IN THE A","RANDY","What? Yo-you got served and just stood there and took it??"
8040050,804,5,"YOU GOT F D IN THE A","SHARON","That was the right thing to do."
8040051,804,5,"YOU GOT F D IN THE A","RANDY","Naw, that's crap, Sharon! Stanley, when somebody challenges you to dance, you have to dance back at them, or else they'll think you're weak."
8040052,804,5,"YOU GOT F D IN THE A","STAN","But Dad, I don't know how to dance or nothin'."
8040053,804,5,"YOU GOT F D IN THE A","RANDY","Well then, it's about time you learned! Put on some loose-fitting clothes and meet me in the garage!"
8040054,804,5,"YOU GOT F D IN THE A","STAN","But Dad-"
8040055,804,5,"YOU GOT F D IN THE A","RANDY","Now!"
8040056,804,6,"YOU GOT F D IN THE A","description","Stan's house, garage. Stan and Randy are present. Randy is dressed in sweats, Stan is dressed in sweat pants and sleeveless T-shirt. Randy puts a CD into a stereo system."
8040057,804,6,"YOU GOT F D IN THE A","RANDY","All right son, dancing is all about a frame of mind. Now, I'm not telling you to go around challenging other kids to dance, but when they challenge you, you just look 'em straight in the eye, and give 'em this.  Come on, Stan. ...six, seven, eight."
8040058,804,7,"YOU GOT F D IN THE A","description","South Park, day, Luau's Toys. Stan and his friends exit and walk down the street"
8040059,804,7,"YOU GOT F D IN THE A","KYLE","Dude, that is a sweet RC car."
8040060,804,7,"YOU GOT F D IN THE A","STAN","Yeah, let's go race it right now."
8040061,804,7,"YOU GOT F D IN THE A","OC MEMBER 2","Well, what we got here?"
8040062,804,7,"YOU GOT F D IN THE A","OC MEMBER 1","It's the white boys that were served yesterday."
8040063,804,7,"YOU GOT F D IN THE A","OC LEADER","You want a little more, homeboys?"
